subject,relation,object
David Heinrich Brand,has gender,male
David Heinrich Brand,has occupation,accountant
William Cayley,has gender,male
William Cayley,has occupation,accountant
Mohammed Abdul Aziz,has gender,male
Mohammed Abdul Aziz,has occupation,accountant
Patrick Meunier,has gender,male
Patrick Meunier,has occupation,accountant
Marcos Makón,has gender,male
Marcos Makón,has occupation,accountant
Ilya Ivanov,has gender,male
Ilya Ivanov,has occupation,accountant
Jack Zuta,has gender,male
Jack Zuta,has occupation,accountant
Paul-Henri Spence,has gender,male
Paul-Henri Spence,has occupation,accountant
Pehr Bergstedt,has gender,male
Pehr Bergstedt,has occupation,accountant
Peter Stamm,has gender,male
Peter Stamm,has occupation,accountant
André Chesnot,has gender,male
André Chesnot,has occupation,accountant
Otto Berman,has gender,male
Otto Berman,has occupation,accountant
Saïd Bouziri,has gender,male
Saïd Bouziri,has occupation,accountant
Agustinus Wuru,has gender,male
Agustinus Wuru,has occupation,accountant
Hans Vonk,has gender,male
Hans Vonk,has occupation,accountant
Jaime Bertin,has gender,male
Jaime Bertin,has occupation,accountant
Ian Gorham,has gender,male
Ian Gorham,has occupation,accountant
Stoyan Vezhenov,has gender,male
Stoyan Vezhenov,has occupation,accountant
Eric Afful,has gender,male
Eric Afful,has occupation,accountant
Richard Dyson,has gender,male
Richard Dyson,has occupation,accountant
Thomas Clarke Devlin,has gender,male
Thomas Clarke Devlin,has occupation,accountant
Michael D'Aversa,has gender,male
Michael D'Aversa,has occupation,accountant
Richard Douglas,has gender,male
Richard Douglas,has occupation,accountant
Enoch Teye Mensah,has gender,male
Enoch Teye Mensah,has occupation,accountant
René Brunel,has gender,male
René Brunel,has occupation,accountant
Flavio Álvarez,has gender,male
Flavio Álvarez,has occupation,accountant
John Hoole,has gender,male
John Hoole,has occupation,accountant
James Goold,has gender,male
James Goold,has occupation,accountant
Anthony Gray,has gender,male
Anthony Gray,has occupation,accountant
Peter Keck von Schwarzbach,has gender,male
Peter Keck von Schwarzbach,has occupation,accountant
Joseph Campbell,has gender,male
Joseph Campbell,has occupation,accountant
Roberto Galano,has gender,male
Roberto Galano,has occupation,accountant
Eugeniusz Szyfner,has gender,male
Eugeniusz Szyfner,has occupation,accountant
Barry Salzberg,has gender,male
Barry Salzberg,has occupation,accountant
Albert Rudolph Uhlmann,has gender,male
Albert Rudolph Uhlmann,has occupation,accountant
Edward Smith,has gender,male
Edward Smith,has occupation,accountant
Eduard Sykora,has gender,male
Eduard Sykora,has occupation,accountant
Romain Oberson,has gender,male
Romain Oberson,has occupation,accountant
Nicholas G. Moore,has gender,male
Nicholas G. Moore,has occupation,accountant
Andreas Loetscher,has gender,male
Andreas Loetscher,has occupation,accountant
Dante Gaslini,has gender,male
Dante Gaslini,has occupation,accountant
Klaus Wysocki,has gender,male
Klaus Wysocki,has occupation,accountant
Imran Ahmad,has gender,male
Imran Ahmad,has occupation,accountant
Dennis M. Nally,has gender,male
Dennis M. Nally,has occupation,accountant
Antonio Geraldo de Souza Henriques Filho,has gender,male
Antonio Geraldo de Souza Henriques Filho,has occupation,accountant
Q109666171,has gender,male
Q109666171,has occupation,accountant
Thomas Dyrbye,has gender,male
Thomas Dyrbye,has occupation,accountant
Bertram Nelson,has gender,male
Bertram Nelson,has occupation,accountant
James Graham Clarke,has gender,male
James Graham Clarke,has occupation,accountant
Bing Hartono Poernomosidi,has gender,male
Bing Hartono Poernomosidi,has occupation,accountant
Jibreel Ofori Owusu,has gender,male
Jibreel Ofori Owusu,has occupation,accountant
Georges Priem,has gender,male
Georges Priem,has occupation,accountant
Bernard Pierquin,has gender,male
Bernard Pierquin,has occupation,accountant
Josef Hefter,has gender,male
Josef Hefter,has occupation,accountant
Cristiano José Rodrigues de Souza,has gender,male
Cristiano José Rodrigues de Souza,has occupation,accountant
George Joventino dos Santos,has gender,male
George Joventino dos Santos,has occupation,accountant
Patrick Murphy,has gender,male
Patrick Murphy,has occupation,accountant
Alan Hardcastle,has gender,male
Alan Hardcastle,has occupation,accountant
Henry Newson Smith,has gender,male
Henry Newson Smith,has occupation,accountant
Claudio Bustos,has gender,male
Claudio Bustos,has occupation,accountant
Harry O. Schwalbe,has gender,male
Harry O. Schwalbe,has occupation,accountant
James Buller Kitson,has gender,male
James Buller Kitson,has occupation,accountant
Roberto Feletti,has gender,male
Roberto Feletti,has occupation,accountant
Walter Harms,has gender,male
Walter Harms,has occupation,accountant
Ken'ichi Akiba,has gender,male
Ken'ichi Akiba,has occupation,accountant
Robert Okyere Amoako-Atta,has gender,male
Robert Okyere Amoako-Atta,has occupation,accountant
Pietro Antonio Caro,has gender,male
Pietro Antonio Caro,has occupation,accountant
Gerald Russell,has gender,male
Gerald Russell,has occupation,accountant
Jean-Luc Ruelle,has gender,male
Jean-Luc Ruelle,has occupation,accountant
Aliaksandr Haluza,has gender,male
Aliaksandr Haluza,has occupation,accountant
Sir Edwin Van-der-vord Nixon,has gender,male
Sir Edwin Van-der-vord Nixon,has occupation,accountant
José Martín Olarte Panduro,has gender,male
José Martín Olarte Panduro,has occupation,accountant
Georg Peter Carl Heitmann,has gender,male
Georg Peter Carl Heitmann,has occupation,accountant
Walter Hamilton,has gender,male
Walter Hamilton,has occupation,accountant
Michael Gidley,has gender,male
Michael Gidley,has occupation,accountant
Benjamí Cordon Puig,has gender,male
Benjamí Cordon Puig,has occupation,accountant
Francesc Guasch i Fernández,has gender,male
Francesc Guasch i Fernández,has occupation,accountant
Hector Leonardo Ramirez Pino,has gender,male
Hector Leonardo Ramirez Pino,has occupation,accountant
Norman MacMillan Hinshelwood,has gender,male
Norman MacMillan Hinshelwood,has occupation,accountant
Henri Foursin,has gender,male
Henri Foursin,has occupation,accountant
"John D. Hawke, Jr.",has gender,male
"John D. Hawke, Jr.",has occupation,accountant
Thomas Patrick Norton II,has gender,male
Thomas Patrick Norton II,has occupation,accountant
Joseph T. Wells,has gender,male
Joseph T. Wells,has occupation,accountant
Károly Erdélyi,has gender,male
Károly Erdélyi,has occupation,accountant
Zoltán Gergő,has gender,male
Zoltán Gergő,has occupation,accountant
Willem Alewijn,has gender,male
Willem Alewijn,has occupation,accountant
John Ripley,has gender,male
John Ripley,has occupation,accountant
John Wycliffe Stow,has gender,male
John Wycliffe Stow,has occupation,accountant
Amarjit Chopra,has gender,male
Amarjit Chopra,has occupation,accountant
Sharka Byrne,has gender,male
Sharka Byrne,has occupation,accountant
Fritz Millner,has gender,male
Fritz Millner,has occupation,accountant
José Leal,has gender,male
José Leal,has occupation,accountant
Gerald Comeau,has gender,male
Gerald Comeau,has occupation,accountant
Joan Dullaart,has gender,male
Joan Dullaart,has occupation,accountant
Mariano Perel,has gender,male
Mariano Perel,has occupation,accountant
J. Nee Amahtey Hyde,has gender,male
J. Nee Amahtey Hyde,has occupation,accountant
Langer Avery,has gender,male
Langer Avery,has occupation,accountant
Jules Faigt,has gender,male
Jules Faigt,has occupation,accountant
James Blanksby,has gender,male
James Blanksby,has occupation,accountant
Ioan Stoica,has gender,male
Ioan Stoica,has occupation,accountant
Lasse Klein,has gender,male
Lasse Klein,has occupation,accountant
Philip M. Colquhoun,has gender,male
Philip M. Colquhoun,has occupation,accountant
Stefano Buffagni,has gender,male
