subject,relation,object
Peter Wyman,has gender,male
Peter Wyman,has occupation,accountant
Q136309071,has gender,male
Q136309071,has occupation,accountant
I Kisun,has gender,male
I Kisun,has occupation,accountant
Neil Angus,has gender,male
Neil Angus,has occupation,accountant
Masahiko Ikaga,has gender,male
Masahiko Ikaga,has occupation,accountant
Rintarō Aoki,has gender,male
Rintarō Aoki,has occupation,accountant
Marc Harris,has gender,male
Marc Harris,has occupation,accountant
Efrat Peled,has gender,female
Efrat Peled,has occupation,accountant
Inuwa Yakubu Shalangwa,has gender,male
Inuwa Yakubu Shalangwa,has occupation,analyst
Mohammed Mansur Ibrahim,has gender,male
Mohammed Mansur Ibrahim,has occupation,analyst
Ibrahim Misbahu Bala,has gender,male
Ibrahim Misbahu Bala,has occupation,analyst
Sabiu Mohammed,has gender,male
Sabiu Mohammed,has occupation,analyst
Yahaya Andrew Haruna,has gender,male
Yahaya Andrew Haruna,has occupation,analyst
Shu'aibu Ikra Umar,has gender,male
Shu'aibu Ikra Umar,has occupation,analyst
Ana Ayuso Pozo,has gender,female
Ana Ayuso Pozo,has occupation,analyst
David Edwards,has gender,male
David Edwards,has occupation,assistant
John III of Henneberg-Schleusingen,has gender,male
John III of Henneberg-Schleusingen,has occupation,assistant
Aleksander Jaworowski,has gender,male
Aleksander Jaworowski,has occupation,assistant
Zuzana Rebcová,has gender,female
Zuzana Rebcová,has occupation,assistant
Maria Cristina Leal de Carvalho Viegas,has gender,female
Maria Cristina Leal de Carvalho Viegas,has occupation,assistant
Adar Abdulkadir,has gender,female
Adar Abdulkadir,has occupation,assistant
Jeanie Walker,has gender,female
Jeanie Walker,has occupation,assistant
Cecilia Gallik Kennedy,has gender,female
Cecilia Gallik Kennedy,has occupation,assistant
Adrian Vaughan,has gender,male
Adrian Vaughan,has occupation,attendant
Bobby Calder,has gender,male
Bobby Calder,has occupation,attendant
Sidnei Teixeira Barbosa,has gender,male
Sidnei Teixeira Barbosa,has occupation,attendant
George Pryer,has gender,male
George Pryer,has occupation,attendant
Harry Britten,has gender,male
Harry Britten,has occupation,attendant
Francisco Paiva Das Neves,has gender,male
Francisco Paiva Das Neves,has occupation,attendant
Herbert G. Herring,has gender,male
Herbert G. Herring,has occupation,attendant
Antonie Formanová,has gender,female
Antonie Formanová,has occupation,attendant
Andreas Staribacher,has gender,male
Andreas Staribacher,has occupation,auditor
Werner Conrad,has gender,male
Werner Conrad,has occupation,auditor
Bjarke Vodder Nielsen,has gender,male
Bjarke Vodder Nielsen,has occupation,auditor
Carsten Ernst,has gender,male
Carsten Ernst,has occupation,auditor
Filip Tammelin,has gender,male
Filip Tammelin,has occupation,auditor
Ulrich Zürn,has gender,male
Ulrich Zürn,has occupation,auditor
Michel Côté,has gender,male
Michel Côté,has occupation,auditor
Josephine Maltby,has gender,female
Josephine Maltby,has occupation,auditor
Martin Coupaye,has gender,male
Martin Coupaye,has occupation,baker
Llorenç Birba i Cordomí,has gender,male
Llorenç Birba i Cordomí,has occupation,baker
Viateur Éthier,has gender,male
Viateur Éthier,has occupation,baker
Rahul Mandal,has gender,male
Rahul Mandal,has occupation,baker
Frank Klosterman,has gender,male
Frank Klosterman,has occupation,baker
Friedrich Hubert Esser,has gender,male
Friedrich Hubert Esser,has occupation,baker
Rasmus Hansen,has gender,male
Rasmus Hansen,has occupation,baker
Maria Anna Zauner,has gender,female
Maria Anna Zauner,has occupation,baker
Paul Manauthon,has gender,male
Paul Manauthon,has occupation,carpenter
Willm Rolf Meyer,has gender,male
Willm Rolf Meyer,has occupation,carpenter
Christian David,has gender,male
Christian David,has occupation,carpenter
John Morgan Jones,has gender,male
John Morgan Jones,has occupation,carpenter
David Grinbaum,has gender,male
David Grinbaum,has occupation,carpenter
Simon Mee,has gender,male
Simon Mee,has occupation,carpenter
August Kapell,has gender,male
August Kapell,has occupation,carpenter
Q23943541,has gender,male
Q23943541,has occupation,carpenter
Johann Gottlieb Zenker,has gender,male
Johann Gottlieb Zenker,has occupation,cashier
Kei Ogura,has gender,male
Kei Ogura,has occupation,cashier
Hirotaka Ishihara,has gender,male
Hirotaka Ishihara,has occupation,cashier
Richárd Horinka,has gender,male
