prompt,completion
"David Heinrich Brand, has gender, [mask]",male
"David Heinrich Brand, has occupation, [mask]",accountant
"William Cayley, has gender, [mask]",male
"William Cayley, has occupation, [mask]",accountant
"Mohammed Abdul Aziz, has gender, [mask]",male
"Mohammed Abdul Aziz, has occupation, [mask]",accountant
"Patrick Meunier, has gender, [mask]",male
"Patrick Meunier, has occupation, [mask]",accountant
"Marcos Makón, has gender, [mask]",male
"Marcos Makón, has occupation, [mask]",accountant
"Ilya Ivanov, has gender, [mask]",male
"Ilya Ivanov, has occupation, [mask]",accountant
"Jack Zuta, has gender, [mask]",male
"Jack Zuta, has occupation, [mask]",accountant
"Paul-Henri Spence, has gender, [mask]",male
"Paul-Henri Spence, has occupation, [mask]",accountant
"Pehr Bergstedt, has gender, [mask]",male
"Pehr Bergstedt, has occupation, [mask]",accountant
"Peter Stamm, has gender, [mask]",male
"Peter Stamm, has occupation, [mask]",accountant
"André Chesnot, has gender, [mask]",male
"André Chesnot, has occupation, [mask]",accountant
"Otto Berman, has gender, [mask]",male
"Otto Berman, has occupation, [mask]",accountant
"Saïd Bouziri, has gender, [mask]",male
"Saïd Bouziri, has occupation, [mask]",accountant
"Agustinus Wuru, has gender, [mask]",male
"Agustinus Wuru, has occupation, [mask]",accountant
"Hans Vonk, has gender, [mask]",male
"Hans Vonk, has occupation, [mask]",accountant
"Jaime Bertin, has gender, [mask]",male
"Jaime Bertin, has occupation, [mask]",accountant
"Ian Gorham, has gender, [mask]",male
"Ian Gorham, has occupation, [mask]",accountant
"Stoyan Vezhenov, has gender, [mask]",male
"Stoyan Vezhenov, has occupation, [mask]",accountant
"Eric Afful, has gender, [mask]",male
"Eric Afful, has occupation, [mask]",accountant
"Richard Dyson, has gender, [mask]",male
"Richard Dyson, has occupation, [mask]",accountant
"Thomas Clarke Devlin, has gender, [mask]",male
"Thomas Clarke Devlin, has occupation, [mask]",accountant
"Michael D'Aversa, has gender, [mask]",male
"Michael D'Aversa, has occupation, [mask]",accountant
"Richard Douglas, has gender, [mask]",male
"Richard Douglas, has occupation, [mask]",accountant
"Enoch Teye Mensah, has gender, [mask]",male
