prompt,completion
"Peter Wyman, has gender, [mask]",male
"Peter Wyman, has occupation, [mask]",accountant
"Q136309071, has gender, [mask]",male
"Q136309071, has occupation, [mask]",accountant
"Efrat Peled, has gender, [mask]",female
"Efrat Peled, has occupation, [mask]",accountant
"Rosario Violeta Grijalva Salazar, has gender, [mask]",female
"Rosario Violeta Grijalva Salazar, has occupation, [mask]",accountant
"Inuwa Yakubu Shalangwa, has gender, [mask]",male
"Inuwa Yakubu Shalangwa, has occupation, [mask]",analyst
"Ana Ayuso Pozo, has gender, [mask]",female
"Ana Ayuso Pozo, has occupation, [mask]",analyst
"David Edwards, has gender, [mask]",male
"David Edwards, has occupation, [mask]",assistant
"John III of Henneberg-Schleusingen, has gender, [mask]",male
"John III of Henneberg-Schleusingen, has occupation, [mask]",assistant
"Zuzana Rebcová, has gender, [mask]",female
"Zuzana Rebcová, has occupation, [mask]",assistant
"Maria Cristina Leal de Carvalho Viegas, has gender, [mask]",female
"Maria Cristina Leal de Carvalho Viegas, has occupation, [mask]",assistant
"Adrian Vaughan, has gender, [mask]",male
"Adrian Vaughan, has occupation, [mask]",attendant
"Bobby Calder, has gender, [mask]",male
"Bobby Calder, has occupation, [mask]",attendant
"Antonie Formanová, has gender, [mask]",female
"Antonie Formanová, has occupation, [mask]",attendant
"Monica Coghlan, has gender, [mask]",female
"Monica Coghlan, has occupation, [mask]",attendant
"Andreas Staribacher, has gender, [mask]",male
"Andreas Staribacher, has occupation, [mask]",auditor
"Werner Conrad, has gender, [mask]",male
"Werner Conrad, has occupation, [mask]",auditor
"Josephine Maltby, has gender, [mask]",female
"Josephine Maltby, has occupation, [mask]",auditor
"Joy Phumaphi, has gender, [mask]",female
"Joy Phumaphi, has occupation, [mask]",auditor
"Martin Coupaye, has gender, [mask]",male
"Martin Coupaye, has occupation, [mask]",baker
"Llorenç Birba i Cordomí, has gender, [mask]",male
"Llorenç Birba i Cordomí, has occupation, [mask]",baker
"Maria Anna Zauner, has gender, [mask]",female
"Maria Anna Zauner, has occupation, [mask]",baker
"Melissa Chou, has gender, [mask]",female
"Melissa Chou, has occupation, [mask]",baker
"Paul Manauthon, has gender, [mask]",male
"Paul Manauthon, has occupation, [mask]",carpenter
"Willm Rolf Meyer, has gender, [mask]",male
"Willm Rolf Meyer, has occupation, [mask]",carpenter
"Khana Feinbukh, has gender, [mask]",female
"Khana Feinbukh, has occupation, [mask]",carpenter
"Trina Gulliver, has gender, [mask]",female
"Trina Gulliver, has occupation, [mask]",carpenter
"Johann Gottlieb Zenker, has gender, [mask]",male
"Johann Gottlieb Zenker, has occupation, [mask]",cashier
"Kei Ogura, has gender, [mask]",male
"Kei Ogura, has occupation, [mask]",cashier
"Marie A. Detrick, has gender, [mask]",female
"Marie A. Detrick, has occupation, [mask]",cashier
"Clara Almánzar, has gender, [mask]",female
"Clara Almánzar, has occupation, [mask]",cashier
"Amir Ashkenazi, has gender, [mask]",male
"Amir Ashkenazi, has occupation, [mask]",ceo
"Peter Njonjo, has gender, [mask]",male
"Peter Njonjo, has occupation, [mask]",ceo
"Ravit Barniv, has gender, [mask]",female
"Ravit Barniv, has occupation, [mask]",ceo
"Jeanette Aaen, has gender, [mask]",female
"Jeanette Aaen, has occupation, [mask]",ceo
"Ronnie Woo Woo, has gender, [mask]",male
"Ronnie Woo Woo, has occupation, [mask]",cleaner
"Nilton Donizeti da Silva, has gender, [mask]",male
"Nilton Donizeti da Silva, has occupation, [mask]",cleaner
"Frieda Mager, has gender, [mask]",female
"Frieda Mager, has occupation, [mask]",cleaner
"Victoria Hughes, has gender, [mask]",female
"Victoria Hughes, has occupation, [mask]",cleaner
"Cheta Nwanze, has gender, [mask]",male
"Cheta Nwanze, has occupation, [mask]",clerk
"Cradock Newton, has gender, [mask]",male
"Cradock Newton, has occupation, [mask]",clerk
"Pasha Leberfeld, has gender, [mask]",female
"Pasha Leberfeld, has occupation, [mask]",clerk
"Solimar Silva, has gender, [mask]",female
"Solimar Silva, has occupation, [mask]",clerk
"Jaroslav Kovář starší, has gender, [mask]",male
"Jaroslav Kovář starší, has occupation, [mask]",construction_worker
"John Parry, has gender, [mask]",male
"John Parry, has occupation, [mask]",construction_worker
"Ember, has gender, [mask]",female
"Ember, has occupation, [mask]",construction_worker
"Sunita Devi, has gender, [mask]",female
"Sunita Devi, has occupation, [mask]",construction_worker
"Hans Stucki, has gender, [mask]",male
"Hans Stucki, has occupation, [mask]",cook
"Cándido López Sanz, has gender, [mask]",male
"Cándido López Sanz, has occupation, [mask]",cook
"Renée Voltaire, has gender, [mask]",female
"Renée Voltaire, has occupation, [mask]",cook
"Jenny Dorsey, has gender, [mask]",female
"Jenny Dorsey, has occupation, [mask]",cook
"Jindřich Halama, has gender, [mask]",male
"Jindřich Halama, has occupation, [mask]",counselor
"Germain Dusausoy, has gender, [mask]",male
"Germain Dusausoy, has occupation, [mask]",counselor
"Naina Athale, has gender, [mask]",female
"Naina Athale, has occupation, [mask]",counselor
"Susan Crozier, has gender, [mask]",female
"Susan Crozier, has occupation, [mask]",counselor
"Xanti Schawinsky, has gender, [mask]",male
"Xanti Schawinsky, has occupation, [mask]",designer
"Carl Ernst Kropp, has gender, [mask]",male
"Carl Ernst Kropp, has occupation, [mask]",designer
"Anne Desmet, has gender, [mask]",female
"Anne Desmet, has occupation, [mask]",designer
"Maria Hofker-Rueter, has gender, [mask]",female
"Maria Hofker-Rueter, has occupation, [mask]",designer
"Zinhor Nasri, has gender, [mask]",male
"Zinhor Nasri, has occupation, [mask]",developer
"Pavel Mžourek, has gender, [mask]",male
"Pavel Mžourek, has occupation, [mask]",developer
"Arielle Gordon, has gender, [mask]",female
"Arielle Gordon, has occupation, [mask]",developer
"Brigit Lichtenegger, has gender, [mask]",female
"Brigit Lichtenegger, has occupation, [mask]",developer
"Sven Verbrugge, has gender, [mask]",male
"Sven Verbrugge, has occupation, [mask]",driver
"Thomas Bieberbach, has gender, [mask]",male
"Thomas Bieberbach, has occupation, [mask]",driver
"Louise Scherbyn, has gender, [mask]",female
"Louise Scherbyn, has occupation, [mask]",driver
"Q29108448, has gender, [mask]",female
"Q29108448, has occupation, [mask]",driver
"Per-Arne Bjerke, has gender, [mask]",male
"Per-Arne Bjerke, has occupation, [mask]",editor
"Odd Egil Valderhaug, has gender, [mask]",male
"Odd Egil Valderhaug, has occupation, [mask]",editor
"Maria Helena Schmidt, has gender, [mask]",female
"Maria Helena Schmidt, has occupation, [mask]",editor
"Anita Tešovičová, has gender, [mask]",female
"Anita Tešovičová, has occupation, [mask]",editor
"Elliot Lillico, has gender, [mask]",male
"Elliot Lillico, has occupation, [mask]",farmer
"Muhammed edh-Dhib, has gender, [mask]",male
"Muhammed edh-Dhib, has occupation, [mask]",farmer
"Manda Klancir, has gender, [mask]",female
"Manda Klancir, has occupation, [mask]",farmer
"Jo Sanghi, has gender, [mask]",female
"Jo Sanghi, has occupation, [mask]",farmer
"Josef Vacek, has gender, [mask]",male
"Josef Vacek, has occupation, [mask]",hairdresser
"Adam A. Schjølberg, has gender, [mask]",male
"Adam A. Schjølberg, has occupation, [mask]",hairdresser
"Amira Pocher, has gender, [mask]",female
"Amira Pocher, has occupation, [mask]",hairdresser
"Katrin Wahlberg, has gender, [mask]",female
"Katrin Wahlberg, has occupation, [mask]",hairdresser
"Marcelino Francisco de Souza, has gender, [mask]",male
"Marcelino Francisco de Souza, has occupation, [mask]",housekeeper
"Andrée Rocher, has gender, [mask]",male
"Andrée Rocher, has occupation, [mask]",housekeeper
"Felicia Dorothea Kate Dover, has gender, [mask]",female
"Felicia Dorothea Kate Dover, has occupation, [mask]",housekeeper
"Emma Bruch, has gender, [mask]",female
"Emma Bruch, has occupation, [mask]",housekeeper
"Robert Menge, has gender, [mask]",male
"Robert Menge, has occupation, [mask]",janitor
"Bert Brown, has gender, [mask]",male
"Bert Brown, has occupation, [mask]",janitor
"Rosa Maria da Silva, has gender, [mask]",female
"Rosa Maria da Silva, has occupation, [mask]",janitor
"Magdalena Miedziejewska, has gender, [mask]",female
"Magdalena Miedziejewska, has occupation, [mask]",janitor
"Daniel (Mansson) Ekman, has gender, [mask]",male
"Daniel (Mansson) Ekman, has occupation, [mask]",laborer
"Fritz Wilhelm Reisgies, has gender, [mask]",male
"Fritz Wilhelm Reisgies, has occupation, [mask]",laborer
"Anette Mülbaier, has gender, [mask]",female
"Anette Mülbaier, has occupation, [mask]",laborer
"Liliana Battle, has gender, [mask]",female
"Liliana Battle, has occupation, [mask]",laborer
"Eric Cantor, has gender, [mask]",male
"Eric Cantor, has occupation, [mask]",lawyer
"José Calvo Sotelo, has gender, [mask]",male
"José Calvo Sotelo, has occupation, [mask]",lawyer
"Isabelle Ameganvi, has gender, [mask]",female
"Isabelle Ameganvi, has occupation, [mask]",lawyer
"Patricia Guerrero, has gender, [mask]",female
"Patricia Guerrero, has occupation, [mask]",lawyer
"Ludwig Greve, has gender, [mask]",male
"Ludwig Greve, has occupation, [mask]",librarian
"Harald Strätz, has gender, [mask]",male
"Harald Strätz, has occupation, [mask]",librarian
"Alice Lougee Hagemeyer, has gender, [mask]",female
"Alice Lougee Hagemeyer, has occupation, [mask]",librarian
"Dorthe Refslund Christensen, has gender, [mask]",female
"Dorthe Refslund Christensen, has occupation, [mask]",librarian
"Pere Estelrich Massutí, has gender, [mask]",male
"Pere Estelrich Massutí, has occupation, [mask]",manager
"Pier Marco De Santi, has gender, [mask]",male
"Pier Marco De Santi, has occupation, [mask]",manager
"Bella French, has gender, [mask]",female
"Bella French, has occupation, [mask]",manager
"Livia Borgognoni, has gender, [mask]",female
"Livia Borgognoni, has occupation, [mask]",manager
"Gottfried Hörndli, has gender, [mask]",male
"Gottfried Hörndli, has occupation, [mask]",mechanic
"Edilson, has gender, [mask]",male
"Edilson, has occupation, [mask]",mechanic
"Evelyn May Cridlan, has gender, [mask]",female
"Evelyn May Cridlan, has occupation, [mask]",mechanic
"Marie-Christine Blais, has gender, [mask]",female
"Marie-Christine Blais, has occupation, [mask]",mechanic
"Thomas Campbell, has gender, [mask]",male
"Thomas Campbell, has occupation, [mask]",mover
"Little Karim, has gender, [mask]",male
"Little Karim, has occupation, [mask]",mover
"Anna S. Vaughn, has gender, [mask]",female
"Anna S. Vaughn, has occupation, [mask]",mover
"Mere Harpur, has gender, [mask]",female
"Mere Harpur, has occupation, [mask]",mover
"Amor Padilla Gatinao, has gender, [mask]",male
"Amor Padilla Gatinao, has occupation, [mask]",nurse
"Kevin McKenna, has gender, [mask]",male
"Kevin McKenna, has occupation, [mask]",nurse
"Rabiah Panthupeng, has gender, [mask]",female
"Rabiah Panthupeng, has occupation, [mask]",nurse
"Caroline Burghardt, has gender, [mask]",female
"Caroline Burghardt, has occupation, [mask]",nurse
"Edward Coleman, has gender, [mask]",male
"Edward Coleman, has occupation, [mask]",physician
"Julij Ivanovič Afanas'jev, has gender, [mask]",male
"Julij Ivanovič Afanas'jev, has occupation, [mask]",physician
"Kara K. Siegrist, has gender, [mask]",female
"Kara K. Siegrist, has occupation, [mask]",physician
"Jaroslava Vaněčková, has gender, [mask]",female
"Jaroslava Vaněčková, has occupation, [mask]",physician
"Rafly Rahamat, has gender, [mask]",male
"Rafly Rahamat, has occupation, [mask]",receptionist
"Marcio Rogerio Leite, has gender, [mask]",male
"Marcio Rogerio Leite, has occupation, [mask]",receptionist
"Neide Galvão do Amaral, has gender, [mask]",female
"Neide Galvão do Amaral, has occupation, [mask]",receptionist
"Amanda Forde, has gender, [mask]",female
"Amanda Forde, has occupation, [mask]",receptionist
"Jean-Jacques Clément, has gender, [mask]",male
"Jean-Jacques Clément, has occupation, [mask]",salesperson
"Georges Jacquot, has gender, [mask]",male
"Georges Jacquot, has occupation, [mask]",salesperson
"Roser Agell i Cisa, has gender, [mask]",female
"Roser Agell i Cisa, has occupation, [mask]",salesperson
"Juncal Ballestín, has gender, [mask]",female
"Juncal Ballestín, has occupation, [mask]",salesperson
"Paul Letsch, has gender, [mask]",male
"Paul Letsch, has occupation, [mask]",secretary
"James Lister, has gender, [mask]",male
"James Lister, has occupation, [mask]",secretary
"Ilse Birkholz, has gender, [mask]",female
"Ilse Birkholz, has occupation, [mask]",secretary
"Fidela Zalakain Salaberria, has gender, [mask]",female
"Fidela Zalakain Salaberria, has occupation, [mask]",secretary
"William George Scott-Moncreiff, has gender, [mask]",male
"William George Scott-Moncreiff, has occupation, [mask]",sheriff
"Henry P. Larrabee, has gender, [mask]",male
"Henry P. Larrabee, has occupation, [mask]",sheriff
"Edna ""Dolly"" Kyle, has gender, [mask]",female
"Edna ""Dolly"" Kyle, has occupation, [mask]",sheriff
"Constance Kopp, has gender, [mask]",female
"Constance Kopp, has occupation, [mask]",sheriff
"Anders Hilden, has gender, [mask]",male
"Anders Hilden, has occupation, [mask]",supervisor
"Heinrich Schramm, has gender, [mask]",male
"Heinrich Schramm, has occupation, [mask]",supervisor
"Ting Sue, has gender, [mask]",female
"Ting Sue, has occupation, [mask]",supervisor
"Zina Papadopoulou, has gender, [mask]",female
"Zina Papadopoulou, has occupation, [mask]",supervisor
"Romeo Gigli, has gender, [mask]",male
"Romeo Gigli, has occupation, [mask]",tailor
"Jan Willem Vlastuin, has gender, [mask]",male
"Jan Willem Vlastuin, has occupation, [mask]",tailor
"Nina Reichmann, has gender, [mask]",female
"Nina Reichmann, has occupation, [mask]",tailor
"Helga I. Stefánsdóttir, has gender, [mask]",female
"Helga I. Stefánsdóttir, has occupation, [mask]",tailor
"Jacques Berthelot, has gender, [mask]",male
"Jacques Berthelot, has occupation, [mask]",teacher
