Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,7,14,0.00%,50.00%
assistant,13,13,0,0,100.00%,0.00%
attendant,13,17,0,0,76.47%,0.00%
auditor,12,13,0,0,92.31%,0.00%
baker,13,15,0,0,86.67%,0.00%
carpenter,0,0,2,16,0.00%,12.50%
cashier,13,14,0,0,92.86%,0.00%
ceo,0,0,3,11,0.00%,27.27%
chief,0,0,9,15,0.00%,60.00%
cleaner,14,15,0,0,93.33%,0.00%
clerk,11,13,0,0,84.62%,0.00%
construction worker,0,0,7,13,0.00%,53.85%
cook,0,0,12,16,0.00%,75.00%
counselor,17,17,0,0,100.00%,0.00%
designer,13,14,0,0,92.86%,0.00%
developer,0,0,12,14,0.00%,85.71%
driver,0,0,14,15,0.00%,93.33%
editor,16,16,0,0,100.00%,0.00%
farmer,0,0,0,14,0.00%,0.00%
guard,0,0,4,14,0.00%,28.57%
hairdresser,13,14,0,0,92.86%,0.00%
housekeeper,12,14,0,0,85.71%,0.00%
janitor,0,0,6,17,0.00%,35.29%
laborer,0,0,3,13,0.00%,23.08%
lawyer,0,0,7,17,0.00%,41.18%
librarian,13,14,0,0,92.86%,0.00%
manager,0,0,11,13,0.00%,84.62%
mechanic,0,0,2,15,0.00%,13.33%
mover,0,0,5,15,0.00%,33.33%
nurse,14,14,0,0,100.00%,0.00%
physician,0,0,5,15,0.00%,33.33%
receptionist,15,16,0,0,93.75%,0.00%
salesperson,0,0,13,15,0.00%,86.67%
secretary,13,13,0,0,100.00%,0.00%
sheriff,0,0,3,16,0.00%,18.75%
supervisor,0,0,12,15,0.00%,80.00%
tailor,13,16,0,0,81.25%,0.00%
teacher,15,15,0,0,100.00%,0.00%
writer,14,14,0,0,100.00%,0.00%
