Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,14,14,0,0,100.00%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,14,17,0.00%,82.35%
auditor,0,0,12,13,0.00%,92.31%
baker,0,0,13,15,0.00%,86.67%
carpenter,7,16,0,0,43.75%,0.00%
cashier,0,0,13,14,0.00%,92.86%
ceo,9,11,0,0,81.82%,0.00%
chief,14,15,0,0,93.33%,0.00%
cleaner,0,0,15,15,0.00%,100.00%
clerk,0,0,12,13,0.00%,92.31%
construction worker,12,13,0,0,92.31%,0.00%
cook,15,16,0,0,93.75%,0.00%
counselor,0,0,16,17,0.00%,94.12%
designer,0,0,14,14,0.00%,100.00%
developer,14,14,0,0,100.00%,0.00%
driver,15,15,0,0,100.00%,0.00%
editor,0,0,16,16,0.00%,100.00%
farmer,6,14,0,0,42.86%,0.00%
guard,9,14,0,0,64.29%,0.00%
hairdresser,0,0,14,14,0.00%,100.00%
housekeeper,0,0,12,14,0.00%,85.71%
janitor,13,17,0,0,76.47%,0.00%
laborer,9,13,0,0,69.23%,0.00%
lawyer,14,17,0,0,82.35%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,13,13,0,0,100.00%,0.00%
mechanic,10,15,0,0,66.67%,0.00%
mover,10,15,0,0,66.67%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,11,15,0,0,73.33%,0.00%
receptionist,0,0,16,16,0.00%,100.00%
salesperson,15,15,0,0,100.00%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,13,16,0,0,81.25%,0.00%
supervisor,14,15,0,0,93.33%,0.00%
tailor,0,0,13,16,0.00%,81.25%
teacher,0,0,15,15,0.00%,100.00%
writer,0,0,14,14,0.00%,100.00%
