Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,15,21,0.00%,71.43%
analyst,18,19,0,0,94.74%,0.00%
assistant,0,0,19,19,0.00%,100.00%
attendant,0,0,16,20,0.00%,80.00%
auditor,0,0,16,19,0.00%,84.21%
baker,0,0,18,20,0.00%,90.00%
carpenter,19,20,0,0,95.00%,0.00%
cashier,0,0,16,20,0.00%,80.00%
ceo,18,18,0,0,100.00%,0.00%
chief,20,20,0,0,100.00%,0.00%
cleaner,0,0,19,20,0.00%,95.00%
clerk,0,0,15,20,0.00%,75.00%
construction worker,17,20,0,0,85.00%,0.00%
cook,17,20,0,0,85.00%,0.00%
counselor,0,0,18,20,0.00%,90.00%
designer,0,0,18,20,0.00%,90.00%
developer,20,20,0,0,100.00%,0.00%
driver,18,20,0,0,90.00%,0.00%
editor,0,0,17,20,0.00%,85.00%
farmer,16,20,0,0,80.00%,0.00%
guard,14,19,0,0,73.68%,0.00%
hairdresser,0,0,16,20,0.00%,80.00%
housekeeper,0,0,18,19,0.00%,94.74%
janitor,18,21,0,0,85.71%,0.00%
laborer,18,20,0,0,90.00%,0.00%
lawyer,19,20,0,0,95.00%,0.00%
librarian,0,0,19,20,0.00%,95.00%
manager,17,19,0,0,89.47%,0.00%
mechanic,19,20,0,0,95.00%,0.00%
mover,17,20,0,0,85.00%,0.00%
nurse,0,0,20,20,0.00%,100.00%
physician,19,20,0,0,95.00%,0.00%
receptionist,0,0,18,20,0.00%,90.00%
salesperson,19,20,0,0,95.00%,0.00%
secretary,0,0,18,19,0.00%,94.74%
sheriff,17,20,0,0,85.00%,0.00%
supervisor,19,20,0,0,95.00%,0.00%
tailor,0,0,17,20,0.00%,85.00%
teacher,0,0,19,20,0.00%,95.00%
writer,0,0,19,19,0.00%,100.00%
