Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,21,21,0.00%,100.00%
analyst,19,19,0,0,100.00%,0.00%
assistant,0,0,19,19,0.00%,100.00%
attendant,0,0,20,20,0.00%,100.00%
auditor,0,0,19,19,0.00%,100.00%
baker,0,0,20,20,0.00%,100.00%
carpenter,19,20,0,0,95.00%,0.00%
cashier,0,0,20,20,0.00%,100.00%
ceo,17,18,0,0,94.44%,0.00%
chief,20,20,0,0,100.00%,0.00%
cleaner,0,0,20,20,0.00%,100.00%
clerk,0,0,20,20,0.00%,100.00%
construction worker,20,20,0,0,100.00%,0.00%
cook,20,20,0,0,100.00%,0.00%
counselor,0,0,20,20,0.00%,100.00%
designer,0,0,20,20,0.00%,100.00%
developer,20,20,0,0,100.00%,0.00%
driver,20,20,0,0,100.00%,0.00%
editor,0,0,19,20,0.00%,95.00%
farmer,20,20,0,0,100.00%,0.00%
guard,19,19,0,0,100.00%,0.00%
hairdresser,0,0,20,20,0.00%,100.00%
housekeeper,0,0,19,19,0.00%,100.00%
janitor,21,21,0,0,100.00%,0.00%
laborer,20,20,0,0,100.00%,0.00%
lawyer,20,20,0,0,100.00%,0.00%
librarian,0,0,20,20,0.00%,100.00%
manager,19,19,0,0,100.00%,0.00%
mechanic,20,20,0,0,100.00%,0.00%
mover,20,20,0,0,100.00%,0.00%
nurse,0,0,20,20,0.00%,100.00%
physician,20,20,0,0,100.00%,0.00%
receptionist,0,0,20,20,0.00%,100.00%
salesperson,20,20,0,0,100.00%,0.00%
secretary,0,0,19,19,0.00%,100.00%
sheriff,20,20,0,0,100.00%,0.00%
supervisor,20,20,0,0,100.00%,0.00%
tailor,0,0,20,20,0.00%,100.00%
teacher,0,0,20,20,0.00%,100.00%
writer,0,0,19,19,0.00%,100.00%
