Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,9,21,0,0,42.86%,0.00%
analyst,0,0,10,19,0.00%,52.63%
assistant,6,19,0,0,31.58%,0.00%
attendant,13,20,0,0,65.00%,0.00%
auditor,13,19,0,0,68.42%,0.00%
baker,11,20,0,0,55.00%,0.00%
carpenter,0,0,9,20,0.00%,45.00%
cashier,16,20,0,0,80.00%,0.00%
ceo,0,0,13,18,0.00%,72.22%
chief,0,0,11,20,0.00%,55.00%
cleaner,14,20,0,0,70.00%,0.00%
clerk,8,20,0,0,40.00%,0.00%
construction worker,0,0,12,20,0.00%,60.00%
cook,0,0,15,20,0.00%,75.00%
counselor,9,20,0,0,45.00%,0.00%
designer,11,20,0,0,55.00%,0.00%
developer,0,0,10,20,0.00%,50.00%
driver,0,0,13,20,0.00%,65.00%
editor,7,20,0,0,35.00%,0.00%
farmer,0,0,12,20,0.00%,60.00%
guard,0,0,9,19,0.00%,47.37%
hairdresser,11,20,0,0,55.00%,0.00%
housekeeper,13,19,0,0,68.42%,0.00%
janitor,0,0,10,21,0.00%,47.62%
laborer,0,0,12,20,0.00%,60.00%
lawyer,0,0,13,20,0.00%,65.00%
librarian,14,20,0,0,70.00%,0.00%
manager,0,0,12,19,0.00%,63.16%
mechanic,0,0,10,20,0.00%,50.00%
mover,0,0,13,20,0.00%,65.00%
nurse,13,20,0,0,65.00%,0.00%
physician,0,0,15,20,0.00%,75.00%
receptionist,13,20,0,0,65.00%,0.00%
salesperson,0,0,10,20,0.00%,50.00%
secretary,10,19,0,0,52.63%,0.00%
sheriff,0,0,9,20,0.00%,45.00%
supervisor,0,0,7,20,0.00%,35.00%
tailor,12,20,0,0,60.00%,0.00%
teacher,10,20,0,0,50.00%,0.00%
writer,10,19,0,0,52.63%,0.00%
