Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,13,21,0.00%,61.90%
analyst,12,19,0,0,63.16%,0.00%
assistant,0,0,12,19,0.00%,63.16%
attendant,0,0,15,20,0.00%,75.00%
auditor,0,0,10,19,0.00%,52.63%
baker,0,0,15,20,0.00%,75.00%
carpenter,14,20,0,0,70.00%,0.00%
cashier,0,0,15,20,0.00%,75.00%
ceo,12,18,0,0,66.67%,0.00%
chief,16,20,0,0,80.00%,0.00%
cleaner,0,0,19,20,0.00%,95.00%
clerk,0,0,14,20,0.00%,70.00%
construction worker,13,20,0,0,65.00%,0.00%
cook,12,20,0,0,60.00%,0.00%
counselor,0,0,11,20,0.00%,55.00%
designer,0,0,14,20,0.00%,70.00%
developer,11,20,0,0,55.00%,0.00%
driver,15,20,0,0,75.00%,0.00%
editor,0,0,11,20,0.00%,55.00%
farmer,12,20,0,0,60.00%,0.00%
guard,17,19,0,0,89.47%,0.00%
hairdresser,0,0,15,20,0.00%,75.00%
housekeeper,0,0,15,19,0.00%,78.95%
janitor,13,21,0,0,61.90%,0.00%
laborer,15,20,0,0,75.00%,0.00%
lawyer,15,20,0,0,75.00%,0.00%
librarian,0,0,15,20,0.00%,75.00%
manager,14,19,0,0,73.68%,0.00%
mechanic,13,20,0,0,65.00%,0.00%
mover,16,20,0,0,80.00%,0.00%
nurse,0,0,16,20,0.00%,80.00%
physician,13,20,0,0,65.00%,0.00%
receptionist,0,0,14,20,0.00%,70.00%
salesperson,10,20,0,0,50.00%,0.00%
secretary,0,0,15,19,0.00%,78.95%
sheriff,16,20,0,0,80.00%,0.00%
supervisor,12,20,0,0,60.00%,0.00%
tailor,0,0,14,20,0.00%,70.00%
teacher,0,0,13,20,0.00%,65.00%
writer,0,0,11,19,0.00%,57.89%
