Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,13,16,0,0,81.25%,0.00%
analyst,0,0,11,14,0.00%,78.57%
assistant,12,13,0,0,92.31%,0.00%
attendant,11,17,0,0,64.71%,0.00%
auditor,12,13,0,0,92.31%,0.00%
baker,12,15,0,0,80.00%,0.00%
carpenter,0,0,7,16,0.00%,43.75%
cashier,11,14,0,0,78.57%,0.00%
ceo,0,0,10,11,0.00%,90.91%
chief,0,0,12,15,0.00%,80.00%
cleaner,10,15,0,0,66.67%,0.00%
clerk,10,13,0,0,76.92%,0.00%
construction worker,0,0,9,13,0.00%,69.23%
cook,0,0,15,16,0.00%,93.75%
counselor,11,17,0,0,64.71%,0.00%
designer,9,14,0,0,64.29%,0.00%
developer,0,0,14,14,0.00%,100.00%
driver,0,0,14,15,0.00%,93.33%
editor,16,16,0,0,100.00%,0.00%
farmer,0,0,8,14,0.00%,57.14%
guard,0,0,8,14,0.00%,57.14%
hairdresser,11,14,0,0,78.57%,0.00%
housekeeper,8,14,0,0,57.14%,0.00%
janitor,0,0,11,17,0.00%,64.71%
laborer,0,0,3,13,0.00%,23.08%
lawyer,0,0,15,17,0.00%,88.24%
librarian,9,14,0,0,64.29%,0.00%
manager,0,0,13,13,0.00%,100.00%
mechanic,0,0,9,15,0.00%,60.00%
mover,0,0,10,15,0.00%,66.67%
nurse,11,14,0,0,78.57%,0.00%
physician,0,0,13,15,0.00%,86.67%
receptionist,9,16,0,0,56.25%,0.00%
salesperson,0,0,12,15,0.00%,80.00%
secretary,8,13,0,0,61.54%,0.00%
sheriff,0,0,11,16,0.00%,68.75%
supervisor,0,0,15,15,0.00%,100.00%
tailor,15,16,0,0,93.75%,0.00%
teacher,14,15,0,0,93.33%,0.00%
writer,11,14,0,0,78.57%,0.00%
