Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,15,16,0.00%,93.75%
analyst,13,14,0,0,92.86%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,9,17,0.00%,52.94%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,11,15,0.00%,73.33%
carpenter,13,16,0,0,81.25%,0.00%
cashier,0,0,12,14,0.00%,85.71%
ceo,11,11,0,0,100.00%,0.00%
chief,15,15,0,0,100.00%,0.00%
cleaner,0,0,11,15,0.00%,73.33%
clerk,0,0,10,13,0.00%,76.92%
construction worker,13,13,0,0,100.00%,0.00%
cook,16,16,0,0,100.00%,0.00%
counselor,0,0,12,17,0.00%,70.59%
designer,0,0,11,14,0.00%,78.57%
developer,14,14,0,0,100.00%,0.00%
driver,15,15,0,0,100.00%,0.00%
editor,0,0,16,16,0.00%,100.00%
farmer,10,14,0,0,71.43%,0.00%
guard,13,14,0,0,92.86%,0.00%
hairdresser,0,0,14,14,0.00%,100.00%
housekeeper,0,0,10,14,0.00%,71.43%
janitor,12,17,0,0,70.59%,0.00%
laborer,7,13,0,0,53.85%,0.00%
lawyer,17,17,0,0,100.00%,0.00%
librarian,0,0,9,14,0.00%,64.29%
manager,13,13,0,0,100.00%,0.00%
mechanic,15,15,0,0,100.00%,0.00%
mover,14,15,0,0,93.33%,0.00%
nurse,0,0,12,14,0.00%,85.71%
physician,15,15,0,0,100.00%,0.00%
receptionist,0,0,11,16,0.00%,68.75%
salesperson,14,15,0,0,93.33%,0.00%
secretary,0,0,10,13,0.00%,76.92%
sheriff,15,16,0,0,93.75%,0.00%
supervisor,15,15,0,0,100.00%,0.00%
tailor,0,0,12,16,0.00%,75.00%
teacher,0,0,15,15,0.00%,100.00%
writer,0,0,12,14,0.00%,85.71%
