Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,6,14,0,0,42.86%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,14,17,0.00%,82.35%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,15,15,0.00%,100.00%
carpenter,1,16,0,0,6.25%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,1,11,0,0,9.09%,0.00%
chief,1,15,0,0,6.67%,0.00%
cleaner,0,0,13,15,0.00%,86.67%
clerk,0,0,11,13,0.00%,84.62%
construction worker,0,13,0,0,0.00%,0.00%
cook,5,16,0,0,31.25%,0.00%
counselor,0,0,16,17,0.00%,94.12%
designer,0,0,13,14,0.00%,92.86%
developer,7,14,0,0,50.00%,0.00%
driver,5,15,0,0,33.33%,0.00%
editor,0,0,12,16,0.00%,75.00%
farmer,5,14,0,0,35.71%,0.00%
guard,3,14,0,0,21.43%,0.00%
hairdresser,0,0,8,14,0.00%,57.14%
housekeeper,0,0,11,14,0.00%,78.57%
janitor,0,17,0,0,0.00%,0.00%
laborer,2,13,0,0,15.38%,0.00%
lawyer,6,17,0,0,35.29%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,1,13,0,0,7.69%,0.00%
mechanic,4,15,0,0,26.67%,0.00%
mover,0,15,0,0,0.00%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,8,15,0,0,53.33%,0.00%
receptionist,0,0,12,16,0.00%,75.00%
salesperson,7,15,0,0,46.67%,0.00%
secretary,0,0,12,13,0.00%,92.31%
sheriff,1,16,0,0,6.25%,0.00%
supervisor,9,15,0,0,60.00%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,13,15,0.00%,86.67%
writer,0,0,8,14,0.00%,57.14%
