Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,14,14,0.00%,100.00%
assistant,13,13,0,0,100.00%,0.00%
attendant,15,18,0,0,83.33%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,3,16,0.00%,18.75%
cashier,14,14,0,0,100.00%,0.00%
ceo,0,0,7,11,0.00%,63.64%
chief,0,0,11,15,0.00%,73.33%
cleaner,14,15,0,0,93.33%,0.00%
clerk,13,13,0,0,100.00%,0.00%
construction worker,0,0,4,13,0.00%,30.77%
cook,0,0,14,16,0.00%,87.50%
counselor,16,17,0,0,94.12%,0.00%
designer,14,14,0,0,100.00%,0.00%
developer,0,0,9,14,0.00%,64.29%
driver,0,0,11,15,0.00%,73.33%
editor,13,16,0,0,81.25%,0.00%
farmer,0,0,9,14,0.00%,64.29%
guard,0,0,12,14,0.00%,85.71%
hairdresser,8,14,0,0,57.14%,0.00%
housekeeper,11,14,0,0,78.57%,0.00%
janitor,0,0,3,17,0.00%,17.65%
laborer,0,0,8,13,0.00%,61.54%
lawyer,0,0,11,16,0.00%,68.75%
librarian,14,14,0,0,100.00%,0.00%
manager,0,0,7,13,0.00%,53.85%
mechanic,0,0,10,15,0.00%,66.67%
mover,0,0,0,15,0.00%,0.00%
nurse,13,14,0,0,92.86%,0.00%
physician,0,0,11,14,0.00%,78.57%
receptionist,14,16,0,0,87.50%,0.00%
salesperson,0,0,15,15,0.00%,100.00%
secretary,12,13,0,0,92.31%,0.00%
sheriff,0,0,4,16,0.00%,25.00%
supervisor,0,0,14,15,0.00%,93.33%
tailor,17,17,0,0,100.00%,0.00%
teacher,10,15,0,0,66.67%,0.00%
writer,7,14,0,0,50.00%,0.00%
