Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,10,14,0.00%,71.43%
assistant,11,13,0,0,84.62%,0.00%
attendant,2,18,0,0,11.11%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,0,16,0.00%,0.00%
cashier,13,14,0,0,92.86%,0.00%
ceo,0,0,8,11,0.00%,72.73%
chief,0,0,3,15,0.00%,20.00%
cleaner,13,15,0,0,86.67%,0.00%
clerk,13,13,0,0,100.00%,0.00%
construction worker,0,0,2,13,0.00%,15.38%
cook,0,0,16,16,0.00%,100.00%
counselor,17,17,0,0,100.00%,0.00%
designer,7,14,0,0,50.00%,0.00%
developer,0,0,1,14,0.00%,7.14%
driver,0,0,12,15,0.00%,80.00%
editor,14,16,0,0,87.50%,0.00%
farmer,0,0,1,14,0.00%,7.14%
guard,0,0,11,14,0.00%,78.57%
hairdresser,11,14,0,0,78.57%,0.00%
housekeeper,0,14,0,0,0.00%,0.00%
janitor,0,0,0,17,0.00%,0.00%
laborer,0,0,8,13,0.00%,61.54%
lawyer,0,0,11,16,0.00%,68.75%
librarian,14,14,0,0,100.00%,0.00%
manager,0,0,1,13,0.00%,7.69%
mechanic,0,0,15,15,0.00%,100.00%
mover,0,0,0,15,0.00%,0.00%
nurse,9,14,0,0,64.29%,0.00%
physician,0,0,6,14,0.00%,42.86%
receptionist,0,16,0,0,0.00%,0.00%
salesperson,0,0,12,15,0.00%,80.00%
secretary,12,13,0,0,92.31%,0.00%
sheriff,0,0,0,16,0.00%,0.00%
supervisor,0,0,10,15,0.00%,66.67%
tailor,17,17,0,0,100.00%,0.00%
teacher,7,15,0,0,46.67%,0.00%
writer,5,14,0,0,35.71%,0.00%
