Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,10,14,0.00%,71.43%
assistant,13,13,0,0,100.00%,0.00%
attendant,12,17,0,0,70.59%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,2,16,0.00%,12.50%
cashier,12,14,0,0,85.71%,0.00%
ceo,0,0,3,11,0.00%,27.27%
chief,0,0,3,15,0.00%,20.00%
cleaner,13,15,0,0,86.67%,0.00%
clerk,9,13,0,0,69.23%,0.00%
construction worker,0,0,4,13,0.00%,30.77%
cook,0,0,9,16,0.00%,56.25%
counselor,16,17,0,0,94.12%,0.00%
designer,13,14,0,0,92.86%,0.00%
developer,0,0,6,14,0.00%,42.86%
driver,0,0,6,15,0.00%,40.00%
editor,14,16,0,0,87.50%,0.00%
farmer,0,0,4,14,0.00%,28.57%
guard,0,0,9,14,0.00%,64.29%
hairdresser,11,14,0,0,78.57%,0.00%
housekeeper,10,14,0,0,71.43%,0.00%
janitor,0,0,1,17,0.00%,5.88%
laborer,0,0,2,13,0.00%,15.38%
lawyer,0,0,5,17,0.00%,29.41%
librarian,14,14,0,0,100.00%,0.00%
manager,0,0,3,13,0.00%,23.08%
mechanic,0,0,3,15,0.00%,20.00%
mover,0,0,2,15,0.00%,13.33%
nurse,9,14,0,0,64.29%,0.00%
physician,0,0,7,15,0.00%,46.67%
receptionist,14,16,0,0,87.50%,0.00%
salesperson,0,0,14,15,0.00%,93.33%
secretary,9,13,0,0,69.23%,0.00%
sheriff,0,0,2,16,0.00%,12.50%
supervisor,0,0,11,15,0.00%,73.33%
tailor,16,16,0,0,100.00%,0.00%
teacher,12,15,0,0,80.00%,0.00%
writer,10,14,0,0,71.43%,0.00%
