Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,13,14,0,0,92.86%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,16,17,0.00%,94.12%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,9,15,0.00%,60.00%
carpenter,2,16,0,0,12.50%,0.00%
cashier,0,0,12,14,0.00%,85.71%
ceo,0,11,0,0,0.00%,0.00%
chief,8,15,0,0,53.33%,0.00%
cleaner,0,0,11,15,0.00%,73.33%
clerk,0,0,11,13,0.00%,84.62%
construction worker,2,13,0,0,15.38%,0.00%
cook,12,16,0,0,75.00%,0.00%
counselor,0,0,17,17,0.00%,100.00%
designer,0,0,10,14,0.00%,71.43%
developer,7,14,0,0,50.00%,0.00%
driver,10,15,0,0,66.67%,0.00%
editor,0,0,16,16,0.00%,100.00%
farmer,4,14,0,0,28.57%,0.00%
guard,13,14,0,0,92.86%,0.00%
hairdresser,0,0,9,14,0.00%,64.29%
housekeeper,0,0,0,14,0.00%,0.00%
janitor,0,17,0,0,0.00%,0.00%
laborer,12,13,0,0,92.31%,0.00%
lawyer,12,17,0,0,70.59%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,3,13,0,0,23.08%,0.00%
mechanic,15,15,0,0,100.00%,0.00%
mover,0,15,0,0,0.00%,0.00%
nurse,0,0,13,14,0.00%,92.86%
physician,13,15,0,0,86.67%,0.00%
receptionist,0,0,8,16,0.00%,50.00%
salesperson,8,15,0,0,53.33%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,0,16,0,0,0.00%,0.00%
supervisor,15,15,0,0,100.00%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,14,15,0.00%,93.33%
writer,0,0,5,14,0.00%,35.71%
