Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,8,14,0,0,57.14%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,16,17,0.00%,94.12%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,15,15,0.00%,100.00%
carpenter,6,16,0,0,37.50%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,6,11,0,0,54.55%,0.00%
chief,7,15,0,0,46.67%,0.00%
cleaner,0,0,14,15,0.00%,93.33%
clerk,0,0,10,13,0.00%,76.92%
construction worker,3,13,0,0,23.08%,0.00%
cook,10,16,0,0,62.50%,0.00%
counselor,0,0,17,17,0.00%,100.00%
designer,0,0,13,14,0.00%,92.86%
developer,12,14,0,0,85.71%,0.00%
driver,10,15,0,0,66.67%,0.00%
editor,0,0,13,16,0.00%,81.25%
farmer,4,14,0,0,28.57%,0.00%
guard,12,14,0,0,85.71%,0.00%
hairdresser,0,0,12,14,0.00%,85.71%
housekeeper,0,0,13,14,0.00%,92.86%
janitor,4,17,0,0,23.53%,0.00%
laborer,6,13,0,0,46.15%,0.00%
lawyer,11,17,0,0,64.71%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,7,13,0,0,53.85%,0.00%
mechanic,13,15,0,0,86.67%,0.00%
mover,5,15,0,0,33.33%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,12,15,0,0,80.00%,0.00%
receptionist,0,0,14,16,0.00%,87.50%
salesperson,15,15,0,0,100.00%,0.00%
secretary,0,0,12,13,0.00%,92.31%
sheriff,7,16,0,0,43.75%,0.00%
supervisor,12,15,0,0,80.00%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,15,15,0.00%,100.00%
writer,0,0,13,14,0.00%,92.86%
