Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,9,14,0,0,64.29%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,16,17,0.00%,94.12%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,15,15,0.00%,100.00%
carpenter,2,16,0,0,12.50%,0.00%
cashier,0,0,13,14,0.00%,92.86%
ceo,2,11,0,0,18.18%,0.00%
chief,5,15,0,0,33.33%,0.00%
cleaner,0,0,14,15,0.00%,93.33%
clerk,0,0,9,13,0.00%,69.23%
construction worker,1,13,0,0,7.69%,0.00%
cook,10,16,0,0,62.50%,0.00%
counselor,0,0,17,17,0.00%,100.00%
designer,0,0,13,14,0.00%,92.86%
developer,10,14,0,0,71.43%,0.00%
driver,6,15,0,0,40.00%,0.00%
editor,0,0,13,16,0.00%,81.25%
farmer,4,14,0,0,28.57%,0.00%
guard,7,14,0,0,50.00%,0.00%
hairdresser,0,0,11,14,0.00%,78.57%
housekeeper,0,0,12,14,0.00%,85.71%
janitor,1,17,0,0,5.88%,0.00%
laborer,4,13,0,0,30.77%,0.00%
lawyer,9,17,0,0,52.94%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,7,13,0,0,53.85%,0.00%
mechanic,12,15,0,0,80.00%,0.00%
mover,2,15,0,0,13.33%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,10,15,0,0,66.67%,0.00%
receptionist,0,0,15,16,0.00%,93.75%
salesperson,12,15,0,0,80.00%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,2,16,0,0,12.50%,0.00%
supervisor,12,15,0,0,80.00%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,14,15,0.00%,93.33%
writer,0,0,9,14,0.00%,64.29%
