Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,13,14,0,0,92.86%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,4,17,0.00%,23.53%
auditor,0,0,9,13,0.00%,69.23%
baker,0,0,15,15,0.00%,100.00%
carpenter,15,16,0,0,93.75%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,1,11,0,0,9.09%,0.00%
chief,12,15,0,0,80.00%,0.00%
cleaner,0,0,11,15,0.00%,73.33%
clerk,0,0,11,13,0.00%,84.62%
construction worker,6,13,0,0,46.15%,0.00%
cook,12,16,0,0,75.00%,0.00%
counselor,0,0,15,17,0.00%,88.24%
designer,0,0,10,14,0.00%,71.43%
developer,12,14,0,0,85.71%,0.00%
driver,14,15,0,0,93.33%,0.00%
editor,0,0,8,16,0.00%,50.00%
farmer,11,14,0,0,78.57%,0.00%
guard,14,14,0,0,100.00%,0.00%
hairdresser,0,0,10,14,0.00%,71.43%
housekeeper,0,0,11,14,0.00%,78.57%
janitor,17,17,0,0,100.00%,0.00%
laborer,13,13,0,0,100.00%,0.00%
lawyer,12,17,0,0,70.59%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,2,13,0,0,15.38%,0.00%
mechanic,15,15,0,0,100.00%,0.00%
mover,8,15,0,0,53.33%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,15,15,0,0,100.00%,0.00%
receptionist,0,0,14,16,0.00%,87.50%
salesperson,15,15,0,0,100.00%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,16,16,0,0,100.00%,0.00%
supervisor,14,15,0,0,93.33%,0.00%
tailor,0,0,7,16,0.00%,43.75%
teacher,0,0,15,15,0.00%,100.00%
writer,0,0,0,14,0.00%,0.00%
