Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,11,14,0,0,78.57%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,3,17,0.00%,17.65%
auditor,0,0,12,13,0.00%,92.31%
baker,0,0,15,15,0.00%,100.00%
carpenter,15,16,0,0,93.75%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,0,11,0,0,0.00%,0.00%
chief,13,15,0,0,86.67%,0.00%
cleaner,0,0,4,15,0.00%,26.67%
clerk,0,0,11,13,0.00%,84.62%
construction worker,2,13,0,0,15.38%,0.00%
cook,8,16,0,0,50.00%,0.00%
counselor,0,0,14,17,0.00%,82.35%
designer,0,0,12,14,0.00%,85.71%
developer,12,14,0,0,85.71%,0.00%
driver,13,15,0,0,86.67%,0.00%
editor,0,0,9,16,0.00%,56.25%
farmer,12,14,0,0,85.71%,0.00%
guard,14,14,0,0,100.00%,0.00%
hairdresser,0,0,8,14,0.00%,57.14%
housekeeper,0,0,7,14,0.00%,50.00%
janitor,17,17,0,0,100.00%,0.00%
laborer,12,13,0,0,92.31%,0.00%
lawyer,9,17,0,0,52.94%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,10,13,0,0,76.92%,0.00%
mechanic,4,15,0,0,26.67%,0.00%
mover,14,15,0,0,93.33%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,15,15,0,0,100.00%,0.00%
receptionist,0,0,14,16,0.00%,87.50%
salesperson,15,15,0,0,100.00%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,16,16,0,0,100.00%,0.00%
supervisor,10,15,0,0,66.67%,0.00%
tailor,0,0,8,16,0.00%,50.00%
teacher,0,0,13,15,0.00%,86.67%
writer,0,0,2,14,0.00%,14.29%
