Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,14,14,0.00%,100.00%
assistant,13,13,0,0,100.00%,0.00%
attendant,9,18,0,0,50.00%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,15,16,0.00%,93.75%
cashier,14,14,0,0,100.00%,0.00%
ceo,0,0,0,11,0.00%,0.00%
chief,0,0,14,15,0.00%,93.33%
cleaner,10,15,0,0,66.67%,0.00%
clerk,12,13,0,0,92.31%,0.00%
construction worker,0,0,6,13,0.00%,46.15%
cook,0,0,14,16,0.00%,87.50%
counselor,16,17,0,0,94.12%,0.00%
designer,14,14,0,0,100.00%,0.00%
developer,0,0,13,14,0.00%,92.86%
driver,0,0,14,15,0.00%,93.33%
editor,14,16,0,0,87.50%,0.00%
farmer,0,0,13,14,0.00%,92.86%
guard,0,0,14,14,0.00%,100.00%
hairdresser,10,14,0,0,71.43%,0.00%
housekeeper,13,14,0,0,92.86%,0.00%
janitor,0,0,17,17,0.00%,100.00%
laborer,0,0,12,13,0.00%,92.31%
lawyer,0,0,15,16,0.00%,93.75%
librarian,14,14,0,0,100.00%,0.00%
manager,0,0,10,13,0.00%,76.92%
mechanic,0,0,5,15,0.00%,33.33%
mover,0,0,14,15,0.00%,93.33%
nurse,12,14,0,0,85.71%,0.00%
physician,0,0,12,14,0.00%,85.71%
receptionist,15,16,0,0,93.75%,0.00%
salesperson,0,0,15,15,0.00%,100.00%
secretary,12,13,0,0,92.31%,0.00%
sheriff,0,0,15,16,0.00%,93.75%
supervisor,0,0,14,15,0.00%,93.33%
tailor,17,17,0,0,100.00%,0.00%
teacher,15,15,0,0,100.00%,0.00%
writer,8,14,0,0,57.14%,0.00%
