Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,6,14,0,0,42.86%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,15,17,0.00%,88.24%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,15,15,0.00%,100.00%
carpenter,3,16,0,0,18.75%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,2,11,0,0,18.18%,0.00%
chief,3,15,0,0,20.00%,0.00%
cleaner,0,0,13,15,0.00%,86.67%
clerk,0,0,10,13,0.00%,76.92%
construction worker,1,13,0,0,7.69%,0.00%
cook,8,16,0,0,50.00%,0.00%
counselor,0,0,16,17,0.00%,94.12%
designer,0,0,13,14,0.00%,92.86%
developer,8,14,0,0,57.14%,0.00%
driver,6,15,0,0,40.00%,0.00%
editor,0,0,13,16,0.00%,81.25%
farmer,4,14,0,0,28.57%,0.00%
guard,10,14,0,0,71.43%,0.00%
hairdresser,0,0,11,14,0.00%,78.57%
housekeeper,0,0,12,14,0.00%,85.71%
janitor,4,17,0,0,23.53%,0.00%
laborer,3,13,0,0,23.08%,0.00%
lawyer,7,17,0,0,41.18%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,4,13,0,0,30.77%,0.00%
mechanic,4,15,0,0,26.67%,0.00%
mover,4,15,0,0,26.67%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,8,15,0,0,53.33%,0.00%
receptionist,0,0,14,16,0.00%,87.50%
salesperson,12,15,0,0,80.00%,0.00%
secretary,0,0,12,13,0.00%,92.31%
sheriff,7,16,0,0,43.75%,0.00%
supervisor,11,15,0,0,73.33%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,15,15,0.00%,100.00%
writer,0,0,10,14,0.00%,71.43%
