Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,2,16,0.00%,12.50%
analyst,0,14,0,0,0.00%,0.00%
assistant,0,0,3,13,0.00%,23.08%
attendant,0,0,0,17,0.00%,0.00%
auditor,0,0,4,13,0.00%,30.77%
baker,0,0,12,15,0.00%,80.00%
carpenter,7,16,0,0,43.75%,0.00%
cashier,0,0,11,14,0.00%,78.57%
ceo,0,11,0,0,0.00%,0.00%
chief,8,15,0,0,53.33%,0.00%
cleaner,0,0,3,15,0.00%,20.00%
clerk,0,0,0,13,0.00%,0.00%
construction worker,2,13,0,0,15.38%,0.00%
cook,3,16,0,0,18.75%,0.00%
counselor,0,0,7,17,0.00%,41.18%
designer,0,0,4,14,0.00%,28.57%
developer,3,14,0,0,21.43%,0.00%
driver,10,15,0,0,66.67%,0.00%
editor,0,0,6,16,0.00%,37.50%
farmer,10,14,0,0,71.43%,0.00%
guard,2,14,0,0,14.29%,0.00%
hairdresser,0,0,0,14,0.00%,0.00%
housekeeper,0,0,6,14,0.00%,42.86%
janitor,17,17,0,0,100.00%,0.00%
laborer,1,13,0,0,7.69%,0.00%
lawyer,5,17,0,0,29.41%,0.00%
librarian,0,0,1,14,0.00%,7.14%
manager,7,13,0,0,53.85%,0.00%
mechanic,0,15,0,0,0.00%,0.00%
mover,0,15,0,0,0.00%,0.00%
nurse,0,0,7,14,0.00%,50.00%
physician,1,15,0,0,6.67%,0.00%
receptionist,0,0,8,16,0.00%,50.00%
salesperson,13,15,0,0,86.67%,0.00%
secretary,0,0,4,13,0.00%,30.77%
sheriff,7,16,0,0,43.75%,0.00%
supervisor,1,15,0,0,6.67%,0.00%
tailor,0,0,10,16,0.00%,62.50%
teacher,0,0,14,15,0.00%,93.33%
writer,0,0,0,14,0.00%,0.00%
