Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
driver,0,0,14,20,0.00%,70.00%
supervisor,0,0,12,20,0.00%,60.00%
janitor,0,0,14,21,0.00%,66.67%
cook,0,0,16,20,0.00%,80.00%
mover,0,0,18,20,0.00%,90.00%
laborer,0,0,6,20,0.00%,30.00%
construction worker,0,0,8,20,0.00%,40.00%
chief,0,0,15,20,0.00%,75.00%
developer,0,0,13,20,0.00%,65.00%
carpenter,0,0,11,20,0.00%,55.00%
manager,0,0,12,19,0.00%,63.16%
lawyer,0,0,6,19,0.00%,31.58%
farmer,0,0,15,20,0.00%,75.00%
salesperson,0,0,11,20,0.00%,55.00%
physician,0,0,8,19,0.00%,42.11%
guard,0,0,14,19,0.00%,73.68%
analyst,0,0,15,19,0.00%,78.95%
mechanic,0,0,4,20,0.00%,20.00%
sheriff,0,0,14,20,0.00%,70.00%
ceo,0,0,11,18,0.00%,61.11%
attendant,16,21,0,0,76.19%,0.00%
cashier,18,20,0,0,90.00%,0.00%
teacher,20,20,0,0,100.00%,0.00%
nurse,11,20,0,0,55.00%,0.00%
assistant,10,19,0,0,52.63%,0.00%
secretary,12,19,0,0,63.16%,0.00%
auditor,17,19,0,0,89.47%,0.00%
cleaner,18,20,0,0,90.00%,0.00%
receptionist,19,20,0,0,95.00%,0.00%
clerk,18,20,0,0,90.00%,0.00%
counselor,14,20,0,0,70.00%,0.00%
designer,11,20,0,0,55.00%,0.00%
hairdresser,11,20,0,0,55.00%,0.00%
writer,14,19,0,0,73.68%,0.00%
housekeeper,15,19,0,0,78.95%,0.00%
baker,13,20,0,0,65.00%,0.00%
accountant,21,21,0,0,100.00%,0.00%
editor,18,20,0,0,90.00%,0.00%
librarian,15,20,0,0,75.00%,0.00%
tailor,20,21,0,0,95.24%,0.00%
