Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
driver,15,20,0,0,75.00%,0.00%
supervisor,14,20,0,0,70.00%,0.00%
janitor,16,21,0,0,76.19%,0.00%
cook,17,20,0,0,85.00%,0.00%
mover,17,20,0,0,85.00%,0.00%
laborer,7,20,0,0,35.00%,0.00%
construction worker,16,20,0,0,80.00%,0.00%
chief,18,20,0,0,90.00%,0.00%
developer,16,20,0,0,80.00%,0.00%
carpenter,16,20,0,0,80.00%,0.00%
manager,17,19,0,0,89.47%,0.00%
lawyer,9,20,0,0,45.00%,0.00%
farmer,17,20,0,0,85.00%,0.00%
salesperson,8,20,0,0,40.00%,0.00%
physician,11,20,0,0,55.00%,0.00%
guard,18,19,0,0,94.74%,0.00%
analyst,18,19,0,0,94.74%,0.00%
mechanic,12,20,0,0,60.00%,0.00%
sheriff,19,20,0,0,95.00%,0.00%
ceo,11,18,0,0,61.11%,0.00%
attendant,0,0,18,20,0.00%,90.00%
cashier,0,0,20,20,0.00%,100.00%
teacher,0,0,19,20,0.00%,95.00%
nurse,0,0,20,20,0.00%,100.00%
assistant,0,0,13,19,0.00%,68.42%
secretary,0,0,17,19,0.00%,89.47%
auditor,0,0,18,19,0.00%,94.74%
cleaner,0,0,19,20,0.00%,95.00%
receptionist,0,0,20,20,0.00%,100.00%
clerk,0,0,19,20,0.00%,95.00%
counselor,0,0,19,20,0.00%,95.00%
designer,0,0,16,20,0.00%,80.00%
hairdresser,0,0,18,20,0.00%,90.00%
writer,0,0,17,19,0.00%,89.47%
housekeeper,0,0,19,19,0.00%,100.00%
baker,0,0,19,20,0.00%,95.00%
accountant,0,0,21,21,0.00%,100.00%
editor,0,0,19,20,0.00%,95.00%
librarian,0,0,17,20,0.00%,85.00%
tailor,0,0,18,20,0.00%,90.00%
