Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,12,16,0.00%,75.00%
analyst,11,14,0,0,78.57%,0.00%
assistant,0,0,12,13,0.00%,92.31%
attendant,0,0,14,17,0.00%,82.35%
auditor,0,0,12,13,0.00%,92.31%
baker,0,0,14,15,0.00%,93.33%
carpenter,7,16,0,0,43.75%,0.00%
cashier,0,0,10,14,0.00%,71.43%
ceo,6,11,0,0,54.55%,0.00%
chief,7,15,0,0,46.67%,0.00%
cleaner,0,0,14,15,0.00%,93.33%
clerk,0,0,9,13,0.00%,69.23%
construction worker,5,13,0,0,38.46%,0.00%
cook,15,16,0,0,93.75%,0.00%
counselor,0,0,13,17,0.00%,76.47%
designer,0,0,12,14,0.00%,85.71%
developer,12,14,0,0,85.71%,0.00%
driver,11,15,0,0,73.33%,0.00%
editor,0,0,13,16,0.00%,81.25%
farmer,9,14,0,0,64.29%,0.00%
guard,13,14,0,0,92.86%,0.00%
hairdresser,0,0,12,14,0.00%,85.71%
housekeeper,0,0,14,14,0.00%,100.00%
janitor,6,17,0,0,35.29%,0.00%
laborer,7,13,0,0,53.85%,0.00%
lawyer,9,17,0,0,52.94%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,9,13,0,0,69.23%,0.00%
mechanic,14,15,0,0,93.33%,0.00%
mover,9,15,0,0,60.00%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,8,15,0,0,53.33%,0.00%
receptionist,0,0,16,16,0.00%,100.00%
salesperson,13,15,0,0,86.67%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,9,16,0,0,56.25%,0.00%
supervisor,13,15,0,0,86.67%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,13,15,0.00%,86.67%
writer,0,0,10,14,0.00%,71.43%
