Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,10,16,0,0,62.50%,0.00%
analyst,0,0,12,14,0.00%,85.71%
assistant,12,13,0,0,92.31%,0.00%
attendant,12,18,0,0,66.67%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,7,16,0.00%,43.75%
cashier,5,14,0,0,35.71%,0.00%
ceo,0,0,8,11,0.00%,72.73%
chief,0,0,10,15,0.00%,66.67%
cleaner,13,15,0,0,86.67%,0.00%
clerk,11,13,0,0,84.62%,0.00%
construction worker,0,0,8,13,0.00%,61.54%
cook,0,0,15,16,0.00%,93.75%
counselor,10,17,0,0,58.82%,0.00%
designer,12,14,0,0,85.71%,0.00%
developer,0,0,9,14,0.00%,64.29%
driver,0,0,12,15,0.00%,80.00%
editor,15,16,0,0,93.75%,0.00%
farmer,0,0,7,14,0.00%,50.00%
guard,0,0,13,14,0.00%,92.86%
hairdresser,10,14,0,0,71.43%,0.00%
housekeeper,9,14,0,0,64.29%,0.00%
janitor,0,0,11,17,0.00%,64.71%
laborer,0,0,7,13,0.00%,53.85%
lawyer,0,0,9,16,0.00%,56.25%
librarian,9,14,0,0,64.29%,0.00%
manager,0,0,8,13,0.00%,61.54%
mechanic,0,0,9,15,0.00%,60.00%
mover,0,0,10,15,0.00%,66.67%
nurse,8,14,0,0,57.14%,0.00%
physician,0,0,9,14,0.00%,64.29%
receptionist,14,16,0,0,87.50%,0.00%
salesperson,0,0,12,15,0.00%,80.00%
secretary,9,13,0,0,69.23%,0.00%
sheriff,0,0,7,16,0.00%,43.75%
supervisor,0,0,14,15,0.00%,93.33%
tailor,16,17,0,0,94.12%,0.00%
teacher,7,15,0,0,46.67%,0.00%
writer,7,14,0,0,50.00%,0.00%
