humanLabel,genderLabel,label
Miguel de Cervantes,male,accountant
Arthur Fadden,male,accountant
Simon Stevin,male,accountant
Steven Palazzo,male,accountant
Antonie van Leeuwenhoek,male,accountant
Josef Kramer,male,accountant
Barnabas Sibusiso Dlamini,male,accountant
Karl-Friedrich Höcker,male,accountant
Anton Kaindl,male,accountant
Abdul Ahad Mohmand,male,accountant
Srinivasa Ramanujan,male,accountant
Luca Pacioli,male,accountant
Hans Günther,male,accountant
Reinhard Goerdeler,male,accountant
Arthur Breitwieser,male,accountant
Gerhard Maurer,male,accountant
Peter Stamm,male,accountant
John D. Rockefeller,male,accountant
Svetlana Medvedeva,female,accountant
Veronica Guerin,female,accountant
Gregory McMahon,male,accountant
Mike Weatherley,male,accountant
Paul-Henri Spence,male,accountant
Liz Truss,female,accountant
Amy Gough,female,accountant
Matt Smith,male,accountant
Takahashi Korekiyo,male,accountant
Abel Santamaría,male,accountant
David Heathcoat-Amory,male,accountant
"Joel Barnett, Baron Barnett",male,accountant
"William Legge, 10th Earl of Dartmouth",male,accountant
Bill Justinussen,male,accountant
Lucia Haro,female,accountant
Maurice Stans,male,accountant
Kumar Mangalam Birla,male,accountant
Akwasi Osei-Adjei,male,accountant
"Stanley Fink, Baron Fink",male,accountant
Mike Enzi,male,accountant
Ellen Fairclough,female,accountant
Collin Peterson,male,accountant
Frank Crean,male,accountant
Lynn Jenkins,female,accountant
Marta Andreasen,female,accountant
Kasha Nabagesera,female,accountant
Amr Khaled,male,accountant
John B. T. Campbell III,male,accountant
Kálmán Ferenczfalvi,male,accountant
Lorentz Lossius,male,accountant
Ryszard Siwiec,male,accountant
Shekhar Kapur,male,accountant
Chris Moneymaker,male,accountant
Anfinn Kallsberg,male,accountant
Henri Désiré Landru,male,accountant
Sara Jane Moore,female,accountant
Joyce Tyldesley,female,accountant
Mike Riley,male,accountant
David Mowat,male,accountant
Itzhak Stern,male,accountant
Marcel Tremblay,male,accountant
Brad Sherman,male,accountant
Art Eggleton,male,accountant
Arthur Findlay,male,accountant
Theophiel Coopman,male,accountant
Jeremy Lefroy,male,accountant
Loreta Graužinienė,female,accountant
"Sir Thomas Bond, 1st Baronet",male,accountant
Nobuzo Tohmatsu,male,accountant
William Wolfe,male,accountant
Rick Snyder,male,accountant
François Barrême,male,accountant
Vittorio Valletta,male,accountant
Martin Michlmayr,male,accountant
Warren Jeffs,male,accountant
Giorgos Syrimis,male,accountant
Ron Johnson,male,accountant
Jim Renacci,male,accountant
Mad Mike Hoare,male,accountant
Carl Zehr,male,accountant
Clara Bohm-Schuch,female,accountant
Adolf Janszky,male,accountant
László Ladó,male,accountant
David Bahati,male,accountant
Sergio Marchionne,male,accountant
Eric Spooner,male,accountant
Ralph Nelson Elliott,male,accountant
