humanLabel,genderLabel,label
Gottfried Schweitzer,male,assistant
Johannes August Petersen,male,assistant
Walter Hoffmann,male,assistant
Axel Brandt,male,assistant
Tiger Willi,male,assistant
Friedrich Siegmund-Schulze,male,assistant
Tereza Hubáčková,female,assistant
Michaela Dvořáková,female,assistant
Jan Kolář,male,assistant
Iva Junová,female,assistant
Jiří Kressa,male,assistant
Zdeněk Pospíchal,male,assistant
Veronika Šuráňová,female,assistant
Vladimír Vaďura,male,assistant
Radim Janík,male,assistant
Olga Landová,female,assistant
Maria Seisenbacher,female,assistant
Martin Heranig,male,assistant
Franz Josef Herrmann,male,assistant
Lucie Durdilová,female,assistant
Lucie Zormanová,female,assistant
Martin Langebach,male,assistant
Paul Sachse,male,assistant
Jürgen E. Schwab,male,assistant
Reinhard Fatke,male,assistant
Klaus Hugler,male,assistant
Günter Burkart,male,assistant
Norbert Henke,male,assistant
Johannes Heibel,male,assistant
Bernd Keck,male,assistant
Eberhard Bolay,male,assistant
Hubertus Habel,male,assistant
Jens Jekewitz,male,assistant
Hubert Höllmüller,male,assistant
Kay Biesel,male,assistant
Andrea Štanglová,female,assistant
Jürgen Brehme,male,assistant
Christopher Koch,male,assistant
Walther Herrmann,male,assistant
Hannes Wezel,male,assistant
Matthias Lack,male,assistant
Siegfried Benker,male,assistant
Hans Kähler,male,assistant
Gregor Stach,male,assistant
Dieter Kuhl,male,assistant
Adalbert Wulff,male,assistant
Rolf Voigt,male,assistant
Cosimo Mangione,male,assistant
Klaus Wanka,male,assistant
Werner Neidig,male,assistant
Rainer Karl Litz,male,assistant
Hans-Jürgen Seemann,male,assistant
Gerd Gehrmann,male,assistant
Thomas Geisen,male,assistant
Klaus Hennig,male,assistant
Christian Schrapper,male,assistant
Michael Höhn,male,assistant
Thomas Schneider,male,assistant
Michael Manzek,male,assistant
Peter Winzer,male,assistant
Olaf Reis,male,assistant
Alex Aßmann,male,assistant
Julius Hoffmann,male,assistant
Bernd Jaeger,male,assistant
Ulrich Herr,male,assistant
Richard Münchmeier,male,assistant
Thomas Aichhorn,male,assistant
Gregor Bohnensack-Schlösser,male,assistant
Jens Nguyen,male,assistant
Arno Combe,male,assistant
Stefan Gillich,male,assistant
Andreas Keck,male,assistant
Andreas Erdmann,male,assistant
Josef Haverkamp,male,assistant
Curry Malott,male,assistant
Christoph Havers,male,assistant
Sven Wendelmuth,male,assistant
Eckhard Hansen,male,assistant
Jörg Fischer,male,assistant
Jan Buchta,male,assistant
Jessie Loarn,female,assistant
Karl Theodor Hofmann,male,assistant
Eberhard Arbeiter,male,assistant
Franz Zeugner,male,assistant
Manfred Wöbcke,male,assistant
Teresa Wilk,female,assistant
Rainer Brackhane,male,assistant
Elisabeth Raab-Steiner,female,assistant
Monika Wellner,female,assistant
Wolfgang Wetzel,male,assistant
Heinrich Lang,male,assistant
Jiří Haškovec,male,assistant
Christian Hell,male,assistant
Silke Christiansen,female,assistant
Dieter Puhl,male,assistant
David Hána,male,assistant
Marcela Ehlová,female,assistant
Barbora Faltová,female,assistant
Jan Stárka,male,assistant
Mathias Lindenau,male,assistant
Sabine Bollig,female,assistant
Katalin Jerszi,male,assistant
Irme Stetter-Karp,female,assistant
Marina Hulia,female,assistant
Alois Moosmüller,male,assistant
Sandra Knecht,female,assistant
Eckhard Deutscher,male,assistant
Frieda Glücksmann,female,assistant
Heiko Koch,male,assistant
Silvia Coppola,female,assistant
Francesca D'Elia,female,assistant
Norika Creuzmann,male,assistant
Lucie Šiklová Narozena,female,assistant
René Lužica,male,assistant
Karl-Heinz Bittl,male,assistant
Petra Michalová,female,assistant
Táňa Brodská,female,assistant
Uwe Uhlendorff,male,assistant
Tomáš Dvořáček,male,assistant
Jana Vašinová Narozena,female,assistant
Jaroslav Zeman,male,assistant
Ulrich Heiße,male,assistant
Thomas Gabriel,male,assistant
Hans-Jürgen von Wensierski,male,assistant
Monika Gruhl,female,assistant
Martin Stanoev,male,assistant
Martina Kurowski,female,assistant
Jens Weidner,male,assistant
Martina Mesiarkinová,female,assistant
Alena Dufeková,female,assistant
Jérôme Eckmeier,male,assistant
Joel Cutcher-Gershenfeld,male,assistant
Kathleen McKinney,female,assistant
Virginia Peck Richmond,female,assistant
Helmut Braun,male,assistant
Tamás Kozma,male,assistant
Margaret J. Barr,female,assistant
Julijana Adamović,female,assistant
Jindřiška Vlčková,female,assistant
Milena Mikulková,female,assistant
Zora Mazálková,female,assistant
Jennifer Baggerly,female,assistant
Lucie Cejpek Blaštíková,female,assistant
Einhart Lederer,male,assistant
Dagmar Güttnerová,female,assistant
John Gal,male,assistant
Elisabeth Steinkellner,female,assistant
Dirk den Hollander,male,assistant
Magdalena Hanková,female,assistant
Josef Griesbeck,male,assistant
Matthias Belke-Zeng,male,assistant
Martin Kuruc,male,assistant
Jiří Mezník,male,assistant
Sarah Banks,female,assistant
Jana Smílková,female,assistant
Achim Hellmich,male,assistant
Mehrnousch Zaeri-Esfahani,female,assistant
Michael Tressat,male,assistant
Tanja Janz,female,assistant
Florian Eßer,male,assistant
Olaf Maaß,male,assistant
Matthias Nauerth,male,assistant
Pavla Krajčovičová,female,assistant
Karin Weiss,female,assistant
Janet Elizabeth Groen,female,assistant
Diana Coholic,female,assistant
Johannes Nathschläger,male,assistant
Ross Deuchar,male,assistant
Neithard Kuhrke,male,assistant
Helmut Spitzer,male,assistant
Hanneliese Schulze,female,assistant
Klaus Kraimer,male,assistant
Michaela Titmanová,female,assistant
Petra Suchá,female,assistant
Norbert Forsch,male,assistant
Wolfgang Schröer,male,assistant
Monika Fischerová,female,assistant
Axel Rachow,male,assistant
Ronald H. Rooney,male,assistant
Radek Kalfus,male,assistant
Heinrich Lenzen,male,assistant
Adéla Průchová Narozena,female,assistant
