humanLabel,genderLabel,label
Rafael Torres Escartín,male,baker
John Palmer,male,baker
John Roberts,male,baker
John Ryan,male,baker
Jon-Marc McDonald,male,baker
Margaret Braun,female,baker
Marjorie Johnson,female,baker
Matt Paternoster,male,baker
Morten Schakenda,male,baker
Nancy Silverton,female,baker
Paul Hollywood,male,baker
Peter Baltz,male,baker
Robert Dick,male,baker
Simo Salminen,male,baker
Thomas Barnacle,male,baker
Viateur Éthier,male,baker
Vincenz Fettmilch,male,baker
Bill Keast,male,baker
Wu Pao-chun,male,baker
Antoni Tiałowski,male,baker
Henryk Cieszyński,male,baker
Wilhelm Meisel,male,baker
Jóan Petur Davidsen,male,baker
Frants Restorff,male,baker
Phillippe Bigot,male,baker
Yasube Kimura,male,baker
Johann Vormittag,male,baker
Marceli Wiechowicz,male,baker
Arvid Kokko,male,baker
Florio Catani,male,baker
Fredrik Ekberg,male,baker
Hanna Partanen,female,baker
Jupp Flohr,male,baker
Diderich Anton Brynildsen,male,baker
Eddie Eidsvåg,male,baker
Gustav Johnsen,male,baker
Remi Goulignac,male,baker
Aron Baron,male,baker
Eneko Abasolo,male,baker
Jacob Marstrand,male,baker
Johannes Pitzner,male,baker
Karen Volf,female,baker
Poul Zølck,male,baker
Viggo Schulstad,male,baker
Georgo Saville,male,baker
Emilio Costas Fernández,male,baker
José Moreno Torres,male,baker
Viktor Bobek,male,baker
Loís Abric,male,baker
Tabo Sytstra,male,baker
Eduard Strübin,male,baker
Heinrich Goltermann,male,baker
Pedro Ángel Jiménez Carretón,male,baker
José Manuel Barrón Ariznavarreta,male,baker
Charles Heudebert,male,baker
Karl Grüßer,male,baker
Nicola Kretz,male,baker
Stefan Łodzieski,male,baker
Walter Poenisch,male,baker
Sha Mohammed Alikhel,male,baker
Jan Helge Andersen,male,baker
Dan Lepard,male,baker
Tony Ricca,male,baker
Amirah Kassem,female,baker
Tomasz Bando,male,baker
Wilhelm Bischoff,male,baker
Ignacio Cid Hermoso,male,baker
Michel des Agrapha,male,baker
Thomas Rose,male,baker
Shayne Greenman,male,baker
Štěpán Potomák,male,baker
Anatol Anufryevich Buzhynski,male,baker
Dennis Rafkin,male,baker
Reidar Strømsøe,male,baker
Ida Gran-Jansen,female,baker
Juan Hermida Iglesias,male,baker
Piet Miedema,male,baker
John Tully Speirs,male,baker
Johan Sörberg,male,baker
Carl August Rydberg,male,baker
Evaristo Gil,male,baker
Thomas Farriner,male,baker
Francis Douglas,male,baker
Marija Bremec Kenda,female,baker
Edy Hildebrandt,male,baker
Sándor Lőwy,male,baker
Adolf Rembte,male,baker
Hannes Weber,male,baker
Jaume Soler i Pastells,male,baker
Pere Sans i Druguet,male,baker
John Harrison,male,baker
Arthur Eugen Størksen,male,baker
Nicholas Lanier,male,baker
Lee Won-il,male,baker
Sébastien Boudet,male,baker
Joan Picañol i Aldavert,male,baker
Johann Urbahns,male,baker
Friedrich Steinitz,male,baker
Laureys van Valckenborch,male,baker
Karl Eduard Schatte,male,baker
August Sawicki,male,baker
Hans Schneider,male,baker
Simon Achtmann,male,baker
Johannes Schiller,male,baker
Georg Friedrich Kodweiß,male,baker
Georg Stingl,male,baker
Anstett Marx,male,baker
Daniel Schmelzer,male,baker
Richard Hörl,male,baker
Ambrosius Lehmann,male,baker
Johann Conrad Tischbein,male,baker
Carl Albert Tölcke,male,baker
Jakob Bleymehl,male,baker
Hanns Murer,male,baker
Carl Gärtig,male,baker
Andreas Steinhöfer,male,baker
Richard Schluckebier,male,baker
Josef Rätz,male,baker
Nikolaus Thyssen,male,baker
Nikolaus jun. Thyssen,male,baker
Leo Goldammer,male,baker
Martin Fischer,male,baker
Philipp Franz Hildebrand,male,baker
Philipp Benjamin Thiersch,male,baker
Caspar Jetter,male,baker
Jacob Philipp Bauer,male,baker
Johann Reinbold Friderici,male,baker
Gustav Haas,male,baker
Bruno Jäger,male,baker
Johann Thode,male,baker
Gustav Veckenstedt,male,baker
Hugo Vöge,male,baker
Ernst Honig,male,baker
Josef Schraffl,male,baker
Wolfgang Schwäbl,male,baker
Ludwig Spangenberg,male,baker
Bernhard Siegrist,male,baker
Konrad Siegwart,male,baker
Jakob Tangl,male,baker
Bartholomä Sittar,male,baker
Rudolf Sulzer,male,baker
Karl Frötschner,male,baker
Ernst Goertz,male,baker
Gottfried Feist,male,baker
Otto Priller,male,baker
Peter Engel,male,baker
Paul Krüger,male,baker
Hans Maier,male,baker
Heinrich Strittmatter,male,baker
Gerhard Keppler,male,baker
Ferdinand Mayer,male,baker
Christian Brun,male,baker
Caspar Pfitzer,male,baker
Johann Wagner,male,baker
Karl Bauer,male,baker
Albert Lorentz,male,baker
Steffan Neuwirdt,male,baker
Johann Hoppe,male,baker
Albert Lathion,male,baker
Philipp Hofmann,male,baker
Jakob Nikolaus Lerner,male,baker
Karl Stuhlmann,male,baker
Peter Rauscher,male,baker
Hatsy Yasukochi,female,baker
Etil Podzitvianski,female,baker
Ela Presman,male,baker
Sonia Dvorski,male,baker
Eli Preseizen,male,baker
Yaakov Yakubovitz,male,baker
Arie Popovski,male,baker
Khaim Birnfeld,male,baker
Yosef Segal,male,baker
Natan Pentzak,male,baker
Moshe Goldberg,male,baker
Menashe Bash,male,baker
Khaim Preseizen,male,baker
Nekhemia Plotnik,male,baker
Moshe Plakhchinski,male,baker
Fishel Proshonovski,male,baker
Fishel Abzatz,male,baker
Barukh Shusterman,male,baker
Leon Ben Sadoun,male,baker
Frida Milevski,female,baker
Shraga Pelerman,male,baker
Shimon Nagler,male,baker
Beniamin Plotki,male,baker
Berko Seni,male,baker
Shmuel Niselkovski,male,baker
Nakhum Pentzak,male,baker
Yaakov Shusterman,male,baker
Mordekhai Dener,male,baker
Mikhael Pres,male,baker
Daniel Isaak,male,baker
Yisrael Zeltman,male,baker
Yosef Kaufman,male,baker
Yitzkhak Petziner,male,baker
Coroebus of Elis,male,baker
Hans Loritz,male,baker
Eric Muhsfeldt,male,baker
Ottomar Rodolphe Vlad Dracula Prince Kretzulesco,male,baker
Bernhard Rakers,male,baker
Stijn Streuvels,male,baker
Conrad Beissel,male,baker
Pío Baroja Nessi,male,baker
Le Pétomane,male,baker
Charles Joughin,male,baker
Jan Matthys,male,baker
Veit Bach,male,baker
Francisco Ascaso,male,baker
Robert Hansen,male,baker
Emma Tillman,female,baker
Santo Jeronimo Caserio,male,baker
Constant Huret,male,baker
Carl Brandt,male,baker
Christian-Friedrich Peter,male,baker
Christof Vorholz,male,baker
György Marosán,male,baker
Hubert Colson,male,baker
Johann Weishaupt,male,baker
Friedrich Hubert Esser,male,baker
Jochen Gaues,male,baker
Emil Naucke,male,baker
Ernst Puchmüller,male,baker
Johannes Bach,male,baker
Franz Borberg,male,baker
Franz Specht,male,baker
Hermann Speckmann,male,baker
Ludwig Heiner,male,baker
Henry Lambertz,male,baker
Hans-Artur Bauckhage,male,baker
Josef Niedermaier,male,baker
Heinrich Renninghoff,male,baker
Hellmut Arnold,male,baker
Horst Jänicke,male,baker
Johann Georg Hasler,male,baker
Johann Jacob Koch,male,baker
Josef Jury,male,baker
Josef Quinke,male,baker
Konrad Behrendt,male,baker
Gunnar Bakke,male,baker
Ludwig Ackermann,male,baker
Monika Lazar,female,baker
Walenty Badylak,male,baker
Ernesto Miranda,male,baker
Paul Markgraf,male,baker
Jean Reboul,male,baker
Rudolf Seiffert,male,baker
Pietje Munsters,male,baker
Dave Verdooner,male,baker
Walter Steffens,male,baker
Willi Bleicher,male,baker
Colin Pitchfork,male,baker
Alfred Krüger,male,baker
Francesco Momo,male,baker
Leo Harlem,male,baker
Bernard Laurent,male,baker
Lionel Poilâne,male,baker
José Díaz,male,baker
Octave Garnier,male,baker
Jacques Tapiau,male,baker
Marcel Monette,male,baker
Marius Jouve,male,baker
Martin Coupaye,male,baker
Meste Verdié,male,baker
Michel Brisbois,male,baker
Olivier Anquier,male,baker
José Antela Conde,male,baker
Ignacio Seoane Fernández,male,baker
Raffaele Esposito,male,baker
M.C. Restorff,male,baker
Sylvain Dornon,male,baker
Jan de Munck,male,baker
Emilio López Arango,male,baker
Nikolai Krivoruchko,male,baker
Anton Alvestad,male,baker
Alfred Reid,male,baker
Alphonse-Edgar Guillemette,male,baker
Charles Lahr,male,baker
Edward Craigie,male,baker
Eric Kayser,male,baker
Ernest Alfred Adams,male,baker
Frans Otto Eriksson,male,baker
Gerard Lynch,male,baker
Greg Patent,male,baker
Hendrick van Buyten,male,baker
