humanLabel,genderLabel,label
Jesus Christ,cisgender man,carpenter
Peter the Great,male,carpenter
Richard Hauptmann,male,carpenter
Samuel Kunz,male,carpenter
Karl Frenzel,male,carpenter
Georg Elser,male,carpenter
Miroslav Kloses,male,carpenter
Harrison Ford,male,carpenter
Arnold Strippel,male,carpenter
August Willich,male,carpenter
Richard Stahlmann,male,carpenter
Asaph Hall,male,carpenter
Wolfgang Heyl,male,carpenter
Karl Schmidt-Hellerau,male,carpenter
André Reithebuch,male,carpenter
Hugo Kükelhaus,male,carpenter
Karl Aderhold,male,carpenter
James Hargreaves,male,carpenter
Brigham Young,male,carpenter
Bartolomé Blumenthal,male,carpenter
Anton Anreith,male,carpenter
James W. Marshall,male,carpenter
Carel Fabritius,male,carpenter
Adolf Eltzner,male,carpenter
George Pearce,male,carpenter
Ole Kirk Christiansen,male,carpenter
James Alexander Lougheed,male,carpenter
Bob Brady,male,carpenter
Colin Coates,male,carpenter
Trina Gulliver,female,carpenter
Andreas Besen,male,carpenter
Andreas Lutz,male,carpenter
Eric Rudolph,male,carpenter
Walter Frederick Morrison,male,carpenter
Lester Allan Pelton,male,carpenter
Ankan,male,carpenter
Al-Albani,male,carpenter
Ronnie Biggs,male,carpenter
Bjørn Kalsø,male,carpenter
Henk Hofs,male,carpenter
Rafi Eitan,male,carpenter
Armando Rodrigues de Sá,male,carpenter
Ivan Joller,male,carpenter
Li Ruihuan,male,carpenter
Artur Laskus,male,carpenter
Denmark Vesey,male,carpenter
Rune Bratsveen,male,carpenter
Christopher Spring,male,carpenter
Oliver Winchester,male,carpenter
Agricol Perdiguier,male,carpenter
August Kapell,male,carpenter
János Bunda,male,carpenter
Thomas Cubitt,male,carpenter
Blasius Balteschwiler,male,carpenter
Coronado Chávez,male,carpenter
Wytze Foppes Dongjuma,male,carpenter
Cedric Popkin,male,carpenter
Jānis Daliņš,male,carpenter
Ben Shepherd,male,carpenter
Garnet Richardson,male,carpenter
Carl Friedrich Trahn,male,carpenter
Carles Santos,male,carpenter
Carlo Jordan,male,carpenter
Charles Ingalls,male,carpenter
Christian Kremp,male,carpenter
Joannes Magister,male,carpenter
Korczak Ziolkowski,male,carpenter
Ramón Emeterio Betances,male,carpenter
Donat Müller,male,carpenter
Fadil Jahić,male,carpenter
José Simões,male,carpenter
Gustav Szinda,male,carpenter
Otto Kuschow,male,carpenter
Karl Kurzbauer,male,carpenter
Fritz Niedergesäß,male,carpenter
Jørgen Kosmo,male,carpenter
Ernst Zühlke,male,carpenter
Jakob Grubenmann,male,carpenter
Harry McNish,male,carpenter
Hermann Haneder,male,carpenter
Rudolf Mädger,male,carpenter
František Rint,male,carpenter
Jan Wnęk,male,carpenter
Franz Peplinski,male,carpenter
Franz Schedl,male,carpenter
Fritz Kreß,male,carpenter
Gaudenz Issler,male,carpenter
Louis Monast,male,carpenter
Gerrit Claesz Pool,male,carpenter
Heinrich Steiner,male,carpenter
Hannsjörg Voth,male,carpenter
Samuel Duncan Parnell,male,carpenter
Hans Engl,male,carpenter
Hanns Reiffenstuel,male,carpenter
Hans Reule,male,carpenter
Hein Bretschneider,male,carpenter
Heinz Wagner,male,carpenter
José Santiago Temprano,male,carpenter
José Villaverde Velo,male,carpenter
Rogelio González Suárez,male,carpenter
Park Heung-yong,male,carpenter
Constantin Agiu,male,carpenter
Wilhelm Einhorn,male,carpenter
Imre Kakuk,male,carpenter
Hugh Hughes,male,carpenter
John Griffith Williams,male,carpenter
Albert Koopman,male,carpenter
Claas de Vries,male,carpenter
Evert Sjerps Ferwerda,male,carpenter
Rindert van Zinderen Bakker,male,carpenter
Francisco el tamboriteiru,male,carpenter
Cornelis van Boles,male,carpenter
Máximo Rodríguez Valverde,male,carpenter
Gerardus Bodewes,male,carpenter
Gijs Boer,male,carpenter
Jacob Kraal,male,carpenter
Nikanor Davydov,male,carpenter
Aleksandr Ivanovich Zinchenko,male,carpenter
Andrey Rogozhnikov,male,carpenter
John Abel,male,carpenter
Simon Reiffenstuel,male,carpenter
Paul Gibbs,male,carpenter
Johann Scheid,male,carpenter
Syd Negus,male,carpenter
Peter Dünnehaupt,male,carpenter
Andreas Rühle,male,carpenter
Andreas Schröder,male,carpenter
Elias Gunzenhäuser,male,carpenter
Gabriel Goldfuß,male,carpenter
Heinrich Reule,male,carpenter
István Vági,male,carpenter
Joachim Lange,male,carpenter
Johann Gabriel Günther,male,carpenter
John Early,male,carpenter
LZM,male,carpenter
Martin Lange,male,carpenter
Vollrath Zingelmann,male,carpenter
Wulf Götze,male,carpenter
Harri Leupold,male,carpenter
Gerardus Cornelis Marinus Wiesman,male,carpenter
Terenty Mikhaylov,male,carpenter
Bill Beckwith,male,carpenter
Nels Roney,male,carpenter
George Muir,male,carpenter
Eugène Prévost,male,carpenter
Jack Murphy,male,carpenter
Trevor Crothers,male,carpenter
Jacques Maurice Rolland,male,carpenter
Henry Van Asselt,male,carpenter
Charles W. Slocum,male,carpenter
Christian Riisager,male,carpenter
Mahlon Betts,male,carpenter
Seth Luther,male,carpenter
Anton Johannsen,male,carpenter
Charles E. Marks,male,carpenter
Andrija Žaja,male,carpenter
Pat Flaherty,male,carpenter
John Anderson,male,carpenter
James W. Adams,male,carpenter
Volodymyr Hrabin,male,carpenter
Larry Murphy,male,carpenter
Jason Cameron,male,carpenter
Fred Briggs,male,carpenter
Joel Squires,male,carpenter
George Collings,male,carpenter
Jimmy Little,male,carpenter
Agbagli Kossi,male,carpenter
Semyon Frolovskiy,male,carpenter
Afonso Brás,male,carpenter
Walter Ablinger,male,carpenter
Abel Cháneton,male,carpenter
Gabriel Rühle,male,carpenter
Petro Ovcharenko,male,carpenter
Ole Halvorsen Ribe,male,carpenter
Ralph Keeler,male,carpenter
Francisco Pellicer,male,carpenter
Steven Ray Tickle,male,carpenter
Lawrence Turner,male,carpenter
Dick Conway,male,carpenter
Oskar Sletne,male,carpenter
Andreas Bock,male,carpenter
Charles Daley,male,carpenter
James Pat McDaid,male,carpenter
Stoddard Martin,male,carpenter
Russell Doane,male,carpenter
Ad Grimmon,male,carpenter
Jochim Schäfer,male,carpenter
Jaakko Piirainen,male,carpenter
Manuel Maneiro Maneiro,male,carpenter
José Temblás Paz,male,carpenter
William Parker,male,carpenter
Raymond Reynolds,male,carpenter
Amy Devers,female,carpenter
Yeh Ken-chuang,male,carpenter
Otto Dufter,male,carpenter
Chester Cornett,male,carpenter
Henry Ayers,male,carpenter
Johann Wilhelm,male,carpenter
Johann Franz August Zimmermann,male,carpenter
Johann Georg Hasler,male,carpenter
Johann Gottlieb Ohndorff,male,carpenter
Johann Hermann Stindt,male,carpenter
Johann Michael Klein,male,carpenter
Johann Wolmuth,male,carpenter
Johannes Heinrich Füller,male,carpenter
Johannes Romberg,male,carpenter
Alan Wills,male,carpenter
Klaus Elwardt,male,carpenter
Karl Bergemann,male,carpenter
Karl Daunicht,male,carpenter
Karl Firzlaff,male,carpenter
Karl Möller,male,carpenter
Kaspar Faber,male,carpenter
Waldemar Atzpodien,male,carpenter
Michael Kemmeter,male,carpenter
Ed Sanders,male,carpenter
Ludwig Wörl,male,carpenter
Thomas van der Bijl,male,carpenter
Martin Pietzsch,male,carpenter
Hotze de Roos,male,carpenter
Frederik Wilhelm Christiaan Krecke,male,carpenter
Nicholas Owen,male,carpenter
Paul DiMeo,male,carpenter
N. Biezeveld,male,carpenter
Richard Coray,male,carpenter
Robert Poseck,male,carpenter
Rudolf Marxer,male,carpenter
Jan Cornelis van Limbeek,male,carpenter
Rudolf Welskopf,male,carpenter
Simon Balyon,male,carpenter
Teake van der Meer,male,carpenter
Piet Zonneveld,male,carpenter
Anthonie Oudijk,male,carpenter
Aarne Arvonen,male,carpenter
Arnoldus van Veggel,male,carpenter
Thomas Verhoef,male,carpenter
Graodus fan Nimwegen,male,carpenter
Abner Louima,male,carpenter
Simcha Zorin,male,carpenter
Christopher Scarver,male,carpenter
James Burbage,male,carpenter
Geoff McQueen,male,carpenter
A.H.M. Scholtz,male,carpenter
Adriaan Goijaerts,male,carpenter
Taeke Boonstra,male,carpenter
Theodor Geringhoff,male,carpenter
Ulrich Steinhauer,male,carpenter
Franciscus Sturm,male,carpenter
Fedde Schurer,male,carpenter
Atze Sijtsma,male,carpenter
Arie Bakker,male,carpenter
Romualds Ancāns,male,carpenter
Willibald Mannes,male,carpenter
Daniel McCallum,male,carpenter
Carl Jansson,male,carpenter
Clay Guida,male,carpenter
Meint Hylkes Bottema,male,carpenter
Gregorio Gea Miquel,male,carpenter
Leen van Dijke,male,carpenter
Casiano Alguacil,male,carpenter
Claudious Abry,male,carpenter
Jan Herder,male,carpenter
Jacob Balder,male,carpenter
James Knight,male,carpenter
Edmund Spangler,male,carpenter
George Oppen,male,carpenter
Giovanni Corrao,male,carpenter
Guillaume Couillard,male,carpenter
Gérard Laprise,male,carpenter
Allert Meijer,male,carpenter
Freek Rouwerd,male,carpenter
Jean Compagnon,male,carpenter
Jean Laville,male,carpenter
Jean Lemire,male,carpenter
José Antonio Aponte,male,carpenter
João Brites,male,carpenter
Leo Kneler,male,carpenter
Abraham Martinus Sorg,male,carpenter
Marcel Oopa,male,carpenter
Marius Renard,male,carpenter
May Clark,female,carpenter
Michael Miltenberger,male,carpenter
Nicolas Le Challeux,male,carpenter
Pat Martin,male,carpenter
Roger Pomerleau,male,carpenter
Sandra Lovelace Nicholas,female,carpenter
Janne Virtanen,male,carpenter
Stéphane Haar,male,carpenter
Juha-Matti Räsänen,male,carpenter
Thomas Lincoln,male,carpenter
Todd Hardy,male,carpenter
Alex Cusack,male,carpenter
Zacharie Cloutier,male,carpenter
Étienne Truteau,male,carpenter
Alfredo Zardini,male,carpenter
Henry Harbaugh,male,carpenter
Pieter Huijsers,male,carpenter
William H. Willson,male,carpenter
Q4173905,male,carpenter
Michał Kajka,male,carpenter
Anatoly Kireev,male,carpenter
Andrey Senchenko,male,carpenter
Stanislav Skubashevskyi,male,carpenter
Truls Barhaugen,male,carpenter
Abel Helman,male,carpenter
Aladar Imre,male,carpenter
Albert Gamaliel Jones,male,carpenter
Albert Gardiner,male,carpenter
"Alexander Delos ""Boss"" Jones",male,carpenter
Alfred Bennett,male,carpenter
Alvin T. Smith,male,carpenter
Amy Wynn Pastor,female,carpenter
Andy Manson,male,carpenter
Angus McDonald,male,carpenter
Benjamin A. Muncil,male,carpenter
Benjamin F. Church,male,carpenter
Bernhard Abrahamsen,male,carpenter
Bertie Shardlow,male,carpenter
Jan Rebel,male,carpenter
Bob Zimmer,male,carpenter
Bourmond Byron,male,carpenter
Brian Corsetti,male,carpenter
Caleb Ashworth,male,carpenter
"Sir Charles James Freake, 1st Baronet",male,carpenter
Dana A. Dorsey,male,carpenter
David Bower,male,carpenter
Douglas Cross,male,carpenter
Edward Flood,male,carpenter
Edward Matthews,male,carpenter
Ernest Henshaw,male,carpenter
Felix Hathaway,male,carpenter
Francis Costigan,male,carpenter
Francis Eaton,male,carpenter
Felipe Molero Bueno,male,carpenter
Frank H. Maynard,male,carpenter
Frank J. Weber,male,carpenter
Friar Alessandro,male,carpenter
Gabriel Zophy,male,carpenter
Geoff Leigh,male,carpenter
George Armstrong,male,carpenter
George Cabanis,male,carpenter
George Glover Campbell,male,carpenter
George Ingram,male,carpenter
George Meikle Kemp,male,carpenter
George S. H. Appleget,male,carpenter
George Smith,male,carpenter
George Spencer,male,carpenter
George Cotton,male,carpenter
Graeme Strachan,male,carpenter
Graham Williams,male,carpenter
Christian David,male,carpenter
Habib the Carpenter,male,carpenter
Antonio Etxaniz,male,carpenter
Henry Howley,male,carpenter
Henry Lapp,male,carpenter
Johan Fjällbäck,male,carpenter
Enrique Nuere Matauco,male,carpenter
Einar Johansson,male,carpenter
Hone Taiapa,male,carpenter
Hugh Herland,male,carpenter
Ian Thompson,male,carpenter
Ilm-ud-din,male,carpenter
Anders Nilsson,male,carpenter
Harry Roberts,male,carpenter
Ivan Franjic,male,carpenter
Jabez Wright,male,carpenter
Jack Critchley,male,carpenter
Jacob W. Holt,male,carpenter
Santiago Andrade,male,carpenter
James Hamper,male,carpenter
James Kinney,male,carpenter
James Larsin,male,carpenter
James R. Barton,male,carpenter
Jankiel Wiernik,male,carpenter
John Alden,male,carpenter
John Ferguson,male,carpenter
John H. Balsley,male,carpenter
John Hemings,male,carpenter
John Ian Wing,male,carpenter
John Lemmon,male,carpenter
John Lucas,male,carpenter
John Sinclair,male,carpenter
John Walter Weart,male,carpenter
John Williams Tobey,male,carpenter
Joseph Volpe,male,carpenter
Kate Braid,female,carpenter
Keith Anderson,male,carpenter
Khalil Tahmasebi,male,carpenter
Leslie Ibsen Rogge,male,carpenter
Lewis Buckner,male,carpenter
Q6647712,male,carpenter
Lloyd Kahn,male,carpenter
Louis Ah Mouy,male,carpenter
Luffman Atterbury,male,carpenter
Marcel Caux,male,carpenter
Mark Douglas Olson,male,carpenter
Matthew Banckes,male,carpenter
Matthew Reid,male,carpenter
Matthew Teed,male,carpenter
Michael Carver Trout,male,carpenter
Michael Christie,male,carpenter
Miles Romney,male,carpenter
Samson Belkind,male,carpenter
Nathaniel Lucas,male,carpenter
Nelson Lomi,male,carpenter
Norm Abram,male,carpenter
Oliver Robert Gould,male,carpenter
Orig Williams,male,carpenter
Orval Prophet,male,carpenter
Oswald Lipscomb,male,carpenter
Otto Kehrein,male,carpenter
P. H. McCarthy,male,carpenter
Patrick Doyle,male,carpenter
Patrick Natale,male,carpenter
Peter Atkinson,male,carpenter
Peter J. Reineman,male,carpenter
Peter Street,male,carpenter
Philip Embury,male,carpenter
Philip Wenz,male,carpenter
Piri Poutapu,male,carpenter
Quamina,male,carpenter
Raymond Caruana,male,carpenter
Renn Hawkey,male,carpenter
Richard Chavez,male,carpenter
Richard Pace,male,carpenter
Robert Wallath,male,carpenter
Robert Richards,male,carpenter
Roger Degen,male,carpenter
Ruben Enaje,male,carpenter
Rune Kristiansen,male,carpenter
Sam Faust,male,carpenter
Samuel Brown,male,carpenter
Samuel J. Seymour,male,carpenter
Sander Hicks,male,carpenter
Scott Cam,male,carpenter
Scott McGillivray,male,carpenter
Sid O'Flaherty,male,carpenter
Stan Hiskins,male,carpenter
Theo Wade Brown,male,carpenter
Thomas Holt,male,carpenter
Thomas J. MacDonald,male,carpenter
Thomas Topham,male,carpenter
Thomas Williams,male,carpenter
Tomás Freeman,male,carpenter
Troy Hebert,male,carpenter
Webley John Hauxhurst,male,carpenter
William Hurley,male,carpenter
William Moore,male,carpenter
William Pike,male,carpenter
Wilson Rawls,male,carpenter
Ramon Farguell i Montorcí,male,carpenter
Antoni Spyra,male,carpenter
Richard Bugdalle,male,carpenter
Roman Ogryczak,male,carpenter
Tadeusz Kwaśniak,male,carpenter
Ninh Hữu Hưng,male,carpenter
Yura,female,carpenter
Nakai Masayoshi,male,carpenter
Nakai Masakiyo,male,carpenter
Yutaka Tsuboyama,male,carpenter
Horie Sakichi,male,carpenter
Tsunekazu Nishioka,male,carpenter
Antoni Krzyżanowski,male,carpenter
Dominik Leibl,male,carpenter
Aukusti Asko-Avonius,male,carpenter
Edvard Helle,male,carpenter
Harri Sirola,male,carpenter
Rene Vogn,male,carpenter
Runar Salminen,male,carpenter
Jaume Riu i Ratera,male,carpenter
Jette Gottlieb,female,carpenter
Kristin Michelsen,male,carpenter
Narve Hoff,male,carpenter
Paul Gebhardt,male,carpenter
Sophus Theodor Pihl,male,carpenter
Frans Klein,male,carpenter
Hieronymus Eustach Brinke,male,carpenter
Mykola Lavrynenko,male,carpenter
Q12144807,male,carpenter
Hryhorii Smitiukh,male,carpenter
Viktor Turmanov,male,carpenter
Q12172203,male,carpenter
Q12172840,male,carpenter
Domingo Kanpaña,male,carpenter
Juan Gorriti,male,carpenter
Erik Korshagen,male,carpenter
Giovannino von Huth,male,carpenter
J. Chr. Jensen-Broby,male,carpenter
Jean Haber,male,carpenter
Adolfo Allegue Allegue,male,carpenter
Jaume Esteve i Oliva,male,carpenter
Pierre Piron,male,carpenter
Frank Noble Bender,male,carpenter
Mario Alexander Arenas Garzón,male,carpenter
John M. Constantinoff,male,carpenter
Guillaume de Tupho,male,carpenter
Ricardo Vilas Quintáns,male,carpenter
Anders Isager Holm,male,carpenter
Carl Otto Osten,male,carpenter
Henry G. Hill,male,carpenter
Enrico Rabagliatti Pampuro,male,carpenter
Carl Feustel,male,carpenter
Melanie Woods,female,carpenter
Richard Claire Spring,male,carpenter
Wilhelm Böhm,male,carpenter
Santiago Durruti,male,carpenter
Jan Hoorn,male,carpenter
Antonius Laurentius Jansen,male,carpenter
Isaac Hildreth,male,carpenter
Peder Andersen Rasmussen,male,carpenter
Johann Gotthard Prestel,male,carpenter
Q131618867,male,carpenter
József Csiki,male,carpenter
Q131758229,male,carpenter
Christian Benkard,male,carpenter
Shlomo Manzur,male,carpenter
William John Robertson,male,carpenter
James Thompson,male,carpenter
Peter Artz,male,carpenter
Aleksander Ölluk,male,carpenter
