humanLabel,genderLabel,label
John George Kemeny,male,ceo
Ulrike Beisiegel,female,ceo
William Samuel Johnson,male,ceo
Jacob Gould Schurman,male,ceo
Adolf Theis,male,ceo
James Earl Rudder,male,ceo
Brian Sandoval,male,ceo
John Marshall Stone,male,ceo
Charles H. Parrish,male,ceo
Richard P. Lifton,male,ceo
Sidney Earle Smith,male,ceo
Tanja Brühl,female,ceo
Peter Salovey,male,ceo
Alice Freeman Palmer,female,ceo
Edgar Odell Lovett,male,ceo
Fabienne Brugère,female,ceo
Francis Godard,male,ceo
Henry Hicks,male,ceo
Shirley Ann Jackson,female,ceo
Robert Zimmer,male,ceo
Harold T. Shapiro,male,ceo
Abbie Park Ferguson,female,ceo
Andrew Dousa Hepburn,male,ceo
Ann Stuart,female,ceo
Arnold Naimark,male,ceo
Arthur Hamerschlag,male,ceo
Bradford Knapp,male,ceo
Candace Introcaso,female,ceo
Carleton B. Gibson,male,ceo
Charles Edward Hovey,male,ceo
Cheryl B. Schrader,female,ceo
Clarence H. Thurber,male,ceo
Clark T. Hinman,male,ceo
Clifford C. Furnas,male,ceo
Daniel Weiss,male,ceo
David Alexander,male,ceo
David W. Oxtoby,male,ceo
Denise Trauth,female,ceo
Eric James Barron,male,ceo
Frank Pierrepont Graves,male,ceo
Frederick D. Patterson,male,ceo
Freeman A. Hrabowski III,male,ceo
Gene Budig,male,ceo
George Campbell Jr.,male,ceo
George Foster Pierce,male,ceo
George Washington Baines,male,ceo
George Whitaker,male,ceo
George F. Whitworth,male,ceo
Glenn W. Ferguson,male,ceo
Guy Bailey,male,ceo
Harmon White Caldwell,male,ceo
Howard Swearer,male,ceo
J. A. O. Preus II,male,ceo
James A. Blaisdell,male,ceo
James Carnahan,male,ceo
Jane Fernandes,female,ceo
Janine Pease,female,ceo
John A. DiBiaggio,male,ceo
John F. Winslow,male,ceo
John Grimes,male,ceo
John T. Casteen III,male,ceo
John Welty,male,ceo
John Wheeler,male,ceo
Joseph Elias Aoun,male,ceo
Judith A. Bense,female,ceo
Kelvin Ogilvie,male,ceo
Kevin J Worthen,male,ceo
Larry Geraty,male,ceo
Laurence H. Snyder,male,ceo
Laurie L. Patton,female,ceo
Leonard Klinck,male,ceo
Maryly V. Peck,female,ceo
Matina Horner,female,ceo
Michael Hogan,male,ceo
Michael T. Benson,cisgender man,ceo
Mordecai Wyatt Johnson,male,ceo
Norman Topping,male,ceo
Omer Clyde Aderhold,male,ceo
Paul G. Pearson,male,ceo
Philip E. Austin,male,ceo
R. Bowen Loftin,male,ceo
R. Gerald Turner,male,ceo
Richard R. Eakin,male,ceo
Robert A. Corrigan,male,ceo
Robert A. Oden,male,ceo
Robert E. Doherty,male,ceo
Robert G. Frank,male,ceo
Robert Gordon Sproul,male,ceo
Robert H. Edwards,male,ceo
Jörg Wagner,male,ceo
Isabelle Huault,female,ceo
Claude Babin,male,ceo
Philomena Mantella,female,ceo
Ellen Schmidt,female,ceo
Marion Ross Fedrick,female,ceo
Hugues Kenfack,male,ceo
Sebetha Lee Jenkins,female,ceo
Camille Galap,male,ceo
Nathalie Drach-Temam,female,ceo
Gu Xiaoyuan,female,ceo
Zoe Lofgren,female,ceo
Elizabeth May,female,ceo
Donna Edwards,female,ceo
Charlene de Carvalho-Heineken,female,ceo
Mark Udall,male,ceo
Ken Dryden,male,ceo
Thomas Suluk,male,ceo
Franziska Heine,female,ceo
Per-Edvin Persson,male,ceo
Heike Wiehle-Timm,female,ceo
John A. McGuire,male,ceo
Andrew Telegdi,male,ceo
Bonnie Brown,female,ceo
Brenda Chamberlain,female,ceo
Brent Rathgeber,male,ceo
Caroline St-Hilaire,female,ceo
Claudette Bradshaw,female,ceo
Jason Kenney,male,ceo
Larry Bagnell,male,ceo
Lise Zarac,female,ceo
Paule Brunelle,female,ceo
Peter Julian,male,ceo
Rod Bruinooge,male,ceo
Suzanne Blais-Grenier,female,ceo
Sébastien Gagnon,male,ceo
Andrey Kolesnikov,male,ceo
Nikolay Mirskoy,male,ceo
Aengus Finnan,male,ceo
Aideen Nicholson,female,ceo
Anna Terrana,female,ceo
Aya Virginie Toure,female,ceo
Diane Bellemare,female,ceo
Edward Nasserden,male,ceo
Fin Donnelly,male,ceo
Frederick P. Thompson,male,ceo
Glenn Thibeault,male,ceo
Martha Thorne,female,ceo
James Fulton,male,ceo
Joe Oliver,male,ceo
Joyce Aryee,female,ceo
Malcolm Wallace McCutcheon,male,ceo
Mara Keisling,trans woman,ceo
Anat Hoffman,female,ceo
Nathan Tinkler,male,ceo
Richard Smeaton White,male,ceo
Sarkis Assadourian,male,ceo
Stephen Greene,male,ceo
Thomas Lau,male,ceo
Walt Lastewka,male,ceo
Walter Arnheim,male,ceo
"Daryl Ng Win Kong, JP",male,ceo
Peter Power,male,ceo
Hans Kristian Olsen,male,ceo
Lay,male,ceo
Ole Robert Reitan,male,ceo
David A. Bray,male,ceo
Michael Kellner,male,ceo
Steven Stalinsky,male,ceo
Dorcas Makgato-Malesu,female,ceo
Amy Blackmore,female,ceo
Juan Carlos Fanconi,male,ceo
Amelia Greenhall,female,ceo
Jodi Grant,female,ceo
Ruby Duncan,female,ceo
Christian Rickerts,male,ceo
Cameron Whitten,male,ceo
Steven MacKinnon,male,ceo
Catherine McKenna,female,ceo
Pierre-Édouard Fournier,male,ceo
Marie-Claude Bibeau,female,ceo
Rachel Blaney,female,ceo
Patricia Hajdu,female,ceo
Jonathan Wilkinson,male,ceo
Stephen Fuhr,male,ceo
Sheila Malcolmson,female,ceo
Roxane Desjardins,female,ceo
Gord Johns,male,ceo
Consolata Kline,female,ceo
Katherine Maher,female,ceo
Katherine Spillar,female,ceo
Ratna Omidvar,female,ceo
Manon Schick,female,ceo
Peter Harder,male,ceo
Genevieve Fiore,female,ceo
Balozi Harvey,male,ceo
Nancy Hartling,female,ceo
