humanLabel,genderLabel,label
Bram Stoker,male,clerk
John Stuart Mill,male,clerk
Erich Naumann,male,clerk
Katharina Jacob,female,clerk
Rudolf Creutz,male,clerk
Tom L. Johnson,male,clerk
Julia Child,female,clerk
Terri Schiavo,female,clerk
Dennis Chavez,male,clerk
Wallace H. White,male,clerk
Charlie Dent,male,clerk
Frank S. Cahill,male,clerk
Jan Saenredam,male,clerk
Sándor Andreánszky,male,clerk
Iván Antal,male,clerk
Joseph Roumanille,male,clerk
Izsák Babócsay,male,clerk
Károly Barcsay,male,clerk
Zsigmond Barna,male,clerk
Imre Batthyány,male,clerk
Bernd Schultz,male,clerk
Ferenc Csanády,male,clerk
Imre Csengery,male,clerk
Lőrinc Cserey,male,clerk
Charles Hinton Russell,male,clerk
Ernest McFarland,male,clerk
László Czichó,male,clerk
József Danielik,male,clerk
Charles Ledger,male,clerk
Soma Fekete,male,clerk
Pál Festetics,male,clerk
Charlotte Garske,female,clerk
Béla Jeszenszky,male,clerk
"Robert Joseph Nodar, Jr.",male,clerk
Cläre Blaeser,female,clerk
Ferenc Kapócs,male,clerk
István Kiss,male,clerk
Ferenc Koller,male,clerk
Béla Mocsáry,male,clerk
István Orbán,male,clerk
Thomas Hoccleve,male,clerk
Gedeon Ráday,male,clerk
Ferenc Sennyey,male,clerk
Artúr Szalós,male,clerk
András Szirmay,male,clerk
Paul J. Kilday,male,clerk
Dezső Tamás,male,clerk
Mária Tamáska,female,clerk
Géza Téglás,male,clerk
Else Himmelheber,female,clerk
Frank Fellows,male,clerk
Aladár Weisshaus,male,clerk
Willem Jacobszoon Hofdijk,male,clerk
József Ürményi,male,clerk
Gertrud Lutz,female,clerk
Michael Starr,male,clerk
Margarethe Thiele,female,clerk
Harold Francis Youngblood,male,clerk
Harry T. Burleigh,male,clerk
Eugene James Keogh,male,clerk
Joseph Jefferson Mansfield,male,clerk
Jan Jakob Lodewijk ten Kate,male,clerk
Maria Hosp,female,clerk
Martha Arendsee,female,clerk
Aart Aardoom,male,clerk
Mo Brooks,male,clerk
Norris Cotton,male,clerk
Peterson Bryant Jarman,male,clerk
Arnold Hoogvliet,male,clerk
Samuel R. Watkins,male,clerk
Christoffel van Swoll,male,clerk
Gerrit Jan van den Berg,male,clerk
William Norwood Potter,male,clerk
John Hedley Chapman,male,clerk
Henri Halberstadt,male,clerk
Alfred Edmond Bourgeois,male,clerk
Charles Cowper,male,clerk
Ernest-Omer Gingras,male,clerk
Kennedy Stewart,male,clerk
Louis-Philippe-Antoine Bélanger,male,clerk
Albert Inkpin,male,clerk
Edward Ardizzone,male,clerk
Juan Tizón,male,clerk
Dragica Končar,female,clerk
Élie Mailloux,male,clerk
István Wargha,male,clerk
Umberto Postiglione,male,clerk
Albert Blakey,male,clerk
Albert Hawke,male,clerk
Amiya Bhushan Majumdar,male,clerk
Andrew Broughton,male,clerk
Annabelle Rankin,female,clerk
Kristoffer Rostad,male,clerk
Valentin Rosenlund,male,clerk
František Fechtner,male,clerk
Gerrit Paulus de Bruin,male,clerk
Jan Willem Minke,male,clerk
Pál Bodor,male,clerk
Roberto Vázquez Souto,male,clerk
László Vásárhelyi,male,clerk
Ivan Kuk,male,clerk
Jakob Zabukovec,male,clerk
Joža Bekš,male,clerk
Riko Pertot,male,clerk
Viktor Šonc,male,clerk
Troilokyanath Mukhopadhyay,male,clerk
Krijn van der Helm,male,clerk
Manuel Vigil Montoto,male,clerk
Ottó Ámon,male,clerk
John Ceiriog Hughes,male,clerk
Antonio Pereiro Liñares,male,clerk
Hemchandra Bandyopadhyay,male,clerk
J. Miller Barr,male,clerk
John S. Verran,male,clerk
Harry Foll,male,clerk
Mary Elizabeth Kinnear,female,clerk
Paola Taverna,female,clerk
David Bews,male,clerk
Victor Terras,male,clerk
Aleksander Łukowski,male,clerk
Simone Uggetti,male,clerk
Q16652489,male,clerk
Friderik Kokalj,male,clerk
Maria Helena Semedo,female,clerk
Dánjal av Rana,male,clerk
May Carré,female,clerk
Narte Velikonja,male,clerk
Carl Hacker,male,clerk
Niels Hansen,male,clerk
William Storrie,male,clerk
Richard James Cheeswright,male,clerk
John James Duncan,male,clerk
Thomas Hyland Smeaton,male,clerk
Adam of Chesterton,male,clerk
Culverwell Needler,male,clerk
Fran Barle,male,clerk
Franc Rojec,male,clerk
William Chaffers,male,clerk
William Copinger,male,clerk
Robert von Bolschwing,male,clerk
Slavko Jelinčič,male,clerk
Walther Jentzsch,male,clerk
Irvin T. Gould,male,clerk
Louis Pope Gratacap,male,clerk
Louis W. Reilly,male,clerk
John F. Cargill,male,clerk
Herbert Rix,male,clerk
T. E. James,male,clerk
Francisco Moniz Barreto,male,clerk
István Farkas,male,clerk
Benedict of Ramsey,male,clerk
József Szilassy,male,clerk
John Nye,male,clerk
James Burn,male,clerk
Karl Østvold,male,clerk
Arthur W. Bates,male,clerk
William Denny,male,clerk
Evgen Lah,male,clerk
Peter Winkler,male,clerk
Dragotin Žagar,male,clerk
Gerard van Leyden,male,clerk
Charles Wilson,male,clerk
László Nagy,male,clerk
Csaba Danku,male,clerk
Géza Hollósy,male,clerk
Mariano Marcos Abalo,male,clerk
Joseph Seth Jones,male,clerk
John Prydderch Williams,male,clerk
Louis Julius Freudenberg,male,clerk
Ulrich von Waldow,male,clerk
Theodore Hack,male,clerk
Arthur Orpen Herbert,male,clerk
Béla Pásztor,male,clerk
Horace Hogben,male,clerk
Julius Wrede,male,clerk
Johannes Hellmann,male,clerk
Samuel Dening Glyde,male,clerk
George Stevenson,male,clerk
Beasley Kearney,male,clerk
Robert Sproule,male,clerk
Henry Popple,male,clerk
Robert Wissett,male,clerk
Hermann Bickell,male,clerk
Kurt Burghardt,male,clerk
José María de Urquijo y Gardeazabal,male,clerk
Sir Roland Ellis Jacobs,male,clerk
George Miller,male,clerk
Govert Basson,male,clerk
Joaquim Isidoro Simões,male,clerk
Marianne Karlsson,female,clerk
Arthur William Gebaur Jr.,male,clerk
Augustine B. Kelley,male,clerk
Benjamin Franklin Dillingham,male,clerk
Bev Desjarlais,female,clerk
Bill Rigby,male,clerk
Lilly Bergander,female,clerk
Peggy Hård,female,clerk
Margareta Lorentzen,female,clerk
Ingrid Ludvigsson,female,clerk
Margret Nilsson,female,clerk
Margareta Persson,female,clerk
Rosa Svensson,female,clerk
Charles Hodgson Fowler,male,clerk
C. P. Karunakara Menon,male,clerk
Chaganti Koteswara Rao,male,clerk
Charles Fisher,male,clerk
Con Lehane,male,clerk
Crawford Vaughan,male,clerk
Don Devitt,male,clerk
Dorathy M. Allen,female,clerk
Elias Abuelazam,male,clerk
Ernest John Bartlett Allen,male,clerk
Elisabeth Rönnholm,female,clerk
Eva M. Nielsen,female,clerk
Francine Gottfried,female,clerk
Frank Oswald Victor Acheson,male,clerk
Frederick Ward,male,clerk
Georg Johan Jacobsen,male,clerk
Primitivo Santa Cecilia,male,clerk
Rudolf Anderberg,male,clerk
Iwar Anderson,male,clerk
Godefroi de Leigni,male,clerk
Henry W. Corbett,male,clerk
Robert J. Corbett,male,clerk
Hakeem Jeffries,male,clerk
Harry Wallis Kew,male,clerk
Antonio Cañizares Penalva,male,clerk
Ernst Eriksson,male,clerk
Henry Chesson,male,clerk
Q5896123,male,clerk
Farẖundah Āqāʾī,female,clerk
José Acosta Cubero,male,clerk
Ivy Wedgwood,female,clerk
James Shaw,male,clerk
Jann McFarlane,female,clerk
Abel Sundberg,male,clerk
John Bacon,male,clerk
Jack Cremean,male,clerk
John Henry Kirby,male,clerk
John Kenneth Mackenzie,male,clerk
John McLean,male,clerk
John Mullan,male,clerk
John Phelps,male,clerk
Joseph Earl Sheffield,male,clerk
Joseph Toole,male,clerk
Maria Vetulani de Nisau,female,clerk
Leo E. Allen,male,clerk
Leonard Stick,male,clerk
Liz Penfold,female,clerk
Margaret Abela,female,clerk
Max Fox,male,clerk
Michael Paul Riordan,male,clerk
Oliver Blake,male,clerk
Pat Kennelly,male,clerk
Platt Rogers Spencer,male,clerk
Prabhat Kumar Mukhopadhyay,male,clerk
Ramkamal Sen,male,clerk
Robert James Henderson,male,clerk
Robert Simpson,male,clerk
Samuel Nicholls,male,clerk
Erika S. Rempening,female,clerk
Stanley Whitford,male,clerk
"Stephen Mack, Jr.",male,clerk
Sumner Increase Kimball,male,clerk
Sydney Kearney,male,clerk
Thomas Allin,male,clerk
Thomas O'Donoghue,male,clerk
Thomas Vincent Grant,male,clerk
Walter Duncan,male,clerk
William Jennings Capell,male,clerk
William Walter McDonald,male,clerk
Wilson Darwin Gillette,male,clerk
Ryszard Matuszewski,male,clerk
Trifón Gómez San José,male,clerk
François Fagel,male,clerk
Wacław Stykowski,male,clerk
Luiz Eurico Tejera Lisbôa,male,clerk
Eli Nolsøe,male,clerk
Pedro García García,male,clerk
Jan Drozdowski,male,clerk
Kazimiera Majchrzak,female,clerk
Kazimierz Miłobędzki,male,clerk
Mieczysław Kobylański,male,clerk
Philip George Chadwick,male,clerk
Elisabeth Helmersen,female,clerk
Pere Casas i Zarzuela,male,clerk
Enrique Genovés Guillén,male,clerk
John Bigg,male,clerk
Guðrún Skúladótti,female,clerk
Ingibjörg Björnsson,female,clerk
Sigríður Maggý Magnúsdóttir,female,clerk
Sigurlaug Skaftadóttir,female,clerk
Q61973870,female,clerk
François Fillion,male,clerk
David de Souza Meira,male,clerk
Gerson Theodoro de Oliveira,male,clerk
Luiz Carlos Augusto,male,clerk
Carlos Antunes da Silva,male,clerk
Adèle Marie Raymonde Rigaud,female,clerk
Q65217306,male,clerk
Imre Foglár,male,clerk
Paul Coombe,male,clerk
Ion Milu,male,clerk
Fritz Rieckert,male,clerk
Kurt Georg Lange,male,clerk
Antonella Volpi,female,clerk
Cradock Newton,male,clerk
Pieter Jacobus Makkinje,male,clerk
Elizabeth Magie,female,clerk
Gerardus Jan Worst,male,clerk
Charles Lamartine Clark,male,clerk
Arthur Rowan Fairfield,male,clerk
George Henry Fitzroy,male,clerk
"Sir Thomas Dyke, 4th Bt.",male,clerk
István Békássy,male,clerk
Gyula Horthy,male,clerk
Charles Augustus Cole,male,clerk
John Arthur,male,clerk
William N. Tallant,male,clerk
Nantogma Atta,male,clerk
Jambaidu Awuni,male,clerk
Rafael D. Szalatnay,male,clerk
Alfred Engel,male,clerk
Flora Nancy Vasey,female,clerk
Clarendon Stuart,male,clerk
Frederik Koch,male,clerk
Antonius Johannes Wegner,male,clerk
William Arthur Ensko Sr.,male,clerk
César Arias Rodríguez,male,clerk
Harvey Wood,male,clerk
Pedro Lamata Megias,male,clerk
Francisco Galindo Quiroga,male,clerk
Rina Rijpstra-Timmermans,female,clerk
Harry Chauncey Lindauer,male,clerk
Ernst von Prittwitz und Gaffron,male,clerk
Noel Zapico,male,clerk
Kenneth Steven Norton,male,clerk
Gertrud Müller,female,clerk
Felix Fernandez Villarrubia,male,clerk
José Molina Moreno,male,clerk
Mariano Rojo Gonzalez,male,clerk
Edwin R. Benedict,male,clerk
Pierre Ginouvès,male,clerk
Julian Szklarski,male,clerk
Joaquim Llovet i Verdura,male,clerk
Paul John Schwendel I,male,clerk
Francis Edward Steele,male,clerk
Janissa Delacruz,female,clerk
Mariano Puyuelo Morlan,male,clerk
Georg Herzig,male,clerk
Hugó Kilényi,male,clerk
Pia Maria Pezzoli,female,clerk
István Kvassay,male,clerk
Alfred Seton,male,clerk
Pál Oszkár Esterházy,male,clerk
Charlotte Uhrig,female,clerk
Rosa Berlizheimer,female,clerk
Edward Kubalski,male,clerk
Iokhel Fogelman,male,clerk
Simkha Pravda,male,clerk
Yehoshua Iuster,male,clerk
Sandor Szekely,male,clerk
Daniel Printz,male,clerk
Shlomo Pentel,male,clerk
Oswald Fas,male,clerk
Mina Peredelski,female,clerk
Khaim Perlberger,male,clerk
Dov Perl,male,clerk
Dezho Falk,male,clerk
Dvora Hauzer,female,clerk
Elka Dembovitz,female,clerk
Erzsebet Kovari,female,clerk
Gitel Primost,female,clerk
Shimon Pesati,male,clerk
Khaim Berlandshtein,male,clerk
Sala Haber,female,clerk
Peretz Prusker,male,clerk
Moshe Fabishkevitz,male,clerk
Hersh Forhang,male,clerk
Ita Fabishkevitz,female,clerk
Genya Presman,female,clerk
Lotte Blum,female,clerk
Tzila Perl,female,clerk
Yaakov Emanuel,male,clerk
Leon Presman,male,clerk
Yulia Fanta,female,clerk
Meir Ferber,male,clerk
Avraham Shus,male,clerk
Yitzkhak Pirnikash,male,clerk
Eugenia Gabai,female,clerk
Bernard Preis,male,clerk
Fania Prudzinski,female,clerk
Beniamin Frost,male,clerk
Naum Aizenberg,male,clerk
Yosef Pik,male,clerk
Gregor Perevozski,male,clerk
Yehudit Fas,female,clerk
Khaia Markus,female,clerk
Tzipora Federman,female,clerk
Georg Szathmáry-Király,male,clerk
Leib Teikhman,male,clerk
Leopold Pemshtein,male,clerk
Fernande Binenstok,female,clerk
Sheindl Samelson,female,clerk
Avraham Pashdetzki,male,clerk
Meir Perchiker,male,clerk
Sabina Preis,female,clerk
Sara Formalski,female,clerk
Shlomo Pravda,male,clerk
Avraham Herschitz,male,clerk
Yisrael Perkush,male,clerk
Arie Zlotnik,male,clerk
Shlomo Frank,male,clerk
Arie Aizikovics,male,clerk
Leopold Ielinek,male,clerk
Zoltan Farkash,male,clerk
Moshe Frak,male,clerk
Bernard Pechenik,male,clerk
Ida Pik,female,clerk
Etelka Shteiner,female,clerk
Leon Prusak,male,clerk
Arie Faust,male,clerk
Sara Pienko,female,clerk
Asher Gun,male,clerk
Bela Pik,male,clerk
Klara Vert,female,clerk
Olek Psheborski,male,clerk
Zalman Perl,male,clerk
Moshe Gutkind,male,clerk
Aleksander Fogel,male,clerk
Yaakov Paskovitz,male,clerk
David Pashdetzki,male,clerk
Avraham Fogelman,male,clerk
Rozi Rozenman,female,clerk
Levi Bikhler,male,clerk
Tzodek Pshibilski,male,clerk
Yehoshua Altman,male,clerk
Yitzkhak Naparstek,male,clerk
Aba Bermanski,male,clerk
Khona Potashnik,male,clerk
Aba Gotlib,male,clerk
Lili Farkash,female,clerk
Yosef Forshteher,male,clerk
Yaakov Prizant,male,clerk
Pinkhas Laks,male,clerk
Yehuda Printz,male,clerk
Raul Faradzhi,male,clerk
Dvora Perlberger,female,clerk
Boris Presman,male,clerk
Bentzion Goslar,male,clerk
Yokheved Pshititzki,female,clerk
Pesa Bal,female,clerk
Ester Faber,female,clerk
Tzvi Bildner,male,clerk
Malka Huterer,female,clerk
Yana Pero,male,clerk
Malka Fas,female,clerk
Roza Aspis,female,clerk
Mendel Przechodzki,male,clerk
Berta Fabian,female,clerk
Perel Perlman,female,clerk
Pnina Perlshtein,female,clerk
Issakhar Printz,male,clerk
Aharon Veisvol,male,clerk
Kornelia Gero,female,clerk
Ela Pentel,male,clerk
Pasha Leberfeld,female,clerk
Barukh Forst,male,clerk
Natan Holtzman,male,clerk
Moshe Pshedmeiski,male,clerk
Maks Flasser,male,clerk
Frida Pres,female,clerk
Bluma Pisuk,female,clerk
Shulamit Rivosh,female,clerk
Rivka Bobrov,female,clerk
Honiko Rozenberg,female,clerk
Artur Pik,male,clerk
Rakhel Ingster,female,clerk
Sara Prisman,female,clerk
Betzalel Polak,male,clerk
Khaia Perevozkin,female,clerk
Clifford Flower,male,clerk
William Henry Littlejohn,male,clerk
Inayatullah Altamash,male,clerk
Roy Schintler,male,clerk
Nilmani Basak,male,clerk
Thomas Butts,male,clerk
József Várady,male,clerk
Thomas Wells,male,clerk
Frederick Halcomb,male,clerk
Zofia Celińska,female,clerk
Spissich János,male,clerk
Séllyey Elek,male,clerk
Jenő Szabó,male,clerk
Géza Forintos,male,clerk
Alfréd Probstner,male,clerk
Joseph Windle Cole,male,clerk
Alfred Mundy,male,clerk
István Berthóty,male,clerk
Peter McFarren Blackman,male,clerk
Owen Griffith Owen,male,clerk
Anneliese Hoevel,female,clerk
Jewell Mazique,female,clerk
Robert Browning,male,clerk
Arthur Tappan Marvin,male,clerk
Robert Mackintosh,male,clerk
Leif Rogstad,male,clerk
Dimas de Madariaga,male,clerk
Antonio Romero Maroto,male,clerk
Viktor Chernopyatov,male,clerk
József Németh,male,clerk
Thomas Henry Barker,male,clerk
Hippolyte Herménégilde Tell,male,clerk
Teófilo del Valle Pérez,male,clerk
Jan Kłymko,male,clerk
Prafulla Chandra Bandyopadhyay,male,clerk
John Bird,male,clerk
Yosef Hasson,male,clerk
Nathaniel Bryceson,male,clerk
Ludwig Alene,male,clerk
Maryse Laganière,female,clerk
Edwin Gilbert McCally,male,clerk
Ivor Tarnay,male,clerk
Cristian Cenci,male,clerk
Malki Addi,male,clerk
Kántor Imre,male,clerk
Emil Follinus,male,clerk
Mary Harris,female,clerk
Govinda Chandra Ray,male,clerk
Margot White,female,clerk
Durgadas Bandyopadhyay,male,clerk
Ville Waldener,male,clerk
Matilal Roy,male,clerk
Paul Teschmer,male,clerk
Josef Weiß,male,clerk
Wilhelm Kelz,male,clerk
Hubert Knoche,male,clerk
Harold Stevens,male,clerk
Kálmán Rudnyánszky,male,clerk
Simon Schijnvoet,male,clerk
Archibald John Scott Milman,male,clerk
William Henry Hart,male,clerk
Gerlinde Wurth,female,clerk
Calla Wåhlin,female,clerk
Abraham Kershaw,male,clerk
William Osborne Cooper,male,clerk
Luigi Buffoli,male,clerk
Giovanni Maria Castelvetro,male,clerk
Ragnhild Holsen,female,clerk
Harry D. Gell,male,clerk
Vicente Zorita Alonso,male,clerk
Clela Rorex,female,clerk
Françoise Barbaroux (worker),female,clerk
Lorenzo Maggioni,male,clerk
Leonard Joseph Brown,male,clerk
Owen Evans,male,clerk
Charles Edward Harvey,male,clerk
Thomas Mann Keene,male,clerk
Mr Webber,male,clerk
Thomas Görtz,male,clerk
George Moon,male,clerk
John Lane,male,clerk
Abena Durowaa Mensah,female,clerk
Charles W. Thomas,male,clerk
