humanLabel,genderLabel,label
Michelangelo,male,construction_worker
Gustave Eiffel,male,construction_worker
Victor Horta,male,construction_worker
Peter Parler,male,construction_worker
Johann Balthasar Neumann,male,construction_worker
Kilián Ignaz Dientzenhofer,male,construction_worker
Friedrich Gilly,male,construction_worker
Friedrich von Gärtner,male,construction_worker
Elias Holl,male,construction_worker
Erwin von Steinbach,male,construction_worker
Ernst Friedrich Zwirner,male,construction_worker
Hugo Licht,male,construction_worker
Carl Schäfer,male,construction_worker
Johann Conrad Schlaun,male,construction_worker
Christoph Dientzenhofer,male,construction_worker
Jakob Prandtauer,male,construction_worker
Franz Martinelli,male,construction_worker
Joseph Kornhäusel,male,construction_worker
Bernard Rudofsky,male,construction_worker
Rudolf Wiegmann,male,construction_worker
Franz von Ržiha,male,construction_worker
Gotthilf Ludwig Möckel,male,construction_worker
Carl Friedrich Meerwein,male,construction_worker
Arnold von Westfalen,male,construction_worker
Jakob Heilmann,male,construction_worker
Ludwig von Tiedemann,male,construction_worker
Wolf Caspar von Klengel,male,construction_worker
Kurt Walter Leucht,male,construction_worker
Leonhard Dientzenhofer,male,construction_worker
František Antonín Grimm,male,construction_worker
Clemens Wenzeslaus Coudray,male,construction_worker
Erich Iltgen,male,construction_worker
Friedrich August Krubsacius,male,construction_worker
Franz Anton Hillebrandt,male,construction_worker
Franz Anton Pilgram,male,construction_worker
Johann Heinrich Müntz,male,construction_worker
Giovanni Pietro Tencalla,male,construction_worker
Baldassare Maggi,male,construction_worker
Karl Friedrich Schinkel,male,construction_worker
Matthias Grünewald,male,construction_worker
Sébastien Le Prestre de Vauban,male,construction_worker
Lauritz de Thurah,male,construction_worker
Lazare Carnot,male,construction_worker
Carl Gotthard Langhans,male,construction_worker
Domenico Egidio Rossi,male,construction_worker
Emil Králíček,male,construction_worker
Jakub Auguston,male,construction_worker
Abraham Leuthner,male,construction_worker
Pietro Nobile,male,construction_worker
Pietro da Cortona,male,construction_worker
John Vanbrugh,male,construction_worker
Adam Freytag,male,construction_worker
Ferdinand Cheval,male,construction_worker
Adolf Erben,male,construction_worker
Rafael Guastavino,male,construction_worker
Adolf von Pittel,male,construction_worker
Villard de Honnecourt,male,construction_worker
Peter Norbeck,male,construction_worker
Thomas Telford,male,construction_worker
Auguste Perret,male,construction_worker
Matthias of Arras,male,construction_worker
Filarete,male,construction_worker
Sebastiano Serlio,male,construction_worker
William Heerlein Lindley,male,construction_worker
Frank Bunker Gilbreth,male,construction_worker
Ed Wasser,male,construction_worker
John Petersen,male,construction_worker
Marie-Joseph Peyre,male,construction_worker
Anselmo Lurago,male,construction_worker
