humanLabel,genderLabel,label
Matthias Kaiser,male,cook
Holger Bodendorf,male,cook
Wolf Freiherr von Hornstein,male,cook
Hercules,male,cook
Manfred Stocker,male,cook
Ali Güngörmüs,male,cook
Gerhard Fuchs,male,cook
Wahabi Nouri,male,cook
Roy Petermann,male,cook
Thomas Dorfer,male,cook
Rainer Wolter,male,cook
Patrick Diethelm,male,cook
Gottlieb Jacob Weizsäcker,male,cook
Gregor Weber,male,cook
Nils Henkel,male,cook
Luise Holle,female,cook
Alexander Dressel,male,cook
Günter Scherrer,male,cook
Hans-Harald Reber,male,cook
Hans-Paul Steiner,male,cook
Hans-Peter Hussong,male,cook
Hans-Peter Wodarz,male,cook
Hans Ager,male,cook
Hans C. Marcher,male,cook
Hans Horberth,male,cook
Hans Karl Adam,male,cook
Hans Sobotka,male,cook
Hans Stefan Steinheuer,male,cook
Wolf Schönmehl,male,cook
Harald Rüssel,male,cook
Hartmut Leimeister,male,cook
Heinz Reitbauer,male,cook
Heiko Antoniewicz,male,cook
Heiko Nieder,male,cook
Thorsten Probost,male,cook
Heinrich Wächter,male,cook
Heinz Wehmann,male,cook
Helmut Krausler,male,cook
Helmut Röder,male,cook
Helmut Österreicher,male,cook
Henri Bach,male,cook
Michael Kempf,male,cook
Herbert Brockel,male,cook
Holger Stromberg,male,cook
Peter Wehlauer,male,cook
Horst Petermann,male,cook
Sören Anders,male,cook
Hubert Obendorfer,male,cook
Max Inzinger,male,cook
Karl Ederer,male,cook
Rolf Anschütz,male,cook
Rudolf Kellner,male,cook
Ingo Holland,male,cook
Theodor Hierneis,male,cook
Rainer Sass,male,cook
Jakob Stüttgen,male,cook
Manfred Schwarz,male,cook
Reinhard Gerer,male,cook
Jean-Claude Bourgueil,male,cook
Jens Jakob,male,cook
Margarethe Bacher,female,cook
Joachim Wissler,male,cook
Thilo Bischoff,male,cook
Johanna Maier,female,cook
Johannes King,male,cook
Thomas Bühner,male,cook
Jörg Glauben,male,cook
Josef Trippolt,male,cook
Juan Amador,male,cook
Jörg Sackmann,male,cook
Jörg Wörther,male,cook
Karl-Emil Kuntz,male,cook
Karl-Josef Fuchs,male,cook
Karlheinz Hauser,male,cook
Katharina Scheiger,female,cook
Kevin Fehling,male,cook
Kimberley Unser,female,cook
Klaus Trebes,male,cook
Roland Trettl,male,cook
Alfred Walterspiel,male,cook
Mirko Reeh,male,cook
Kolja Kleeberg,male,cook
Volker Drkosch,male,cook
Mario Kotaska,male,cook
Delia Smith,female,cook
Lisl Wagner-Bacher,female,cook
Pascale Naessens,female,cook
Lothar Eiermann,male,cook
Ludger Helbig,male,cook
Marc Haeberlin,male,cook
Marcello Fabbri,male,cook
Marco Müller,male,cook
Marcus G. Lindner,male,cook
Maria Saidler,female,cook
Mario Lohninger,male,cook
Markus Kebschull,male,cook
Markus Nagy,male,cook
Markéta Hrubesová,female,cook
Bobby Flay,male,cook
Francesco Arcangeli,male,cook
Björn Freitag,male,cook
Bobby Bräuer,male,cook
Boris Benecke,male,cook
Santi Santamaria,male,cook
Luigi Carnacina,male,cook
Guillaume Tirel,male,cook
Jean-Baptiste Reboul,male,cook
Klaus-Werner Wagner,male,cook
Gianni Annoni,male,cook
Károly Gundel,male,cook
Chakall,male,cook
Ching-He Huang,female,cook
Maître Chiquart,male,cook
Christian Bau,male,cook
Christian Begyn,male,cook
Christian Grainer,male,cook
Christian Grünwald,male,cook
Christian Henze,male,cook
Christian Jürgens,male,cook
Christian Lohse,male,cook
Christian Mittermeier,male,cook
Christian Petz,male,cook
