humanLabel,genderLabel,label
Alfons Michielssens,male,counselor
Edouard Van den Broeck,male,counselor
Christianus Truyen,male,counselor
Polydoor Herman,male,counselor
Ludovicus Laevens,male,counselor
Léon Brasseur,male,counselor
Jozef Stoffels,male,counselor
Jozef Van Camp,male,counselor
Jan-Baptist De Wachter,male,counselor
Aloysius Van Meel,male,counselor
Benoît Hardeman,male,counselor
Pieter Krieckemans,male,counselor
Charles Coppieters Stochove,male,counselor
Jullien Daubresse,male,counselor
Achiel Godderis,male,counselor
Augustinus De Preter,male,counselor
Jules Paheau,male,counselor
Prosper Lecoutre,male,counselor
Theophile Lambin,male,counselor
Benoît Maubille,male,counselor
Albert Cardijn,male,counselor
Emile Inghels,male,counselor
Amand Isacq,male,counselor
Joseph Isacq,male,counselor
Jan Corluy,male,counselor
Frans Kinnaer,male,counselor
Louis Goormachtigh,male,counselor
Joannes Jespers,male,counselor
Camille Dassonville,male,counselor
Martinus De Lathouwer,male,counselor
Henricus Decraene,male,counselor
Joannes-Baptista Van Tulder,male,counselor
Ludovicus Hofmans,male,counselor
Joannes Heuvelmans,male,counselor
Jerome Brutsaert,male,counselor
Emiel Peeters,male,counselor
Désiré Heene,male,counselor
Isidoor Hemeryck,male,counselor
Emiel Pauwelyn,male,counselor
Charles Lefebvre,male,counselor
Joannes Van Kerkhoven,male,counselor
Edmond Pauwels,male,counselor
Karel Kolen,male,counselor
Jan Coremans,male,counselor
Nabor Holvoet,male,counselor
Frans De Backer,male,counselor
Henricus Nihoul,male,counselor
Petrus Van den Maegdenbergh,male,counselor
Léon Bonte,male,counselor
Adolf Goethals,male,counselor
Camille Maenhaut,male,counselor
Leopold Claerhout,male,counselor
Amand Nys,male,counselor
Jozef Spanoghe,male,counselor
Joris Bertels,male,counselor
Jacques Bottin,male,counselor
Lodewijk Philippen,male,counselor
Edmond Houtave,male,counselor
Edmond Coppens,male,counselor
Carolus Boutens,male,counselor
Franciscus-Xaverius De Keersmaecker,male,counselor
Cornelius Huybreghts,male,counselor
Aloïs Baelen,male,counselor
Josephus Danco,male,counselor
Benoit Van Langenhove,male,counselor
Jules Sas,male,counselor
Victor Lucas,male,counselor
Vincent Lefere,male,counselor
Joseph Eghels,male,counselor
Aloïs Deschryvere,male,counselor
Jozef Vloemans,male,counselor
Jules Rayée,male,counselor
Benoît Cornet d'Elzius de Peissant,male,counselor
Ivo Duboccage,male,counselor
Ludovicus De Bie,male,counselor
Maximilien Pietquin,male,counselor
Walterus Schneider,male,counselor
Joannes Lefèvre,male,counselor
Emile De Jonghe,male,counselor
Petrus Sofferie,male,counselor
Arthur Piret,male,counselor
Charles Van Noten,male,counselor
Florent Janssens,male,counselor
Ludovicus Lauwers,male,counselor
Joannes Baptista Vervloet,male,counselor
Augustin Frutsaert,male,counselor
Francis Gaillarde,male,counselor
Franciscus De Herdt,male,counselor
Bruno Draulans,male,counselor
Constant Van Aerden,male,counselor
Benedictus Goeman,male,counselor
Petrus Goethals,male,counselor
Henricus Haes,male,counselor
Ludovicus Van Daele,male,counselor
Jacobus Diels,male,counselor
Josephus Hebbelinck,male,counselor
Josephus De Beuckelaer,male,counselor
Armand Pirsoul,male,counselor
Philippe Van Humbeeck,male,counselor
Eugenius De Bruyn,male,counselor
Gulielmus Beetemé,male,counselor
Eugène Maricq,male,counselor
Joannes-Baptista Verhulst,male,counselor
Joannes Dieltiens,male,counselor
Joannes Spillemaeckers,male,counselor
Emilius Vollen,male,counselor
Petrus Meskens,male,counselor
Augustinus Roelens,male,counselor
Fransiscus Van Bever,male,counselor
Eugeen Aerts,male,counselor
Lodewijk De Bruyn,male,counselor
Victor De Boeck,male,counselor
Eduardus Huybrechts,male,counselor
Charles Tyck,male,counselor
Léon Pirard,male,counselor
Jozef De Laet,male,counselor
Jacobus De Wever,male,counselor
Egidius Poort,male,counselor
Jozef De Meulder,male,counselor
Felix Verbeylen,male,counselor
Paulus Meynckens,male,counselor
Aloysius Ceusters,male,counselor
Aegidius Albrecht,male,counselor
Eligius Voets,male,counselor
Joannes Joosen,male,counselor
Petrus Adriaenssens,male,counselor
Henri Swalus,male,counselor
Louis De Schutter,male,counselor
Victor Meurs,male,counselor
Jean-Baptiste Op de Beeck,male,counselor
Sylvain Van Berchem,male,counselor
Cornelius Van den Bogaert,male,counselor
Constantinus De Boungne,male,counselor
Franciscus-Adolf De Clerck,male,counselor
Michaël Siroe,male,counselor
Joannes Arnouts,male,counselor
Petrus De Herdt,male,counselor
Firmin Michaux,male,counselor
Remigius Byl,male,counselor
Willem Suys,male,counselor
Felix Van Beneden,male,counselor
Edmond Malbecq,male,counselor
Jean-Ferdinand Drobé,male,counselor
Adrien Ruymaekers,male,counselor
Josephus Van de Velde,male,counselor
Dionysius Debot,male,counselor
Joannes-Baptista Du Bois,male,counselor
Egidius Van Camp,male,counselor
Alfons De Rooy,male,counselor
Henri Helsmoortel,male,counselor
Denis Smeur,male,counselor
Petrus Massart,male,counselor
Hendrik Prévost,male,counselor
Aloysius Peeters,male,counselor
Jean-Baptiste Van Calster,male,counselor
Ludovicus Cassiers,male,counselor
Ludovicus Dillen,male,counselor
Carolus Van Volxem,male,counselor
Joannes-Baptista Maleingreau,male,counselor
Henricus Bellekens,male,counselor
