humanLabel,genderLabel,label
Christoffel van Dijck,male,designer
Christoph Jamnitzer,male,designer
István Iván,male,designer
Katalin Katona,female,designer
Borgino dal Pozzo,male,designer
Fortunato Pio Castellani,male,designer
Conrad Anton Beumers,male,designer
Adolf Laky,male,designer
Nicola da Guardiagrele,male,designer
Martin Holtzhey,male,designer
Martin Schrot,male,designer
David Ferdinand Howaldt,male,designer
Otto Ohlsson,male,designer
Ernst Hanssen,male,designer
Horst Urban,male,designer
Petrus Gallicus,male,designer
Vincenzo Danti,male,designer
Johann Müller,male,designer
József Péri,male,designer
József Pölöskei,male,designer
Katalin Reményi,female,designer
Paul Telge,male,designer
Renee Nele,female,designer
Josef Bidlingmaier,male,designer
Elisabeth Treskow,female,designer
Hans Lencker,male,designer
Lipót Strelisky,male,designer
Joachim Szvetnik,male,designer
Eilbertus of Cologne,male,designer
Martin Heinrich Wilkens,male,designer
Rudolf Dentler,male,designer
Urs Graf junior,male,designer
Endres Dürer,male,designer
Albert Sous,male,designer
Erhard Brepohl,male,designer
Heinrich Hufnagel,male,designer
Ernst Christoph Steinhäußer,male,designer
Ernst Riegel,male,designer
Juste-Aurèle Meissonnier,male,designer
Henrik Wigström,male,designer
Wilhelm Nagel,male,designer
Nicholas of Verdun,male,designer
Hans Ryssenberch,male,designer
Johann George Hossauer,male,designer
Sigefridus,male,designer
Franz Wilhelm van den Wyenbergh,male,designer
Goudji,male,designer
Franz Rickert,male,designer
Franz Wandinger,male,designer
Friedrich Becker,male,designer
Pier Jacopo Alari Bonacolsi,male,designer
Péter Zsuffa,male,designer
Margret Grewenig,female,designer
Hieronymus Holper,male,designer
Gatja Helgart Rothe,female,designer
Georg Abeler,male,designer
Georg Honauer,male,designer
Jörg Seld,male,designer
George Heriot,male,designer
Jörg Herz,male,designer
Johann Christian Neuber,male,designer
Jean Jacques Coulin,male,designer
Francesc Masriera Manovens,male,designer
Godefroid de Claire,male,designer
Rudolf Bott,male,designer
Gusmin of Cologne,male,designer
Salvestro del Pollaiuolo,male,designer
