humanLabel,genderLabel,label
Ton Roosendaal,male,developer
Brendan Eich,male,developer
Paul Graham,male,developer
Håkon Wium Lie,male,developer
Hans Reiser,male,developer
Bruce Perens,male,developer
Jonathan Sachs,male,developer
James Clark,male,developer
Joe Ossanna,male,developer
Harold Cohen,male,developer
Ralph Griswold,male,developer
Kent Beck,male,developer
Jef Raskin,male,developer
Alan Kay,male,developer
Yukihiro Matsumoto,male,developer
Robert Cailliau,male,developer
Ian Murdock,male,developer
Ingo Molnár,male,developer
Bill Atkinson,male,developer
Ron Jeffries,male,developer
Blake Ross,male,developer
Scott Forstall,male,developer
Mark Russinovich,male,developer
Jon Hall,male,developer
Jaron Lanier,male,developer
Daniel J. Bernstein,male,developer
Cleve Moler,male,developer
Matt Mullenweg,male,developer
Andrei Alexandrescu,male,developer
Douglas McIlroy,male,developer
Bram Moolenaar,male,developer
Theodore Ts'o,male,developer
Mark P. McCahill,male,developer
Tim Paterson,male,developer
Dries Buytaert,male,developer
Nat Friedman,male,developer
Andrew Morton,male,developer
Jamie Zawinski,male,developer
Jordan Hubbard,male,developer
Justin Frankel,male,developer
Eric Allman,male,developer
Keith Packard,male,developer
Wietse Venema,male,developer
Robert Sedgewick,male,developer
David S. Miller,male,developer
Charles H. Moore,male,developer
Simon Tatham,male,developer
Fabrice Bellard,male,developer
Adriaan van Wijngaarden,male,developer
Charles Petzold,male,developer
Bob Frankston,male,developer
Dmitry Sklyarov,male,developer
Randal L. Schwartz,male,developer
Alistair Cockburn,male,developer
Scott Meyers,male,developer
Matthew Dillon,male,developer
Greg Kroah-Hartman,male,developer
Rusty Russell,male,developer
Jim Gettys,male,developer
Tim Pritlove,male,developer
René Sommer,male,developer
Ken Liu,male,developer
Paul Allen,male,developer
Peter Molyneux,male,developer
Michael Crichton,male,developer
Eric S. Raymond,male,developer
Jade Raymond,female,developer
Naomi Novik,female,developer
Jordan Mechner,male,developer
Markus Persson,male,developer
John Romero,male,developer
Randall Munroe,male,developer
Aaron Swartz,male,developer
Eben Moglen,male,developer
Anders Hejlsberg,male,developer
Elon Musk,male,developer
Bram Cohen,male,developer
Richard Garriott,male,developer
Warren Robinett,male,developer
"Nigel Jones, Baron Jones of Cheltenham",male,developer
Bill Joy,male,developer
Jack Dorsey,male,developer
Gabe Newell,male,developer
Tim O'Reilly,male,developer
Pierre Omidyar,male,developer
Larry Kaplan,male,developer
Ron Gilbert,male,developer
Wayne Gould,male,developer
Jon Lech Johansen,male,developer
George Hotz,male,developer
Adrian Lamo,male,developer
Howard Scott Warshaw,male,developer
Gary McKinnon,male,developer
Geir Ivarsøy,male,developer
CoH,male,developer
David A. Wheeler,male,developer
David Karp,male,developer
Rickard Falkvinge,male,developer
Rhianna Pratchett,female,developer
Con Kolivas,male,developer
Tim Berners-Lee,male,developer
Julian Assange,male,developer
Eugene Kaspersky,male,developer
Bill Gates,male,developer
Ada Lovelace,female,developer
Richard Stallman,male,developer
Samuel Jacob Klein,male,developer
Ward Cunningham,male,developer
Edsger W. Dijkstra,male,developer
Henriette Avram,female,developer
John Knoll,male,developer
Jean Bartik,female,developer
Betty Holberton,female,developer
Grace Hopper,female,developer
Victor Sadler,male,developer
Mary Lee Woods,female,developer
Kateryna Yushchenko,female,developer
Donald Knuth,male,developer
Kathleen Antonelli,female,developer
Theo de Raadt,male,developer
Felix von Leitner,male,developer
Guido van Rossum,male,developer
