humanLabel,genderLabel,label
Thore Ehrling,male,editor
Dieter Dierks,male,editor
Helmut Kickton,male,editor
Fritz Simrock,male,editor
Maurice Schlesinger,male,editor
Cyrill Kistler,male,editor
Siegfried Translateur,male,editor
Helga Schauerte-Maubouet,female,editor
Max Abraham,male,editor
Adolf Martin Schlesinger,male,editor
Karl Michael Komma,male,editor
Henri Hinrichsen,male,editor
Julius Heinrich Zimmermann,male,editor
Tilo Medek,male,editor
Siegfried Rundel,male,editor
Mark Chung,male,editor
Benedikt Hacker,male,editor
Nikolaus Simrock,male,editor
Johann Crüger,male,editor
Anton Diabelli,male,editor
Hermann Silwedel,male,editor
Carlo Schmidl,male,editor
Muzio Clementi,male,editor
Johann Anton André,male,editor
Johann Friedrich Hartknoch,male,editor
Giulio Ricordi,male,editor
Lorenz Duftschmid,male,editor
Édouard Moullé,male,editor
Jan de Haan,male,editor
Ignaz Pleyel,male,editor
Johann Gottlob Immanuel Breitkopf,male,editor
Olof Åhlström,male,editor
Michel-Charles Le Cène,male,editor
Abraham Hirsch,male,editor
Adolf Robitschek,male,editor
Adolf Strube,male,editor
Adrian Le Roy,male,editor
Henry Litolff,male,editor
Wilhelm Gabriel,male,editor
Daniel Miller,male,editor
Stig Anderson,male,editor
Roy Acuff,male,editor
Ottaviano Petrucci,male,editor
Andreas Bode,male,editor
Johannes Andreas Amon,male,editor
Tielman Susato,male,editor
Jacques Moderne,male,editor
Fred Rose,male,editor
Antoine Beuger,male,editor
Antonio Gardano,male,editor
Pierre Attaingnant,male,editor
August Zurfluh,male,editor
Fred Fisher,male,editor
Joseph Czerny,male,editor
John Marascalco,male,editor
Art Rupe,male,editor
Franz Anton Hoffmeister,male,editor
Jérôme-Joseph de Momigny,male,editor
Estienne Roger,male,editor
Ted Ross,male,editor
Petrus Phalesius the Elder,male,editor
Travis Dickerson,male,editor
Robert Keller,male,editor
Barbara Scheuch-Vötterle,female,editor
Bill Martin,male,editor
Billy Bay,male,editor
Franz Ries,male,editor
Dick James,male,editor
Rudolf Antonín Dvorský,male,editor
Giuseppe Sala,male,editor
Burkhardt Seiler,male,editor
Carl Gottlieb Röder,male,editor
Chris Mike,male,editor
Christian Friedrich Voss,male,editor
Christoph Dohr,male,editor
Cliff Garrett,male,editor
Cosimo Stawiarski,male,editor
Tranquillo Mollo,male,editor
DJ Abyss,male,editor
Dick W. Frangenberg,male,editor
Dietrich Kessler,male,editor
Heinrich Agatius Gottlob Tuch,male,editor
Don Sickler,male,editor
Götz Wörner,male,editor
Joe Davis,male,editor
Emil Würmli,male,editor
Gyula Rózsavölgyi,male,editor
Kerry Mills,male,editor
John Playford,male,editor
Irving Mills,male,editor
Karl Wallinger,male,editor
Paul McGuinness,male,editor
Mitrofan Belyayev,male,editor
Hugo Knepler,male,editor
Emil Hertzka,male,editor
Emil Ruh,male,editor
Emmanuel Durlet,male,editor
Ernst Eulenburg,male,editor
Ernst Roth,male,editor
Everett Ellsworth Truette,male,editor
Jack Säuberli,male,editor
Hermann Erler,male,editor
Ferry Grott,male,editor
Jean-Baptiste Moens,male,editor
Gottfried Christoph Härtel,male,editor
Günter Graulich,male,editor
Franco Migliacci,male,editor
