humanLabel,genderLabel,label
Yves Montand,male,hairdresser
Karl Tellenbach,male,hairdresser
Marie Laveau,female,hairdresser
Vidal Sassoon,male,hairdresser
Raymond Poulidor,male,hairdresser
Buddy Bolden,male,hairdresser
Andreas Holm,male,hairdresser
Christine Minier,female,hairdresser
Fabrice Luchini,male,hairdresser
Jay Sebring,male,hairdresser
Krisztián Arató,male,hairdresser
Bert Wollersheim,male,hairdresser
Pierre Toussaint,male,hairdresser
Jacques Jasmin,male,hairdresser
László Hajas,male,hairdresser
Carmen Kreuzer,female,hairdresser
Anita Rinaldi,female,hairdresser
Edgar Bruun,male,hairdresser
Mihály Sarusi,male,hairdresser
Stas Piekha,male,hairdresser
Erich Baumgarten,male,hairdresser
Erich Joham,male,hairdresser
Erwin Franz Müller,male,hairdresser
Paul Mitchell,male,hairdresser
Ferdinand Kilian,male,hairdresser
La Tigresa del Oriente,female,hairdresser
Franz Eichhorn,male,hairdresser
François Haby,male,hairdresser
Fritze Bollmann,male,hairdresser
Karina Berger,female,hairdresser
Karl Schmiedbauer,male,hairdresser
George Michael,male,hairdresser
Gustav Guhl,male,hairdresser
Paul LeBlanc,male,hairdresser
Hülya Duyar,female,hairdresser
Martha Matilda Harper,female,hairdresser
Max Bedacht,male,hairdresser
Antoine de Paris,male,hairdresser
Mari van de Ven,female,hairdresser
Maureen Starkey Tigrett,female,hairdresser
Peter J. Vita,male,hairdresser
Franck Provost,male,hairdresser
George Quaintance,male,hairdresser
Antonette Sterrenburg,female,hairdresser
Jon Peters,male,hairdresser
Alfred Vulpes,male,hairdresser
Javier Calvo,male,hairdresser
Louis Alexandre Raimon,male,hairdresser
Daniel Johannes Huygens,male,hairdresser
Francesco Vanderjeugd,male,hairdresser
Lluís Llongueras Batlle,male,hairdresser
Aimé Dandoy,male,hairdresser
Barbara Harmer,female,hairdresser
Fred Rister,male,hairdresser
Jacques Dessange,male,hairdresser
Léonard Autié,male,hairdresser
Jean-Louis David,male,hairdresser
Jean Teillet,male,hairdresser
John Frieda,male,hairdresser
Laurent Caille,male,hairdresser
Louis Hippolyte Leroy,male,hairdresser
Maty Dollar,female,hairdresser
Odile Gilbert,female,hairdresser
Kenneth Carmohn,male,hairdresser
Ray Bird,male,hairdresser
Raymond Dubéros,male,hairdresser
Uri Nakayama,female,hairdresser
Giancarlo De Leonardis,male,hairdresser
Sergio Valente,male,hairdresser
Q4159803,male,hairdresser
Andrey Drykin,male,hairdresser
Sergei Zverev,male,hairdresser
Dolores Kondrashova,female,hairdresser
Vlad Lisovets,male,hairdresser
Anthony Mascolo,male,hairdresser
Lee Stafford,male,hairdresser
Aleksandr Utkin,male,hairdresser
Tyra Hunter,trans woman,hairdresser
Abraham Wivell,male,hairdresser
Addy Lee,male,hairdresser
Adhuna Bhabani,female,hairdresser
Albert Nico,male,hairdresser
Gerda Nilsson,female,hairdresser
Cary Kwok,male,hairdresser
Champagne,male,hairdresser
Christophe,male,hairdresser
David Evangelista,male,hairdresser
Didier Malige,male,hairdresser
Jan Thomas Mørch Husby,male,hairdresser
Edwin Roscoe Stephenson,male,hairdresser
Ikko,trans woman,hairdresser
Vuokko Mattila,female,hairdresser
Tage Frandsen,male,hairdresser
Thomas Bickham,male,hairdresser
Uffe Buchard,male,hairdresser
Willy Strube,male,hairdresser
Ana María Ríos,female,hairdresser
Nikola Bizumić,male,hairdresser
Fernand Masson,male,hairdresser
Toni Rakkaen,male,hairdresser
Tetsuya Sakamaki,male,hairdresser
Celina Johanna Kuijper,female,hairdresser
Leco van Zadelhoff,male,hairdresser
Knut Wulff,male,hairdresser
Marcel Pimpaud,male,hairdresser
Ingrid Pavic,female,hairdresser
Marita Carita,female,hairdresser
Rosy Carita,female,hairdresser
Mystag,male,hairdresser
Eleonore Kastner,female,hairdresser
Franz Walzer,male,hairdresser
Roy Donders,male,hairdresser
Adruitha Lee,female,hairdresser
Tutta Rosenberg,female,hairdresser
Lino Carbosiero,male,hairdresser
René Chauvin,male,hairdresser
Leonard of Mayfair,male,hairdresser
Benoît Poirier d'Ambreville,male,hairdresser
Julien Farel,male,hairdresser
Desmond Miller,male,hairdresser
Joshua Galvin,male,hairdresser
DiAna DiAna,female,hairdresser
Inkeri Harri,female,hairdresser
Risto Helin,male,hairdresser
Liina Raud,female,hairdresser
August Donnen,male,hairdresser
Josy Schlang,male,hairdresser
Rochelle DeAnna  McLean,female,hairdresser
Robin Mathews,female,hairdresser
Gloria Pasqua-Casny,female,hairdresser
Peter Coppola,male,hairdresser
Donald Rutledge,male,hairdresser
