humanLabel,genderLabel,label
Cheryl Williams,female,housekeeper
Paulina Vetterli,female,housekeeper
Gary Washington,male,housekeeper
Katharina Louis,female,housekeeper
Alice von Kahler,female,housekeeper
Emma Bruch,female,housekeeper
Adelheid Schulz,female,housekeeper
Grethe Schmidt,female,housekeeper
Berta David,female,housekeeper
Justina Eder,female,housekeeper
Maria Löbel,female,housekeeper
Line Eckolt,female,housekeeper
Helen Kafkis,female,housekeeper
Maria Garcia-Rodelo,female,housekeeper
Rosa Luna,female,housekeeper
Gertrudis Lara,female,housekeeper
Jean Virgona,female,housekeeper
Lena Virgona,female,housekeeper
Emma Vogel,female,housekeeper
Christina Beata Wik,female,housekeeper
Mathilda Jansson,female,housekeeper
Therese van Beethoven,female,housekeeper
Katharina Katzmayr,female,housekeeper
Malin Blomsterberg,female,housekeeper
Maria Aguilera i Casals,female,housekeeper
Claire Litchman,female,housekeeper
Elizabeth Rasmussen Sundberg,female,housekeeper
Luise Mogwitz,female,housekeeper
Sarah Rinehart,female,housekeeper
Mitzi Schaal,female,housekeeper
Hendrica Jansen,female,housekeeper
Aimee Motier de La Fayette,female,housekeeper
Helene Hesseler,female,housekeeper
Rachel Kéké,female,housekeeper
Gjertrud Wehme,female,housekeeper
Marzette Lewis,female,housekeeper
Juliska Balázs,female,housekeeper
Anna Bartalis,female,housekeeper
Natalia Bashtanna,female,housekeeper
Mauricette Beaucaillou,female,housekeeper
Marie Blanchet,female,housekeeper
Anna Bolle,female,housekeeper
Ernst Brouze,male,housekeeper
Germaine Brouze,female,housekeeper
Margit Buday,female,housekeeper
Cécile Cuccaroni,female,housekeeper
Clara Dijkstra,female,housekeeper
Erzsébet Döbrössy,female,housekeeper
Etelka Dombi,female,housekeeper
Rozália Fekete,female,housekeeper
Jeanne Frank,female,housekeeper
Régine Girard,female,housekeeper
Suzanne Gombault,female,housekeeper
Ida Gosztonyi,female,housekeeper
Rose Grosset,female,housekeeper
Marietje Heerkens,female,housekeeper
Antonia Hensels,female,housekeeper
Anna Hircsu,female,housekeeper
Irén Horváth,female,housekeeper
Maria Hradowicz,female,housekeeper
Elvira Isotton,female,housekeeper
Adele Jemolo,female,housekeeper
Wilhelmina de Jongh,female,housekeeper
Teofilė Kazlauskaitė,female,housekeeper
Mária Kennedy,female,housekeeper
Nicolasina Kerkhof,female,housekeeper
Rins Knook,female,housekeeper
Marie Korts,female,housekeeper
Marianna Kupczak,female,housekeeper
Pieternella Kwikkers,female,housekeeper
Aafje Laan,female,housekeeper
Thérèse Lamotte,female,housekeeper
Mechthilde Leenders,female,housekeeper
Alphonsine Lefebvre,female,housekeeper
Stefania Lipska,female,housekeeper
Fernande Loilier,female,housekeeper
Marthe Maçon,female,housekeeper
Ana Meškenienė,female,housekeeper
Erzsébet Mészáros,female,housekeeper
Zuzana Mihočková,female,housekeeper
Lucienne Miolan,female,housekeeper
Rozalia Natkaniec,female,housekeeper
Anna Orosz,female,housekeeper
Georgette Permanne,female,housekeeper
Andrée Rocher,male,housekeeper
Neeltje Roos,female,housekeeper
Marguerite Saulnier,female,housekeeper
Olucia Somienek,female,housekeeper
Julija Stanielko,female,housekeeper
Margit Szelei,female,housekeeper
Marie Tabruyn,female,housekeeper
Gizella Tátrai,female,housekeeper
Maria Teklak,female,housekeeper
Anna Hornung,female,housekeeper
Adele Turrini,female,housekeeper
Georgette Vandenabaele,female,housekeeper
Mária Varga,female,housekeeper
Malvina Vonžodienė,female,housekeeper
Helene Demuth,female,housekeeper
Paula Hitler,female,housekeeper
Milka Hartman,female,housekeeper
Jeanne Baret,female,housekeeper
Hendrickje Stoffels,female,housekeeper
Vera Renczi,female,housekeeper
Marie Pleißner,female,housekeeper
Rosa Stein,female,housekeeper
Rizana Nafeek,female,housekeeper
Bella D'Amico,female,housekeeper
Céleste Albaret,female,housekeeper
Georgina Hogarth,female,housekeeper
Valentina Istomina,female,housekeeper
Anna Pehrsönernas moder,female,housekeeper
Mary Fox,female,housekeeper
Nancy Green,female,housekeeper
Sigrídur Níelsdóttir,female,housekeeper
Clara Kempton Barnum,female,housekeeper
Cecilia Soldano,female,housekeeper
Elizabeth Rhodes,female,housekeeper
Elisabeth Mill,female,housekeeper
Rachel Lloyd,female,housekeeper
Oselia Osuldsen,female,housekeeper
Henriette Bitzius-Zeender,female,housekeeper
Jessie Mann,female,housekeeper
Catharina van Mockenborch,female,housekeeper
Josephine Rensch,female,housekeeper
Maria Witlam,female,housekeeper
Cathrine Schröder,female,housekeeper
Neeltje Willemsdr. Zuytbrouck,female,housekeeper
Clemintine Barnabet,female,housekeeper
"Mary Palmer, Countess of Inchiquin",female,housekeeper
Johanna Reichenbach,female,housekeeper
Magdalene Reiter,female,housekeeper
Maria Schrörs,female,housekeeper
Marija Debevec Remec,female,housekeeper
Katharina Dören,female,housekeeper
Q61972459,female,housekeeper
Q61972476,female,housekeeper
Q61972529,female,housekeeper
Q61972535,female,housekeeper
Q61972549,female,housekeeper
Q61972588,female,housekeeper
Q61972614,female,housekeeper
Q61972632,female,housekeeper
Q61972668,female,housekeeper
Q61972678,female,housekeeper
Halldóra Gunnarsdóttir,female,housekeeper
Herdís Jónasdóttir,female,housekeeper
Ingibjörg Blöndal,female,housekeeper
Jóhanna Eyjólfsdóttir,female,housekeeper
Q61973033,female,housekeeper
Margrét Jóhannsdóttir,female,housekeeper
Q61973323,female,housekeeper
Matthildur Gottsveinsdóttir,female,housekeeper
Q61973444,female,housekeeper
Ragnhildur Bjarnadóttir,female,housekeeper
Sesselja Eldjárn,female,housekeeper
Signý Jónsdóttir,female,housekeeper
Q61973602,female,housekeeper
Sigurbjörg Benónýsdóttir,female,housekeeper
Sigurbjörg Björnsdóttir,female,housekeeper
Svava Jónsdóttir,female,housekeeper
Sarah Johnson,female,housekeeper
Yves Le Seigle,male,housekeeper
Elba Ramos,female,housekeeper
Erna Hoffmann,female,housekeeper
Marcelino Francisco de Souza,male,housekeeper
Juana Melara,female,housekeeper
Baić Klara,female,housekeeper
Felicia Dorothea Kate Dover,female,housekeeper
Rosalind Appleton-Collins,female,housekeeper
Helena Roth,female,housekeeper
Maria Elisabet Hörnberg,female,housekeeper
Mary Elizabeth Throckmorton,female,housekeeper
Dirkje van der Weijden,female,housekeeper
Teresa Burza,female,housekeeper
Petronella Wiltink,female,housekeeper
Mária Zámbó,female,housekeeper
Rózsi Zavarko,female,housekeeper
Rozalia Zegarlińska,female,housekeeper
Marianna Żerykier,female,housekeeper
Regina Zimoń,female,housekeeper
Mary Bumby,female,housekeeper
Ellen Elgin,female,housekeeper
Elizabeth Dimsdale,female,housekeeper
Mária Kovács,female,housekeeper
Hilde Nanette Nast,female,housekeeper
Julia Geeraerts,female,housekeeper
Jeanne Savonné-Aerts,female,housekeeper
Maria Josepha Joris,female,housekeeper
Philomena Van Hove,female,housekeeper
Ida Lettens,female,housekeeper
Léontine Servais,female,housekeeper
Leontine Van den Abeele,female,housekeeper
Louise Van Roosbroeck,female,housekeeper
Maria Verschooten,female,housekeeper
Augusta Van Roosbroeck,female,housekeeper
Frieda Schloss,female,housekeeper
Elizabeth Kempster,female,housekeeper
Maude Smith,female,housekeeper
Anna Kwakkelstein-de Klerk,female,housekeeper
Marijtje Jansdr. van Rosenburg,female,housekeeper
Arthur Newall,male,housekeeper
Marytge Jansdr. van Stralen,female,housekeeper
Hester Bastiaens van den Heuvel,female,housekeeper
Hildur Christensen,female,housekeeper
Anna Elsa Hornum,female,housekeeper
Sylvie Jenaly,female,housekeeper
Juliane Barbara Schulz,female,housekeeper
Lydia Wharmby,female,housekeeper
Basia Klein,female,housekeeper
Erna Brzezek,female,housekeeper
Alice Hoatson,female,housekeeper
Q130383859,female,housekeeper
