humanLabel,genderLabel,label
Christian Rach,male,laborer
Horst Lichter,male,laborer
Alexander Herrmann,male,laborer
Ralf Zacherl,male,laborer
Stefan Marquard,male,laborer
Eckart Witzigmann,male,laborer
Johann Lafer,male,laborer
Kurt Franz,male,laborer
Franz Sacher,male,laborer
Chakuza,male,laborer
Clemens Wilmenrod,male,laborer
Franziska Tausig,female,laborer
Ilka Bessin,female,laborer
Johann Heinrich Grüneberg,male,laborer
Constanze Manziarly,female,laborer
Sarah Wiener,female,laborer
Joseph Dommers Vehling,male,laborer
Claude Nobs,male,laborer
Harland Sanders,male,laborer
Andrea Simmen,female,laborer
Martino da Como,male,laborer
Gastón Acurio,male,laborer
Giada De Laurentiis,female,laborer
Ferran Adrià,male,laborer
Klaus Erfort,male,laborer
Marx Rumpolt,male,laborer
Harald Wohlfahrt,male,laborer
Tim Mälzer,male,laborer
Julia Child,female,laborer
Helmut Thieltges,male,laborer
Eyck Zimmer,male,laborer
Heinz Winkler,male,laborer
Silvio Kuhnert,male,laborer
Johann Gundel,male,laborer
Heinz Beck,male,laborer
Frank Rosin,male,laborer
Vincent Klink,male,laborer
Chimamanda Ngozi Adichie,female,laborer
Typhoid Mary,female,laborer
Valerie Bertinelli,female,laborer
Monica Dickens,female,laborer
Mārtiņš Rītiņš,male,laborer
Kelis,female,laborer
Achim Schwekendiek,male,laborer
Alex Atala,male,laborer
Nathan Myhrvold,male,laborer
Anthony Bourdain,male,laborer
Rose Gray,female,laborer
Alice Waters,female,laborer
Simone Ortega,female,laborer
Andreas C. Studer,male,laborer
Andreas Caminada,male,laborer
Andreas Döllerer,male,laborer
Andreas Geitl,male,laborer
Andreas Krolik,male,laborer
Andreas Pöschel,male,laborer
Andreas Schweiger,male,laborer
Andreas Wojta,male,laborer
Andree Köthe,male,laborer
Alexandra Zazzi,female,laborer
André Jaeger,male,laborer
Sully Diaz,female,laborer
Gry Kirsti Skjønhaug,female,laborer
Roger Vergé,male,laborer
Quique Dacosta,male,laborer
Choumicha Chafaï,female,laborer
Eliza Acton,female,laborer
Fannie Farmer,female,laborer
Anna Wehinger,female,laborer
Anna Sgroi,female,laborer
Knud Andersen,male,laborer
René Redzepi,male,laborer
José Ramón Elizondo,male,laborer
Maciej Kuroń,male,laborer
Émile Jung,male,laborer
Armin Roßmeier,male,laborer
Doris Miller,male,laborer
Ove Verner Hansen,male,laborer
Cesare Ripa,male,laborer
Ateshbaz i-Veli,male,laborer
C. József Dobos,male,laborer
Luigi Veronelli,male,laborer
Beat Bolliger,male,laborer
Benjamin Parth,male,laborer
Bernd Arold,male,laborer
Bernhard Diers,male,laborer
Bernhard Reiser,male,laborer
Bertha Gumprich,female,laborer
Berthold Bühler,male,laborer
Bertold Siber,male,laborer
Péter Buday,male,laborer
Bobby Flay,male,laborer
Francesco Arcangeli,male,laborer
Björn Freitag,male,laborer
Bobby Bräuer,male,laborer
Boris Benecke,male,laborer
Santi Santamaria,male,laborer
Luigi Carnacina,male,laborer
Guillaume Tirel,male,laborer
Jean-Baptiste Reboul,male,laborer
Klaus-Werner Wagner,male,laborer
Gianni Annoni,male,laborer
