humanLabel,genderLabel,label
Abd al-Majid Salim,male,lawyer
Abdelwahab Annaib,male,lawyer
Q12224169,male,lawyer
Ali bin Husayn al-Koti,male,lawyer
Kifayatullah Dehlavi,male,lawyer
Mohammad Al-Madani Al-Shuwayrif,male,lawyer
Mohammed bin Ismail Al Amrani,male,lawyer
Q12240173,male,lawyer
Q12240285,male,lawyer
Muḥammad Said Al Ourfi,male,lawyer
Muhammad Ali al-Sabuni,male,lawyer
Mahmoud Akkam,male,lawyer
Ali Hayreddin,male,lawyer
Manyu Sharkov,male,lawyer
Mustafa Hadzhi,male,lawyer
Hidayatullah II of Banjar,male,lawyer
Abdul Majid Mohd Noor,male,lawyer
Abdul Rashid Hashim,male,lawyer
Harussani Zakaria,male,lawyer
Hasbullah Abd Halim,male,lawyer
Haji Ibrahim Tok Raja,male,lawyer
Ishak Baharom,male,lawyer
Ismail Yusoff,male,lawyer
Juanda Jaya,male,lawyer
Mohd Asri Zainul Abidin,male,lawyer
Mohd Tamyes Abd Wahid,male,lawyer
Nik Wan Daud,male,lawyer
Rashid Redza Md Salleh,male,lawyer
Wan Muhammad Abdul Samad,male,lawyer
Wan Musa Abdul Samad,male,lawyer
Mevlud Dudić,male,lawyer
Q12767629,male,lawyer
Huseyn Efendi Qayibov,male,lawyer
Metsos Tzemalis,male,lawyer
Q12880967,male,lawyer
Fazlul Haque Amini,male,lawyer
Ibrahim ef. Halilović,male,lawyer
Jakub Selimoski,male,lawyer
Mustafa Ejubović,male,lawyer
Mustafa Hilmi Hadžiomerović,male,lawyer
Q15062964,male,lawyer
Abdul Aziz Juned,male,lawyer
Suhaili bin Haj Mohiddin,male,lawyer
Abdul Karim Khasawneh,male,lawyer
Q15696280,male,lawyer
İbrahim Şerif,male,lawyer
Hamda Saied,male,lawyer
Rashid Ahmad Ludhianvi,male,lawyer
Salih al-Asmari,male,lawyer
Sa’id Hijjawi,male,lawyer
Ismail Aleksandrovich,male,lawyer
Khalil al-Mais,male,lawyer
Saifulla-kadi Bashlarov,male,lawyer
Mufti Muhammad Amin,male,lawyer
Q16332689,male,lawyer
Ismail Berdiyev,male,lawyer
Mufti Saiful Islam,male,lawyer
Mehmet Nuri Efendi,male,lawyer
Skënder Bruçaj,male,lawyer
Ibrahim Maglajlić,male,lawyer
Habib Usman bin Yahya,male,lawyer
Albir Rifkatowitsch Krganow,male,lawyer
Thaika Ahmad Abdul Qadir,male,lawyer
Said Ismagilov,male,lawyer
Turki al-Binali,male,lawyer
Sidi Boushaki,male,lawyer
Muhammad Akmal,male,lawyer
Jamal ibn Abd Allah Shaykh Umar,male,lawyer
Muhammad Zain Simabur,male,lawyer
Kamil Sämiğullin,male,lawyer
Fatima bint 'Abbas al-Baghdadiyya,female,lawyer
Q20409308,male,lawyer
Kadír Halil,male,lawyer
Resul Nuriy,male,lawyer
Hacı Mustafa Şerif,male,lawyer
Mat Jahya Hussin,male,lawyer
Md Hashim Yahaya,male,lawyer
Ahmad Maher Ismail,male,lawyer
Zulkifli Mohamad Al-Bakri,male,lawyer
Muhammed Muftizadeh,male,lawyer
Osman Velizade,male,lawyer
Raza Ali Khan,male,lawyer
Tacuddin Mustafin,male,lawyer
Ismail Ahmedov,male,lawyer
Abdul Hamid Efendizadeh,male,lawyer
Abdul Qayyum Khan Hazarvi,male,lawyer
Muhammad Hussain Naeemi,male,lawyer
Saeed Ahmad Palanpuri,male,lawyer
Saidmukaram Abdukodirsoda,male,lawyer
Q20610850,male,lawyer
Q20627212,male,lawyer
Ismail ibn Musa Menk,male,lawyer
Ahmad ibn Sumait,male,lawyer
Timurtaş Uçar,male,lawyer
Ali Akpınar,male,lawyer
Ahmad Karima,male,lawyer
Muhammad ibn Abd Allah ibn Abd al-Hakam,male,lawyer
Mohamed Mokhtar Sellami,male,lawyer
Q22934653,male,lawyer
Isa Khamkhoev,male,lawyer
