humanLabel,genderLabel,label
Helwig Schmidt-Glintzer,male,librarian
Hugo von Waldeyer-Hartz,male,librarian
Martin Schrettinger,male,librarian
Walter Robert-Tornow,male,librarian
Franz Heinrich Weißbach,male,librarian
Georg Reimann,male,librarian
Gotthold Weil,male,librarian
Heinrich Loewe,male,librarian
Bernhard Moritz,male,librarian
Jacob von Staehlin,male,librarian
Johann Conrad Arnoldi,male,librarian
Andreas Sennert,male,librarian
Ernst Hermann Joseph Münch,male,librarian
Richard von Garbe,male,librarian
Leopold Cohn,male,librarian
Richard Oehler,male,librarian
Franz Boll,male,librarian
Karl August Klüpfel,male,librarian
Gerhard Schneemann,male,librarian
Joseph Friedrich Abert,male,librarian
Paulus Cassel,male,librarian
Siegmund von Schweigerhausen,male,librarian
Georg Minde-Pouet,male,librarian
Karl Johannes Neumann,male,librarian
Karl Theodor Gaedertz,male,librarian
Friedrich Thimme,male,librarian
Willibald Kirfel,male,librarian
Matthias Menius,male,librarian
Philipp Nikolai Woldemar Schaeffer,male,librarian
Friedrich Wilken,male,librarian
Heinrich Zell,male,librarian
Placidus Braun,male,librarian
Josua Arnd,male,librarian
Christian Gryphius,male,librarian
Otto Fridolinus Fritzsche,male,librarian
Max Lehrs,male,librarian
Ernst Rückert,male,librarian
Hans Kiewning,male,librarian
Alfons Maria Stickler,male,librarian
Norbert Jokl,male,librarian
Hans von Mžik,male,librarian
Rudolf Simek,male,librarian
Theodor Seif,male,librarian
Johann Kirchmann,male,librarian
Johann Philipp Neumann,male,librarian
Franz Eyssenhardt,male,librarian
Klaus-Dieter Lehmann,male,librarian
Jean Senebier,male,librarian
Johannes Oporinus,male,librarian
Johannes von Müller,male,librarian
Daniel Albert Wyttenbach,male,librarian
Margaret Yorke,female,librarian
Sergius Golowin,male,librarian
Martin Bodmer,male,librarian
Giuseppe Caspar Mezzofanti,male,librarian
Otto Basler,male,librarian
Gall Morel,male,librarian
Franz Pfeiffer,male,librarian
Samuel Engel,male,librarian
Julius Zacher,male,librarian
Josef Anton Henne,male,librarian
Ildefons von Arx,male,librarian
Robert Julius Wilhelm Gradmann,male,librarian
Johann Georg Peter Möller,male,librarian
Johann Jakob Mascov,male,librarian
Aloys Ruppel,male,librarian
Christian Anton Christoph Krollmann,male,librarian
Otto Hartwig,male,librarian
Konstantin Karl Falkenstein,male,librarian
Ulrich Johannes Schneider,male,librarian
Albrecht von Haller,male,librarian
Angelius Johann Daniel Aepinus,male,librarian
Hartmut Walravens,male,librarian
Wilhelm Totok,male,librarian
Karl von Lützow,male,librarian
Jean Auguste Ulric Scheler,male,librarian
Reinhold Köhler,male,librarian
Karl Ruland,male,librarian
Wolfgang Herrmann,male,librarian
Johannes Dierauer,male,librarian
Fritz Hüser,male,librarian
Julius Hanauer,male,librarian
Friedrich Staub,male,librarian
Arthur Spanier,male,librarian
Henrik Brenner,male,librarian
Anastasius Bibliothecarius,male,librarian
Leonhart Schroeter,male,librarian
Ludwig Stern,male,librarian
André Blavier,male,librarian
Johannes Wolf,male,librarian
Heinrich Mack,male,librarian
Casimir Delavigne,male,librarian
Raffaele Farina,male,librarian
Amy Clampitt,female,librarian
