humanLabel,genderLabel,label
Christine Moore,female,nurse
Yolanda Saldívar,female,nurse
Margaret Sanger,female,nurse
Marie Restituta Kafková,female,nurse
Beverley Allitt,female,nurse
Cicely Saunders,female,nurse
Mary Ann Cotton,female,nurse
Lene Lund Høy Karlsen,female,nurse
John of God,male,nurse
Charles Cullen,male,nurse
Camillus de Lellis,male,nurse
Adelheid von Stösser,female,nurse
Luisa María Cuculiza,female,nurse
Judith Adams,female,nurse
Afaf Meleis,female,nurse
Patricia Horoho,female,nurse
Agnes Karll,female,nurse
Aïcha Chenna,female,nurse
Annie Sprinkle,female,nurse
Marjory Gordon,female,nurse
Rena Owen,female,nurse
Marja van Bijsterveldt,female,nurse
Dorothea Orem,female,nurse
Elisabeth Hesselblad,female,nurse
Agostina Livia Picapiedra,female,nurse
Rikke Skov,female,nurse
Elaine Davidson,female,nurse
Laila Dåvøy,female,nurse
Jane Toppan,female,nurse
Enid Bagnold,female,nurse
Angelica Sinn,female,nurse
Maria Merkert,female,nurse
Hattie Jacques,female,nurse
"Srinagarindra, Princess Mother",female,nurse
Margarethe Cammermeyer,female,nurse
Vera Brittain,female,nurse
Hildegard Peplau,female,nurse
Nella Larsen,female,nurse
Linda Vilhjálmsdóttir,female,nurse
Edmonde Charles-Roux,female,nurse
Licia Ronzulli,female,nurse
Carolyn McCarthy,female,nurse
Elizabeth Ann Seton,female,nurse
Lois Capps,female,nurse
Isabelle Durant,female,nurse
Mary Roberts Rinehart,female,nurse
Hanja Maij-Weggen,female,nurse
Ola Morten Græsli,male,nurse
Andrée De Jongh,female,nurse
Eddie Bernice Johnson,female,nurse
Naomi Mitchison,female,nurse
Maria Bertilla Boscardin,female,nurse
Irmã Dulce Pontes,female,nurse
Elizabeth Jolley,female,nurse
Faina Kirschenbaum,female,nurse
Anne-Cathrine Herdorf,female,nurse
Susan Travers,female,nurse
Gabrielle Petit,female,nurse
Anna Haava,female,nurse
Gitte Aaen,female,nurse
Betty Shabazz,female,nurse
Elizabeth Ann Scarborough,female,nurse
Grace Emily Akinyi Ogot,female,nurse
Elsa Brändström,female,nurse
Amélie Moser,female,nurse
Britt Goodwin,female,nurse
Jeanne Mance,female,nurse
Hadijat Gatayeva,female,nurse
Lillian Wald,female,nurse
Diane Black,female,nurse
Renee Ellmers,female,nurse
Elizabeth Kenny,female,nurse
Cathrine Paaske-Sørensen,female,nurse
Violet Jacob,female,nurse
Teresa Hsu Chih,female,nurse
Kate Marsden,female,nurse
Michael Mak,male,nurse
Anna Katschenka,female,nurse
Gerard Majella,male,nurse
Anna Mayr,female,nurse
Anna Odenwald,female,nurse
Annelise Rüegg,female,nurse
Annemarie Madison,female,nurse
Annette Grüters-Kieslich,female,nurse
Beatrice Marshoff,female,nurse
Anne Milton,female,nurse
Antonie Pachner,female,nurse
Antonie Stemmler,female,nurse
Frances P. Bolton,female,nurse
Marie-Rosalie Cadron-Jetté,female,nurse
Herminie de La Brousse de Verteillac,female,nurse
Kristiana Valtcheva,female,nurse
Amelia Dyer,female,nurse
Daisy de Melker,female,nurse
Richard Angelo,male,nurse
Sue Johanson,female,nurse
Margaret Catchpole,female,nurse
Anne V. Coates,female,nurse
Florence Nightingale,female,nurse
"Mary Russell, Duchess of Bedford",female,nurse
Lucia de Berk,female,nurse
Michael Ho,male,nurse
Arina Rodionovna,female,nurse
Marie of Romania,female,nurse
Irma Grese,female,nurse
Stephan Letter,male,nurse
Helmina von Chézy,female,nurse
Hannah Elizabeth Pick Goslar,female,nurse
Greta Bösel,female,nurse
Hildegard Lächert,female,nurse
Mary Frances Schervier,female,nurse
Marianne Nölle,female,nurse
Elisabeth Marschall,female,nurse
"Daisy, Princess of Pless",female,nurse
Marianne Cope,female,nurse
Theodor Fliedner,male,nurse
Ernst Zierke,male,nurse
Emma Goldman,female,nurse
Aino Nykopp-Koski,female,nurse
Alice Rühle-Gerstel,female,nurse
Vera Salvequart,female,nurse
Emma Freisinger,female,nurse
Helene Gotthold,female,nurse
Gary M. Heidnik,male,nurse
Maria Stromberger,female,nurse
Freda Meissner-Blau,female,nurse
Inge Viermetz,female,nurse
Emma Üffing,female,nurse
Ida Siekmann,female,nurse
Gertrud Seele,female,nurse
Blandina Ridder,female,nurse
Angela Maria Autsch,female,nurse
Harriet Tubman,female,nurse
Olaf Däter,male,nurse
Heinrich Matthes,male,nurse
Beate Berger,female,nurse
Katharina Schwabedissen,female,nurse
Friederike Nadig,female,nurse
Grand Duchess Olga Nikolaevna of Russia,female,nurse
Eleonore Baur,female,nurse
Louise Mountbatten,female,nurse
Mara Belcheva,female,nurse
Ma Anand Sheela,female,nurse
