humanLabel,genderLabel,label
Franz von Rinecker,male,physician
Herta Oberheuser,female,physician
Berthold Lasker,male,physician
Paul Gerson Unna,male,physician
Iwan Bloch,male,physician
Karl Herxheimer,male,physician
Eduard Arning,male,physician
Erich Hoffmann,male,physician
Albert Neisser,male,physician
Adolf Pokorny,male,physician
Joseph Škoda,male,physician
Heinrich Auspitz,male,physician
Josef Jadassohn,male,physician
Oskar Lassar,male,physician
Abraham Buschke,male,physician
Joseph Jakob von Plenck,male,physician
Heinrich Koebner,male,physician
Alfred Blaschko,male,physician
Josef Kyrle,male,physician
Oskar Simon,male,physician
Isidor Neumann,male,physician
Ernst Finger,male,physician
Felix Lewandowsky,male,physician
Max Marcuse,male,physician
Ferdinand von Hebra,male,physician
Edmund Lesser,male,physician
Ludwig Halberstädter,male,physician
Friedrich Wilhelm Felix von Bärensprung,male,physician
Gustav Simon,male,physician
Joseph von Lindwurm,male,physician
Albert Veiel,male,physician
Carl Bruck,male,physician
Hans Christian Korting,male,physician
Heinrich Löhe,male,physician
Johannes Fabry,male,physician
Siegfried Löwenthal,male,physician
Lisamaria Meirowsky,female,physician
Walter Burckhardt,male,physician
Torsten Zuberbier,male,physician
Jules Bordet,male,physician
Felix A. Theilhaber,male,physician
Cæsar Peter Møller Boeck,male,physician
Adolf Jarisch,male,physician
Afschin Fatemi,male,physician
Hermann Edler von Zeissl,male,physician
Stefania Jabłońska,female,physician
Mór Kaposi,male,physician
Camille Cabral,trans woman,physician
David Gruby,male,physician
August Weihe,male,physician
Soma Beck,male,physician
Bernd-Rüdiger Balda,male,physician
Bernd Kardorff,male,physician
Berta Ottenstein,female,physician
Berthold Rzany,male,physician
Olha Bohomolets,female,physician
Hulusi Behçet,male,physician
Bruno Bloch,male,physician
Ede Goldberger,male,physician
Ede Géber,male,physician
László Götz,male,physician
Carl Bruhns,male,physician
Carl Friedrich Funk,male,physician
Carl Schirren,male,physician
Carl Schirren,male,physician
Charles Du Bois,male,physician
Miklós Julesz,male,physician
Pierre François Olive Rayer,male,physician
Herbert Meinhard Mühlpfordt,male,physician
Ernő László,male,physician
Ede Neuber,male,physician
Lajos Nékám,male,physician
Lajos Nékám,male,physician
László Nüszl,male,physician
Gyula Poór,male,physician
Imre Poór,male,physician
Karl Ullmann,male,physician
Miklós Simon,male,physician
Eduard Spiegler,male,physician
Edvard Ehlers,male,physician
George C. Baker,male,physician
Karl Vohwinkel,male,physician
Edwin Ramel,male,physician
Egon Macher,male,physician
Else Kienle,female,physician
Johannes Ring,male,physician
Ferdinand-Jean Darier,male,physician
Emil Meirowsky,male,physician
Emil Schardon,male,physician
Mokutaro Kinoshita,male,physician
Oscar Gans,male,physician
Leopold Arzt,male,physician
Maximiliaan Ruiter,male,physician
Rudolf Strempel,male,physician
Q21104402,male,physician
Marc Lévêque,male,physician
Gustav Schoenhals,male,physician
Annu Navani,female,physician
Carmen Renée Green,female,physician
Izrail' Matovskii,male,physician
Henriette Hirschfeld-Tiburtius,female,physician
Doc Holliday,male,physician
Gurbanguly Berdimuhamedow,male,physician
Karl Mauss,male,physician
Franz Bäke,male,physician
Fritz Pfeffer,male,physician
Hinrich Romeike,male,physician
Walter Assmann,male,physician
Hugo Blaschke,male,physician
Otto-Heinrich Drechsler,male,physician
Herbert Buhtz,male,physician
Georg Carabelli,male,physician
Eduard Knirsch,male,physician
Adolf Zsigmondy,male,physician
Isidor Schalit,male,physician
Josef Jakobs,male,physician
Moriz Heider,male,physician
Otto Ites,male,physician
Willi Schatz,male,physician
Fritz Jung,male,physician
