humanLabel,genderLabel,label
Johannes Gutenberg,male,salesperson
Johann Jakob Schweppe,male,salesperson
Heinrich Aldegrever,male,salesperson
Anton Coberger,male,salesperson
Johann Fust,male,salesperson
João Frederico Ludovice,male,salesperson
Master E. S.,male,salesperson
Peter Flötner,male,salesperson
Israhel van Meckenem,male,salesperson
Schweipolt Fiol,male,salesperson
Wenzel Jamnitzer,male,salesperson
Ferdinand Oechsle,male,salesperson
Anton Eisenhoit,male,salesperson
Hans Krafft the Elder,male,salesperson
Christoph Weigel the Elder,male,salesperson
Jakob Karweyse,male,salesperson
Egino Weinert,male,salesperson
Fritz von Miller,male,salesperson
Christopher Bechtler,male,salesperson
Philippe Van Dievoet,male,salesperson
Jean-Jacques Keller,male,salesperson
Johann Balthasar Keller,male,salesperson
David Altenstetter,male,salesperson
Jüri Lossmann,male,salesperson
Carl Schuhmann,male,salesperson
Ludwig Yehuda Wolpert,male,salesperson
Filippo Brunelleschi,male,salesperson
Andrea del Verrocchio,male,salesperson
Peter Carl Fabergé,male,salesperson
Benvenuto Cellini,male,salesperson
Francesco Francia,male,salesperson
Romeyn de Hooghe,male,salesperson
Andrea Briosco,male,salesperson
Q306646,male,salesperson
Nicholas Hilliard,male,salesperson
Antonio del Pollaiuolo,male,salesperson
Aberit,male,salesperson
Giò Pomodoro,male,salesperson
Giovanni Cavino,male,salesperson
Eligius,male,salesperson
Adolph Sierich,male,salesperson
Jean Puiforcat,male,salesperson
Galeazzo Mondella,male,salesperson
René Lalique,male,salesperson
Amadio da Milano,male,salesperson
Jeremias Falck,male,salesperson
Akelo,male,salesperson
Nedda El-Asmar,female,salesperson
Albert Roelofs,male,salesperson
James Cox,male,salesperson
Albrecht Dürer the Elder,male,salesperson
Callimachus,male,salesperson
Anthoni Dürer,male,salesperson
Jacopo Strada,male,salesperson
Anton Frühauf,male,salesperson
Anton Schickel,male,salesperson
Maso Finiguerra,male,salesperson
Giovanni Bernardi,male,salesperson
Jacques Roettiers,male,salesperson
András Almási,male,salesperson
Sándor Légrády,male,salesperson
Urs Graf senior,male,salesperson
Leó Frankel,male,salesperson
Giovanni Jacopo Caraglio,male,salesperson
Piero del Pollaiuolo,male,salesperson
Theodor de Bry,male,salesperson
Renier de Huy,male,salesperson
Charles Buls,male,salesperson
Valerio Belli,male,salesperson
August Wilhelm Holmström,male,salesperson
Leone Leoni,male,salesperson
Alessandro Leopardi,male,salesperson
Marcantonio Raimondi,male,salesperson
Asya Yeutykh,female,salesperson
Cristoforo Foppa,male,salesperson
"László Szlávics, Jr.",male,salesperson
Antal Aurifaber,male,salesperson
Károly Bachruch,male,salesperson
Klára Balatoni,female,salesperson
Barbara Weinberger,female,salesperson
Christoph Weiditz the Elder,male,salesperson
Naum Slutzky,male,salesperson
Q850501,male,salesperson
Móric Brüll,male,salesperson
Johannes Banfi Hunyades,male,salesperson
Pierre Germain,male,salesperson
György Cseh,male,salesperson
Claus Bury,male,salesperson
Pierre Cartellier,male,salesperson
Vilmos Fémes Beck,male,salesperson
Jacopo Saltarelli,male,salesperson
Georg Adam Rehfues,male,salesperson
Paulus van Vianen,male,salesperson
Dávid Egger,male,salesperson
Károly Fuhrmann,male,salesperson
László Fördős,male,salesperson
György Füzéri,male,salesperson
Antal Goldschmidt,male,salesperson
Goszmann György,male,salesperson
Carl Dau,male,salesperson
Raymond Templier,male,salesperson
Robert Linzeler,male,salesperson
Archduchess Michaela of Austria,female,salesperson
Suzanne Lalique-Haviland,female,salesperson
Sylvio Perlstein,male,salesperson
Victoire de Castellane,female,salesperson
Webb C. Ball,male,salesperson
Émile Dalloz-Bourguignon,male,salesperson
Émile Froment-Meurice,male,salesperson
James Rivière,male,salesperson
Luigi Valadier,male,salesperson
Vincenzo Giura,male,salesperson
Vincenzo Melchiorre,male,salesperson
Marie-Etienne Nitot,male,salesperson
Q4232694,male,salesperson
Ksenia Krivosheina,female,salesperson
Konstantin Krjukov,male,salesperson
Manaba Magomedova,female,salesperson
Q4383273,male,salesperson
Maria Rozanova,female,salesperson
Ivan Kornilʹevich Shusherin,male,salesperson
Abdul Rahim Muslim Dost,male,salesperson
Adrien Vachette,male,salesperson
Albert Bensimon,male,salesperson
Sir Alexander Stevenson,male,salesperson
Alfred Karram,male,salesperson
Alice Elsie Reeve,female,salesperson
Carolina Bucci,female,salesperson
Chan Boon Yong,male,salesperson
Charles Loloma,male,salesperson
Charles Oakes,male,salesperson
Chunghi Choo,female,salesperson
Claire Falkenstein,female,salesperson
Dmitriy Bellman,male,salesperson
Edith Emily Morris,female,salesperson
Oppi Untracht,male,salesperson
Feodor Rückert,male,salesperson
Anton Teutenberg,male,salesperson
Giovanni Sebastiano Meyandi,male,salesperson
Michael Benedicks,male,salesperson
H.V. Dalling,male,salesperson
Halver Halversen,male,salesperson
Christian Hammer,male,salesperson
Jean Jahnsson,male,salesperson
J. M. Wendt,male,salesperson
Jacques Cartier,male,salesperson
Jean-Baptiste Fossin,male,salesperson
Jean Mayeur,male,salesperson
John Lazar,male,salesperson
Kananginak Pootoogook,male,salesperson
Karl Storck,male,salesperson
Khailshanker Durlabhji,male,salesperson
Lisa Roet,female,salesperson
Louis Aucoc,male,salesperson
Maria Tash,female,salesperson
Marie Zimmermann,female,salesperson
Peter Macchiarini,male,salesperson
Pierre C. Cartier,male,salesperson
Rex Solomon,male,salesperson
Richard Hunt,male,salesperson
Robert Davidson,male,salesperson
Robert Ebendorf,male,salesperson
Robert Goossens,male,salesperson
Robert M. Place,male,salesperson
S. R. Rana,male,salesperson
Samuel Henry Drew,male,salesperson
Sebastien Parfait,male,salesperson
Bjørg Nordli-Mathisen,female,salesperson
Shantidas Jhaveri,male,salesperson
Sheherazade Goldsmith,female,salesperson
Stephen Webster,male,salesperson
Tim McCreight,male,salesperson
Tod Gordon,male,salesperson
Tony Schiffman,male,salesperson
Vannetta Seecharran,female,salesperson
Antoni Jakubowski,male,salesperson
Olgierd Vetesco,male,salesperson
Wilfrid Nelson Isaac,male,salesperson
William Claude Harper,male,salesperson
Jean Vendome,male,salesperson
Lluís Bonnín i Martí,male,salesperson
Ryszard Gawlikowski,male,salesperson
Maria Martins,female,salesperson
Alexandra Horová,female,salesperson
Aleš Rozehnal,male,salesperson
Anna Daučíková,female,salesperson
Elis Kauppi,male,salesperson
Saara Hopea-Untracht,female,salesperson
Vladislav Vaculka,male,salesperson
Josep Maria Puig Doria,male,salesperson
Ramon Sunyer Clarà,male,salesperson
Vicenç Prat i Brunet,male,salesperson
Arthur David-Andersen,male,salesperson
Václav Plechatý,male,salesperson
František Anýž,male,salesperson
František Khynl,male,salesperson
Christoffel van Dijck,male,salesperson
Christoph Jamnitzer,male,salesperson
István Iván,male,salesperson
Katalin Katona,female,salesperson
Borgino dal Pozzo,male,salesperson
Fortunato Pio Castellani,male,salesperson
Conrad Anton Beumers,male,salesperson
Adolf Laky,male,salesperson
Nicola da Guardiagrele,male,salesperson
Martin Holtzhey,male,salesperson
Martin Schrot,male,salesperson
David Ferdinand Howaldt,male,salesperson
Otto Ohlsson,male,salesperson
Ernst Hanssen,male,salesperson
Horst Urban,male,salesperson
Petrus Gallicus,male,salesperson
Vincenzo Danti,male,salesperson
Johann Müller,male,salesperson
József Péri,male,salesperson
József Pölöskei,male,salesperson
Katalin Reményi,female,salesperson
Paul Telge,male,salesperson
Renee Nele,female,salesperson
Josef Bidlingmaier,male,salesperson
Elisabeth Treskow,female,salesperson
Hans Lencker,male,salesperson
Lipót Strelisky,male,salesperson
Joachim Szvetnik,male,salesperson
Eilbertus of Cologne,male,salesperson
Martin Heinrich Wilkens,male,salesperson
Rudolf Dentler,male,salesperson
Urs Graf junior,male,salesperson
Endres Dürer,male,salesperson
Albert Sous,male,salesperson
Erhard Brepohl,male,salesperson
Heinrich Hufnagel,male,salesperson
Ernst Christoph Steinhäußer,male,salesperson
Ernst Riegel,male,salesperson
Juste-Aurèle Meissonnier,male,salesperson
Henrik Wigström,male,salesperson
Wilhelm Nagel,male,salesperson
