humanLabel,genderLabel,label
Suetonius,male,secretary
Nobuhide Minorikawa,male,secretary
Traudl Junge,female,secretary
Gerda Christian,female,secretary
Gudrun Burwitz,female,secretary
Johanna Wolf,female,secretary
Christa Schroeder,female,secretary
Margarete Buber-Neumann,female,secretary
Maria Terwiel,female,secretary
Friedrich Adler,male,secretary
Anton Schrötter von Kristelli,male,secretary
Margarethe von Oven,female,secretary
Christel Boom,female,secretary
Inge Viermetz,female,secretary
Helene Jacobs,female,secretary
Ilse Stöbe,female,secretary
Rose Schlösinger,female,secretary
Heinrich Wilhelm Pabst,male,secretary
Ingeborg Kummerow,female,secretary
John Hay,male,secretary
Henri de Catt,male,secretary
Georg Supersaxo,male,secretary
Queen Camilla,female,secretary
Rose Mary Woods,female,secretary
Fabrizio Paolucci,male,secretary
Nadezhda Alliluyeva,female,secretary
Inger Nilsson,female,secretary
Lillian Asplund,female,secretary
Christian Herter,male,secretary
Suha Arafat,female,secretary
Aenne Saefkow,female,secretary
Bep Voskuijl,female,secretary
Laure Diebold,female,secretary
Mimi Smith,female,secretary
"Henry Grey, 3rd Earl Grey",male,secretary
John George Nicolay,male,secretary
Carlo Sigismondo Capece,male,secretary
Garcia de Resende,male,secretary
Žaneta Fuchsová,female,secretary
Aïcha Chenna,female,secretary
Aime Forand,male,secretary
Akiko Kamei,female,secretary
Lucy Page Mercer Rutherfurd,female,secretary
Lillian Disney,female,secretary
Marcus Tullius Tiro,male,secretary
Evelyn Lincoln,female,secretary
Blanche Thebom,female,secretary
Wallace H. White,male,secretary
Bette Nesmith Graham,female,secretary
Ulrika Jonsson,female,secretary
Henry Brooks Adams,male,secretary
Melita Norwood,female,secretary
Madeleine Barot,female,secretary
Vera Obolenskaya,female,secretary
John Thurloe,male,secretary
J. C. Kumarappa,male,secretary
Pietro Parolin,male,secretary
Cornelis van Aarsens,male,secretary
Pietro Paolo Conti,male,secretary
Kim Ok,female,secretary
Arthur Luck,male,secretary
Daniel S. Lamont,male,secretary
Walter Judd,male,secretary
Hugh Allen Meade,male,secretary
Bettina Stadlbauer,female,secretary
Hiroshi Mitsuzuka,male,secretary
Blasius Hölzl,male,secretary
Bonaventura Vulcanius,male,secretary
Boris Bazhanov,male,secretary
C. Bascom Slemp,male,secretary
Alfred Agostinelli,male,secretary
Charles P. Nelson,male,secretary
Clara Bohm-Schuch,female,secretary
Guibert of Gembloux,male,secretary
Gertrude Barrows Bennett,female,secretary
Hiroyuki Hosoda,male,secretary
Cäcilie Hansmann,female,secretary
Gretl Braun,female,secretary
Pete Geren,male,secretary
Paul Benkner,male,secretary
Dora Schaul,female,secretary
Dorothee Fliess,female,secretary
Edward Marsh,male,secretary
Albert Ludwig von Haza-Radlitz,male,secretary
Antal Tasner,male,secretary
Elli Barczatis,female,secretary
Ernst Braun,male,secretary
Francis Dereham,male,secretary
Everett Sanders,male,secretary
Lisa Albrecht,female,secretary
Marie-Madeleine Peyronnet,female,secretary
Maurice Le Blond,male,secretary
Abu-l-Hassan Rashid,male,secretary
Myriam Harry,female,secretary
Mélanie Calvat,female,secretary
Odile Kienlen,female,secretary
Ronni Moffitt,female,secretary
Arthur De Schrevel,male,secretary
Simone Roger-Vercel,male,secretary
Cardiss Collins,female,secretary
"Théophile Gautier, fils",male,secretary
Ursula Brand,female,secretary
Anne-Marie Meyer,female,secretary
Cynthia Asquith,female,secretary
Fernanda Farias De Albuquerque,trans woman,secretary
Giambattista Felice Zappi,male,secretary
Giovambattista Casotti,male,secretary
Enric Garriga i Trullols,male,secretary
Maria L'vovna Tolstaya,female,secretary
Nicola De Cesare,male,secretary
Vincenzo Colli,male,secretary
Brian Johnson,male,secretary
Sharon Lee,female,secretary
"Erskine May, 1st Baron Farnborough",male,secretary
Christa Speck,female,secretary
Aron Simanovich,male,secretary
Pyotr Smorodin,male,secretary
Eli Hagen,female,secretary
Abraham Trebitsch,male,secretary
Abraham Van Buren,male,secretary
Ainsley Gotto,female,secretary
Akihisa Nagashima,male,secretary
Alexander Bliss,male,secretary
Alfred Jowett,male,secretary
Alice Sanger,female,secretary
Ann C. Whitman,female,secretary
Annabelle Whitestone,female,secretary
Armistead Lindsay Long,male,secretary
Ashley Estes Kavanaugh,female,secretary
Beatrix Miller,female,secretary
Betty Currie,female,secretary
Ruth Amundson,female,secretary
Stina Gunne,female,secretary
Esther Handali,female,secretary
Kerstin Heinemann,female,secretary
Mary Jo Kopechne,female,secretary
Netta Muskett,female,secretary
Erika Wendt,female,secretary
Luigi Misto,male,secretary
Carlos A. Chardón,male,secretary
Chang Ya-juo,female,secretary
Charles Lanman,male,secretary
Charlie Ross,male,secretary
Crystal Bird Fauset,female,secretary
D. Arthur Haycock,male,secretary
Daphne Fowler,female,secretary
"Diana Wellesley, Duchess of Wellington",female,secretary
Dorothy Pizer,female,secretary
Fazel Khan Garrusi,male,secretary
"Edwin ""Pa"" Watson",male,secretary
Elizabeth Alexander,female,secretary
Santeri Levas,male,secretary
Fawn Hall,female,secretary
Faygele Ben-Miriam,male,secretary
Flo Steinberg,female,secretary
Frederic Count de Thoms,male,secretary
Frederick Nolde,male,secretary
George Reedy,male,secretary
Gerri Whittington,female,secretary
Friedrich August Arnold,male,secretary
Glenn M. Wise,female,secretary
Jakob Berlin,male,secretary
