humanLabel,genderLabel,label
Eric Thomas,male,supervisor
Antonio Franzil,male,supervisor
Jaroslav Novák,male,supervisor
Victor Dubreuil,male,supervisor
Jacky Rey,male,supervisor
Antoine Marcos,male,supervisor
Laurent Nadal,male,supervisor
Marc Larroque,male,supervisor
Eric Jaire,male,supervisor
Jean-François Guimard,male,supervisor
Patrick Marie,male,supervisor
Damien Allouch,male,supervisor
Sophie Allais,female,supervisor
Christophe Engrand,male,supervisor
Cédric Faure,male,supervisor
Raphaël Krucien,male,supervisor
Benoît Pierrat,male,supervisor
Franck Tison,male,supervisor
Georgios Tasou,male,supervisor
Franck Adam,male,supervisor
Patrick Andre,male,supervisor
Patrice Argier,male,supervisor
Dominique Aubert,male,supervisor
Christian Baillif,male,supervisor
Jean-François Baltard,male,supervisor
Xavier Bardet,male,supervisor
Patrick Battista,male,supervisor
Bruno Benzi,male,supervisor
Jean-Pierre Berger,male,supervisor
Patrick Bernard,male,supervisor
Pierre Berteloot,male,supervisor
Jean-Louis Berthault,male,supervisor
Marcel Blaes,male,supervisor
Daniel Boulaye,male,supervisor
Xavier Boussert,male,supervisor
Hervé Bridoux,male,supervisor
Claude Buchaillot,male,supervisor
Christian Burgain,male,supervisor
Maurice Busche,male,supervisor
Benoît-Vincent Caille,male,supervisor
Jérôme Callut,male,supervisor
William Calmesnil,male,supervisor
Pascal Canin,male,supervisor
Michel Cannet,male,supervisor
Bruno Carteret,male,supervisor
Jean-Jacques Catrain,male,supervisor
Robert Cesari,male,supervisor
Christian Chaduc,male,supervisor
Josiane Champagne,female,supervisor
Serge Chesnais,male,supervisor
Bruno Chevaux,male,supervisor
Michel Chevet,male,supervisor
Segundo Cimbron,male,supervisor
Jean-Paul Colard,male,supervisor
Jean-Michel Collignon,male,supervisor
René Condette,male,supervisor
Christophe Cornette,male,supervisor
Christophe Cossé,male,supervisor
Yves Coste,male,supervisor
André Cottin,male,supervisor
Patrick Cousin,male,supervisor
Jean-Luc Crassous,male,supervisor
Jean-Marie Crevisy,male,supervisor
Joseph Cuenot,male,supervisor
Joseph Deage,male,supervisor
Sébastien Delacour,male,supervisor
Philippe Delchet,male,supervisor
Frédéric Delestre,male,supervisor
Denis Derouet,male,supervisor
Gilles Desvignes,male,supervisor
Claude Deybach,male,supervisor
Philippe Drumez,male,supervisor
Gérard Ducos,male,supervisor
Roland Dudognon,male,supervisor
Denis Dumartin,male,supervisor
Alain Dumont,male,supervisor
Thierry Dupont,male,supervisor
Patrick Durand,male,supervisor
Yves Durbet,male,supervisor
Jean-Claude Eicher,male,supervisor
Gilles Farault,male,supervisor
Alexandre Fauge,male,supervisor
Franck Felzinger,male,supervisor
Claude François,male,supervisor
Thierry Gaillot,male,supervisor
Alain Garnier,male,supervisor
Jean-Marc Gaudiller,male,supervisor
Rémi Gautheron,male,supervisor
Denis Gavois,male,supervisor
Laurent Geslin,male,supervisor
Paul Girard-Despraulex,male,supervisor
Denis Girardot,male,supervisor
Roland Grambin,male,supervisor
Patrick Grillon,male,supervisor
Olivier Grima,male,supervisor
Bruno Gruel,male,supervisor
Anthony Guichard,male,supervisor
Sophie Guichard,female,supervisor
Rénald Hamel,male,supervisor
Florent Hatier,male,supervisor
Philippe Heura,male,supervisor
Pascal Hontans,male,supervisor
Sébastien Hornsperger,male,supervisor
Willy Huyghe,male,supervisor
Régis Idoux,male,supervisor
Jocelyne Joliot,female,supervisor
Pascal Jost,male,supervisor
Bertrand Kling,male,supervisor
Marcel Klinkert,male,supervisor
Raphaël Klumb,male,supervisor
Jeannot Krebs,male,supervisor
Albert Lacomme,male,supervisor
Philippe Lacroux,male,supervisor
Jean Lamothe,male,supervisor
Jean-Claude Lassarrette,male,supervisor
Christophe Lassime,male,supervisor
Caroline Laverriere,female,supervisor
Laurent Lazzarotto,male,supervisor
Claude Le Jallé,male,supervisor
Didier Lecourt,male,supervisor
Christian Lelarge,male,supervisor
Dominique Leroy,male,supervisor
Daniel Leturque,male,supervisor
Pascal Lombard,male,supervisor
Pascal Mabire,male,supervisor
Jean-Marie Maillard,male,supervisor
Marcel Marceau,male,supervisor
Bertrand Martel,male,supervisor
Jean-Luc Martial,male,supervisor
Philippe Mastin,male,supervisor
Didier Mathieu,male,supervisor
Rémédios Mattioni,female,supervisor
Jean-Marc Mazerand,male,supervisor
Pascal Mechineau,male,supervisor
Jean-Claude Mestrallet,male,supervisor
Dominique Michaud,male,supervisor
Paul Montaut,male,supervisor
Dominique Morand,male,supervisor
Yves Morinet,male,supervisor
Jean-Pierre Muller,male,supervisor
Emmanuel Muradore,male,supervisor
Sylvain Neugebauer,male,supervisor
Mickaël Nicolas,male,supervisor
Gilles Nivot,male,supervisor
Christian Noizet,male,supervisor
François Nourry,male,supervisor
Alain Ollivier,male,supervisor
Thierry Pallot,male,supervisor
Alain Panseri,male,supervisor
Denis Parisot,male,supervisor
Thierry Pasquet,male,supervisor
