humanLabel,genderLabel,label
Josep Puig i Pujades,male,tailor
Magí Pers i Ramona,male,tailor
Anna Elisabeth Westerlund,female,tailor
Jens Wenningsted,male,tailor
Tomo Strizicj,male,tailor
Fred Hobbs,male,tailor
Kateryna Adamenko,female,tailor
Q12096260,male,tailor
Peter Thygesen Holm,male,tailor
Q12179134,male,tailor
Aḥmad ibn ʻAbd Allāh Baʻlī,male,tailor
Mustapha Shukri Usho,male,tailor
Polentzi Gezala,male,tailor
Jenő Forster,male,tailor
Luis Huici,male,tailor
Manuel Noya,male,tailor
Manuel Ponte,male,tailor
Pranas Stankevičius,male,tailor
Constantin Mușat,male,tailor
Cornelia Filipaș,female,tailor
France Železnikar,male,tailor
Frane Brozina,male,tailor
Barbaros Şansal,male,tailor
Prudent Prudent-Dervillers,male,tailor
Mascha Mioni,female,tailor
Adolf Tillaeus,male,tailor
Maryya Anibrayeva,female,tailor
Piotr Bułach,male,tailor
Elias Panousis,male,tailor
Gerhard Schwedka,male,tailor
Gert Weber,male,tailor
Rita Hagl-Kehl,female,tailor
Onésime Prudent-Dervillers,male,tailor
Susie Schmitt Hanson,female,tailor
Samuel Bissinger,male,tailor
Al-Rusafi,male,tailor
Manel Casserres i Boix,male,tailor
Martin Greenfield,male,tailor
Khatchatur Kerektsyan,male,tailor
Félix Lux,male,tailor
Aleksandra Dranka,female,tailor
Miguel Angel Sandoval Rodriguez,male,tailor
Joseph Davidovitch,male,tailor
Q16712106,female,tailor
Henry Creed,male,tailor
Climent Peix i Armengou,male,tailor
Maria Dietsch,female,tailor
Kyösti Vaskuri,male,tailor
Henry Wheeler,male,tailor
François Lauters,male,tailor
Margarete Hofmann,female,tailor
Yasutarō Koide,male,tailor
Philéas Gagnon,male,tailor
Charles Read,male,tailor
Sophia Frances Anne Caulfeild,female,tailor
Simeon Simpson,male,tailor
Fran Bartl,male,tailor
Eleonore Zugun,female,tailor
Marian Curran,female,tailor
James Reid Moir,male,tailor
Esther Bruce,female,tailor
Robert Hill,male,tailor
Elisabeth Mill,female,tailor
Melanie Risch,female,tailor
Q18963225,female,tailor
Anna Gräf,female,tailor
Liesbeth Rose,female,tailor
Felix Imre,male,tailor
Thomas Smith,male,tailor
Nikola Arsenović,male,tailor
Martin Marmontel,male,tailor
Lionel Cros,male,tailor
Joachim Peter Perlin,male,tailor
George Smart,male,tailor
Sheikh Noor Muhammad,male,tailor
Rafael Casanovas,male,tailor
Maria Margriet Hendriks Lommers,female,tailor
András Essl,male,tailor
Pál Szabados,male,tailor
Manuel Pérez Rivas,male,tailor
José Troncoso Faro,male,tailor
Ángela Iglesias Rebollar,female,tailor
David Evans,male,tailor
David Jones,male,tailor
John Lewis,male,tailor
Rhys Evans,male,tailor
William John Evans,male,tailor
Peter Shorrocks,male,tailor
Johann Christoph Winters,male,tailor
Felicja Śledź,female,tailor
Geertje Kuijntjes,female,tailor
Meta Rötting,female,tailor
Renate Hochmuth,female,tailor
Karl-Ludwig Rehse,male,tailor
Juan de Alcega,male,tailor
Benjamin Nash,male,tailor
Jean Leperdit,male,tailor
Joseph Mazabraud,male,tailor
Nudie Cohn,male,tailor
May Clark,female,tailor
Ozwald Boateng,male,tailor
Jaroslava Bajerová,female,tailor
Philomène Cadoret,female,tailor
Đuro Salaj,male,tailor
Victorien Bruguier,male,tailor
Julián Borderas Pallaruelo,male,tailor
Lawrence of Chernigov,male,tailor
Giuseppe Mariani,male,tailor
Giuseppe Ottaviani,male,tailor
Olga Wever,female,tailor
Martta Koskinen,female,tailor
Yuri Nikitin,male,tailor
Arman Alizad,male,tailor
Valentina Solovyova,female,tailor
