humanLabel,genderLabel,label
Ricardo Lagos,male,teacher
John Paul II,male,teacher
Carl Linnaeus,male,teacher
Luigi Einaudi,male,teacher
Koji Murofushi,male,teacher
Gilles-Éric Séralini,male,teacher
George Bournoutian,male,teacher
Marie-Jean-Léon d'Hervey de Saint Denys,male,teacher
Antonín Dvořák,male,teacher
Irène Joliot-Curie,female,teacher
Tabaré Vázquez,male,teacher
Ernest Rutherford,male,teacher
Erwin Schrödinger,male,teacher
John Maynard Keynes,male,teacher
Ludwig Wittgenstein,male,teacher
Tommaso d'Aquino,male,teacher
Martin Luther,male,teacher
Antonin Scalia,male,teacher
Carole Goble,female,teacher
Rebecca Grinter,female,teacher
Michael Mayr,male,teacher
Jean Jaurès,male,teacher
Nitobe Inazō,male,teacher
Josep Puig i Cadafalch,male,teacher
Jorge Camacho,male,teacher
Humphrey Tonkin,male,teacher
Claude Hagège,male,teacher
Raymond Barre,male,teacher
François Bayrou,male,teacher
Léon Walras,male,teacher
Alfred Sauvy,male,teacher
Evi Nemeth,female,teacher
Dana Ron,female,teacher
Camille Huysmans,male,teacher
Émile Durkheim,male,teacher
Josef Stefan,male,teacher
Marcellin Berthelot,male,teacher
Joseph Stiglitz,male,teacher
Giuseppe Fiorelli,male,teacher
Maxine Hong Kingston,female,teacher
Maya Angelou,female,teacher
Cai Yuanpei,male,teacher
Hermann Snellen,male,teacher
Joseph Gredt,male,teacher
Friedrich Risner,male,teacher
Bill Frist,male,teacher
George Hubbard Blakeslee,male,teacher
Leonard Kleinrock,male,teacher
Mae Carol Jemison,female,teacher
Alexander Graham Bell,male,teacher
Wilhelm Röntgen,male,teacher
Gertrude B. Elion,female,teacher
Wole Soyinka,male,teacher
David Johnston,male,teacher
Hendrik Lorentz,male,teacher
Ulrik Huber,male,teacher
Henri Bergson,male,teacher
Bernhard Riemann,male,teacher
Kitarō Nishida,male,teacher
Wim Eijk,male,teacher
Roza Rymbayeva,female,teacher
Paul Dirac,male,teacher
Shahriar Afshar,male,teacher
Andrea Riccardi,male,teacher
Nikolay Semyonov,male,teacher
Rowan Williams,male,teacher
Carlo Scarpa,male,teacher
Danilo Astori,male,teacher
Aleksander Chodźko,male,teacher
