humanLabel,genderLabel,label
Ferrarino Trogni da Ferrara,male,writer
Falquet de Romans,male,writer
Formit de Perpinyà,male,writer
Galisteu Fernandiz,male,writer
Garcia Mendes II de Sousa,male,writer
Garcia Martinz,male,writer
Garcia Soares,male,writer
Garcia Perez,male,writer
Gausbert Amiel,male,writer
Gauseran de Saint-Leidier,male,writer
Jacme Grils,male,writer
Giannesso Granetto,male,writer
Gil Perez Conde,male,writer
Girard Cavalaz,male,writer
Giraut del Luc,male,writer
Terramagnino da Pisa,male,writer
Golparro,male,writer
Gonçalo Garcia de Sousa,male,writer
Gonçalo Eanes do Vinhal,male,writer
Grimoart Gausmar,male,writer
Gui de Cavaillon,male,writer
Guilhem Fabre,male,writer
Guilhem d'Autpol,male,writer
Guillem de Balaun,male,writer
Guilhem de la Tor,male,writer
Guillem Augier Novella,male,writer
Guilhem Magret,male,writer
Guilhem Rainol d'At,male,writer
Guillem Ramon de Gironella,male,writer
Guillem de Masdovelles,male,writer
Guillem de Ribes,male,writer
Guilhem de Saint-Leidier,male,writer
Giraut de Salignac,male,writer
Gómez García de Toledo,male,writer
Isarn,male,writer
Isnart d'Entrevenas,male,writer
Jaufre Reforzat de Trets,male,writer
Jaufre de Pons,male,writer
Jausbert de Puycibot,male,writer
Joan Miralhas,male,writer
Joan de Castellnou,male,writer
Johan,male,writer
Johan Airas,male,writer
Johan Blanch,male,writer
Johan Esteve de Bezers,male,writer
Johan Fernandez de Ardeleiro,male,writer
Johan Perez de Avoin,male,writer
Johan Romeu,male,writer
Johan Servando,male,writer
João Soares Coelho,male,writer
Johan Vasquiz de Talaveira,male,writer
Johan Velho de Pedrogaez,male,writer
Johan de Gaia,male,writer
Johan de Requeixo,male,writer
Joan d'Aubusson,male,writer
Jordan Bonel de Confolens,male,writer
Jordan de l'Isla de Venessi,male,writer
Josep,male,writer
Juião Bolseiro,male,writer
Lanfranc Cigala,male,writer
Lo Bord del rei d'Arago,male,writer
Lopo Liãns,male,writer
Lorenç Mallol,male,writer
Lourenço,male,writer
Luca Grimaldi,male,writer
Luchetto Gattilusio,male,writer
Manfred I Lancia,male,writer
Marcoat,male,writer
Martim Soares,male,writer
Martin Campina,male,writer
Martin Eanes,male,writer
Martin Perez Alvin,male,writer
Martin de Caldas,male,writer
Martin de Pedrozelos,male,writer
María a Balteira,female,writer
Matieu de Caersi,male,writer
Mem Rodrigues de Briteiros,male,writer
Men Rodriguiz Tenoiro,male,writer
Miquel de Castillon,male,writer
Nuno Fernandez de Mirapeixe,male,writer
